REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12443	ANA812	HLA-DR	AB_893565	327014	Anti-HLA-DR		HLA-DR A700	N		BioLegend	JDM-2012-FR-R17	Alexa Fluor 700	Flow Cytometry		2799
ESR12444	ANA814	CD11c	AB_10661724	337217	Anti-CD11c		CD11c APC-Cy7	N		BioLegend	JDM-2012-FR-R18	APC-Cy7	Flow Cytometry		2799
ESR12445	ANA78	CXCR5	AB_397034	558112	Anti-CXCR5		CXCR5 FITC	N		BD Biosciences	JDM-2012-FR-R19	A488 (FITC)	Flow Cytometry		2799
ESR12446		CCR6 (CD196)	AB_397273	559562	Anti-CCR6 (CD196)		CCR6 PE	N		BD Biosciences	JDM-2012-FR-R20	PE	Flow Cytometry		2799
ESR12447	ANA816	CD45RA	AB_10640553	IM2711U	Anti-CD45RA		CD45RA ECD	N		Beckman Coulter	JDM-2012-FR-R21	ECD	Flow Cytometry		2799
ESR12448		CXCR3 (CD183)	AB_394061	551128	Anti-CXCR3 (CD183)		CXCR3 PC5	N		BD Biosciences	JDM-2012-FR-R22	PE-Cy5	Flow Cytometry		2799
ESR12449		ICOS (CD278)	AB_10643411	313520	Anti-ICOS (CD278)		ICOS PC7	N		BioLegend	JDM-2012-FR-R23	PE-Cy7	Flow Cytometry		2799
ESR12450	ANA810	CD8	AB_400526	340584	Anti-CD8		CD8 APC	N		BD Biosciences	JDM-2012-FR-R24	APC	Flow Cytometry		2799
ESR12451	ANA809	CD3	AB_396952	557943	Anti-CD3		CD3 A700	N		BD Biosciences	JDM-2012-FR-R25	Alexa Fluor 700	Flow Cytometry		2799
ESR12452	ANA41	CD4	AB_314086	300518	Anti-CD4		CD4 APC-Cy7	N		BioLegend	JDM-2012-FR-R26	APC-Cy7	Flow Cytometry		2799
ESR12453	ANA812	HLA-DR	AB_10645785	561359	Anti-HLA-DR		HLA-DR PB	N		BD Biosciences	JDM-2012-FR-R27	V450 (PB)	Flow Cytometry		2799
ESR12454	ANA59	CX3CR1	AB_1626272	341606	Anti-CXC3R1		CX3CR1 FITC	N		BioLegend	JDM-2012-FR-R28	FITC	Flow Cytometry		2799
ESR12455	ANA804	CD14	AB_400312	347497	Anti-CD14		CD14 PE	N		BD Biosciences	JDM-2012-FR-R29	PE	Flow Cytometry		2799
ESR12456	ANA712	CD62L		IM2713U	Anti-CD62L		CD62L ECD	N		Beckman Coulter	JDM-2012-FR-R30	ECD	Flow Cytometry		2799
ESR12457	ANA878	CD11b	AB_396849	557743	Anti-CD11b		CD11b PC7	N		BD Biosciences	JDM-2012-FR-R31	PE-Cy7	Flow Cytometry		2799
ESR12458		SLAN	AB_871579	130-093-031	Anti-SLAN		SLAN APC	N		Miltenyi Biotec	JDM-2012-FR-R32	APC	Flow Cytometry		2799
ESR12459	ANA811	CD16	AB_1645466	560195	Anti-CD16		CD16 APC-H7	N		BD Biosciences	JDM-2012-FR-R33	APC-H7	Flow Cytometry		2799
ESR12460							JDM-2012 B-Cell Flow Panel (CD86)	Y			JDM-2012 B-Cell  (CD86)		Flow Cytometry		2799
ESR12461							JDM-2012 B-Cell Flow Panel (HLA-DR)	Y			JDM-2012 B-Cell  (HLA-DR)		Flow Cytometry		2799
ESR12462							JDM-2012 Monocyte Flow Panel	Y			JDM-2012 Monocyte		Flow Cytometry		2799
ESR12463							JDM-2012 Dendritic Cell Flow Panel	Y			JDM-2012 Dendritic Cell		Flow Cytometry		2799
ESR12464							JDM-2012 TFH Flow Panel	Y			JDM-2012 TFH		Flow Cytometry		2799
