FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
159215	8		FITC-A	CXCR5	CXCR5
160879	3		FSC-H		FSC-H
159070	17		APC-Cy7-A		APC-Cy7-A
159071	17		APC-Cy7-A		APC-Cy7-A
109868	7		SSC-W		SSC-W
107316	12		PE-Cy7-A	CD38	CD38
158998	13		Pacific Blue-A	CD86	CD86
159002	5		SSC-A		SSC-A
159003	11		PE-Cy5-A	CXCR3	CXCR3
160323	3		FSC-H		FSC-H
158992	9		PE-A	CLEC4C	BDCA-2
160857	5		SSC-A		SSC-A
159116	8		FITC-A	CX3CR1	CX3CR1
159129	13		Pacific Blue-A	CD86	CD86
159226	10		PE-Texas Red-A	CD2	CD2
159232	2		FSC-A		FSC-A
159234	11		PE-Cy5-A	CD40	CD40
159240	1		Time		Time
159240	15		APC-A	THBD	BDCA-3
159249	1		Time		Time
160289	11		PE-Cy5-A	CXCR3	CXCR3
159077	10		PE-Texas Red-A	CD2	CD2
159083	11		PE-Cy5-A	CXCR3	CXCR3
159084	14		QDOT 565-A		CD45
159086	16		Alexa 700-A	CD3E	CD3
159100	10		PE-Texas Red-A	CD2	CD2
159105	15		APC-A	ICOS	ICOS
159107	6		SSC-H		SSC-H
159111	16		Alexa 700-A	HLA-DRA	HLADR
159134	2		FSC-A		FSC-A
159138	3		FSC-H		FSC-H
159138	16		Alexa 700-A	HLA-DRA	HLA-DR
160300	12		PE-Cy7-A	CD1C	CD1c
159113	17		APC-Cy7-A		APC-Cy7-A
159280	1		Time		Time
159295	17		APC-Cy7-A	CD8A	CD8
159298	7		SSC-W		SSC-W
160266	4		FSC-W		FSC-W
160271	3		FSC-H		FSC-H
160276	16		Alexa 700-A	CD3E	CD3
160843	5		SSC-A		SSC-A
160905	2		FSC-A		FSC-A
159052	14		QDOT 565-A		CD45
159053	14		QDOT 565-A		CD45
159058	8		FITC-A	CX3CR1	CX3CR1
159062	11		PE-Cy5-A	CXCR3	CXCR3
159065	12		PE-Cy7-A	CCR7	CCR7
159066	12		PE-Cy7-A	CCR7	CCR7
160777	6		SSC-H		SSC-H
160777	11		PE-Cy5-A	CXCR3	CXCR3
160780	9		PE-A	CLEC4C	BDCA2
160788	4		FSC-W		FSC-W
160820	16		Alexa 700-A	HLA-DRA	HLADR
160823	4		FSC-W		FSC-W
160827	1		Time		Time
160827	15		APC-A	ICOS	ICOS
160831	12		PE-Cy7-A	CD1C	CD1c
159208	1		Time		Time
159219	2		FSC-A		FSC-A
159303	8		FITC-A		LIN-1
160218	5		SSC-A		SSC-A
160219	8		FITC-A		LIN-1
160239	4		FSC-W		FSC-W
160244	5		SSC-A		SSC-A
160321	10		PE-Texas Red-A	CD2	CD2
160806	9		PE-A	CCR6	CCR6
102799	5		SSC-A		SSC-A
98618	7		SSC-W		SSC-W
124751	5		SSC-A		SSC-A
96884	1		Time		Time
96884	14		QDOT 565-A		CD45
92014	2		FSC-A		FSC-A
159058	7		SSC-W		SSC-W
159067	8		FITC-A		LIN-1
159069	6		SSC-H		SSC-H
159070	15		APC-A	THBD	BDCA-3
159282	4		FSC-W		FSC-W
160308	11		PE-Cy5-A	CD20	CD20
160314	5		SSC-A		SSC-A
160320	3		FSC-H		FSC-H
127619	13		Pacific Blue-A	CD86	CD86
159076	17		APC-Cy7-A	FCG3A	CD16
159083	10		PE-Texas Red-A	PTPRC	CD45RA
159208	6		SSC-H		SSC-H
159222	2		FSC-A		FSC-A
159223	8		FITC-A		LIN-1
159053	6		SSC-H		SSC-H
159055	7		SSC-W		SSC-W
160254	17		APC-Cy7-A	FCG3A	CD16
160272	14		QDOT 565-A		CD45
160841	13		Pacific Blue-A	CD86	CD86
160846	14		QDOT 565-A		CD45
160847	3		FSC-H		FSC-H
160848	14		QDOT 565-A		CD45
160852	4		FSC-W		FSC-W
159231	17		APC-Cy7-A	CD8A	CD8
159241	7		SSC-W		SSC-W
159242	4		FSC-W		FSC-W
160281	10		PE-Texas Red-A	CD19	CD19
160284	2		FSC-A		FSC-A
160285	17		APC-Cy7-A	FCG3A	CD16
160295	3		FSC-H		FSC-H
159146	10		PE-Texas Red-A	PTPRC	CD45RA
160906	3		FSC-H		FSC-H
160322	10		PE-Texas Red-A	CD19	CD19
160324	1		Time		Time
160327	14		QDOT 565-A		CD45
160327	15		APC-A	THBD	BDCA-3
158988	7		SSC-W		SSC-W
158995	14		QDOT 565-A		CD45
160875	14		QDOT 565-A		CD45
160786	5		SSC-A		SSC-A
160789	9		PE-A	CD14	CD14
160796	15		APC-A		SLAM
160804	15		APC-A		SLAN
160805	8		FITC-A	CXCR5	CXCR5
160819	7		SSC-W		SSC-W
160821	16		Alexa 700-A	HLA-DRA	HLADR
160824	12		PE-Cy7-A	ITGAM	CD11b
160826	5		SSC-A		SSC-A
160829	10		PE-Texas Red-A	PTPRC	CD45RA
160836	6		SSC-H		SSC-H
160203	12		PE-Cy7-A	ITGAM	CD11b
160203	17		APC-Cy7-A	FCG3A	CD16
160209	9		PE-A	CCR6	CCR6
160210	10		PE-Texas Red-A	PTPRC	CD45RA
160211	1		Time		Time
160221	16		Alexa 700-A	HLA-DRA	HLADR
160228	3		FSC-H		FSC-H
160228	16		Alexa 700-A	HLA-DRA	HLADR
160230	17		APC-Cy7-A	FCG3A	CD16
160231	4		FSC-W		FSC-W
159116	7		SSC-W		SSC-W
159117	12		PE-Cy7-A	CD1C	CD1c
159131	9		PE-A	CD14	CD14
160241	12		PE-Cy7-A	CD1C	CD1c
160242	3		FSC-H		FSC-H
102799	3		FSC-H		FSC-H
146879	9		PE-A	CD24	CD24
101055	7		SSC-W		SSC-W
146194	4		FSC-W		FSC-W
135152	10		PE-Texas Red-A	CD19	CD19
79556	4		FSC-W		FSC-W
119119	6		SSC-H		SSC-H
102234	14		QDOT 565-A		CD45
92014	15		APC-A	SDC1	CD138
95216	15		APC-A	SDC1	CD138
82896	15		APC-A	SDC1	CD138
136756	2		FSC-A		FSC-A
127619	17		APC-Cy7-A	CD27	CD27
159225	16		Alexa 700-A		CD3/CD14
159249	10		PE-Texas Red-A	PTPRC	CD45RA
160284	15		APC-A		SLAM
160287	8		FITC-A	CX3CR1	CX3CR1
159073	10		PE-Texas Red-A	CD19	CD19
159078	9		PE-A	CD14	CD14
160808	2		FSC-A		FSC-A
159134	6		SSC-H		SSC-H
159152	3		FSC-H		FSC-H
159205	2		FSC-A		FSC-A
159216	9		PE-A	CCR6	CCR6
159217	14		QDOT 565-A		CD45
159220	13		Pacific Blue-A	CD86	CD86
160295	13		Pacific Blue-A	CD86	CD86
160298	1		Time		Time
159101	3		FSC-H		FSC-H
159278	7		SSC-W		SSC-W
159285	17		APC-Cy7-A	CD27	CD27
159289	7		SSC-W		SSC-W
159291	3		FSC-H		FSC-H
159292	2		FSC-A		FSC-A
159295	15		APC-A	ICOS	ICOS
159296	4		FSC-W		FSC-W
159297	14		QDOT 565-A		CD45
160262	3		FSC-H		FSC-H
160263	13		Pacific Blue-A	CD86	CD86
160812	3		FSC-H		FSC-H
160324	6		SSC-H		SSC-H
160324	11		PE-Cy5-A	CD40	CD40
160272	6		SSC-H		SSC-H
160273	17		APC-Cy7-A	CD27	CD27
160839	2		FSC-A		FSC-A
160843	13		Pacific Blue-A	CD4	CD4
158976	7		SSC-W		SSC-W
158979	13		Pacific Blue-A	CD86	CD86
158996	13		Pacific Blue-A	CD86	CD86
160310	16		Alexa 700-A	HLA-DRA	HLADR
160314	3		FSC-H		FSC-H
160321	4		FSC-W		FSC-W
160196	10		PE-Texas Red-A	CD19	CD19
160199	1		Time		Time
160199	14		QDOT 565-A		CD45
160201	8		FITC-A	CX3CR1	CX3CR1
160204	1		Time		Time
160211	6		SSC-H		SSC-H
159061	2		FSC-A		FSC-A
159065	14		QDOT 565-A		CD45
160781	4		FSC-W		FSC-W
160783	1		Time		Time
160789	8		FITC-A	CX3CR1	CX3CR1
160830	12		PE-Cy7-A	CCR7	CCR7
160831	15		APC-A	THBD	BDCA-3
160239	9		PE-A	CLEC4C	BDCA-2
160875	11		PE-Cy5-A	CD40	CD40
160879	2		FSC-A		FSC-A
126370	5		SSC-A		SSC-A
149703	16		Alexa 700-A		CD3/CD14
133455	8		FITC-A	IGHD	IgD
95269	7		SSC-W		SSC-W
80073	9		PE-A	CD24	CD24
92014	6		SSC-H		SSC-H
102234	11		PE-Cy5-A	CD20	CD20
119119	10		PE-Texas Red-A	CD19	CD19
159101	13		Pacific Blue-A	CD86	CD86
159111	2		FSC-A		FSC-A
159113	6		SSC-H		SSC-H
159288	4		FSC-W		FSC-W
159293	11		PE-Cy5-A	ITAX	CD11c
160203	14		QDOT 565-A		CD45
160213	8		FITC-A	CXCR5	CXCR5
160215	14		QDOT 565-A		CD45
160849	4		FSC-W		FSC-W
160218	17		APC-Cy7-A		APC-Cy7-A
160222	7		SSC-W		SSC-W
160228	17		APC-Cy7-A	FCG3A	CD16
160244	12		PE-Cy7-A	CD1C	CD1c
160254	14		QDOT 565-A		CD45
160263	12		PE-Cy7-A	CD1C	CD1c
160264	11		PE-Cy5-A	CD40	CD40
160274	16		Alexa 700-A	HLA-DRA	HLADR
160841	2		FSC-A		FSC-A
160842	10		PE-Texas Red-A	CD2	CD2
159061	15		APC-A	ICOS	ICOS
159064	15		APC-A	ICOS	ICOS
159065	11		PE-Cy5-A	CXCR3	CXCR3
160319	3		FSC-H		FSC-H
160320	12		PE-Cy7-A	CD1C	CD1c
159074	9		PE-A	CD24	CD24
159076	14		QDOT 565-A		CD45
159078	8		FITC-A	CX3CR1	CX3CR1
159079	4		FSC-W		FSC-W
159083	4		FSC-W		FSC-W
159207	3		FSC-H		FSC-H
159211	16		Alexa 700-A	HLA-DRA	HLADR
159212	6		SSC-H		SSC-H
159217	6		SSC-H		SSC-H
159219	10		PE-Texas Red-A	CD2	CD2
159222	6		SSC-H		SSC-H
158978	14		QDOT 565-A		CD45
158982	12		PE-Cy7-A	ITGAM	CD11b
158993	10		PE-Texas Red-A	CD2	CD2
158994	9		PE-A	CLEC4C	BDCA-2
158996	12		PE-Cy7-A	CD1C	CD1c
158996	17		APC-Cy7-A		APC-Cy7-A
160873	3		FSC-H		FSC-H
160778	2		FSC-A		FSC-A
160786	13		Pacific Blue-A	CD86	CD86
160790	9		PE-A	CD14	CD14
160793	6		SSC-H		SSC-H
160796	10		PE-TxR-A	CD2	CD2
160797	5		SSC-A		SSC-A
160799	4		FSC-W		FSC-W
160804	10		PE-TxR-A	CD2	CD2
160821	12		PE-Cy7-A	ITGAM	CD11b
160829	4		FSC-W		FSC-W
159057	12		PE-Cy7-A	ITGAM	CD11b
159118	14		QDOT 565-A		CD45
159120	11		PE-Cy5-A	CD20	CD20
159131	7		SSC-W		SSC-W
159225	13		Pacific Blue-A	CD86	CD86
159230	9		PE-A	CD14	CD14
159237	13		Pacific Blue-A	CD86	CD86
159243	12		PE-Cy7-A	CD1C	CD1c
159245	5		SSC-A		SSC-A
159250	14		QDOT 565-A		CD45
160281	4		FSC-W		FSC-W
160298	11		PE-Cy5-A	ITAX	CD11c
160303	3		FSC-H		FSC-H
160304	13		Pacific Blue-A	CD4	CD4
160305	6		SSC-H		SSC-H
160294	1		Time		Time
160296	8		FITC-A		LIN-1
160297	3		FSC-H		FSC-H
159135	8		FITC-A	IGHD	IgD
159150	4		FSC-W		FSC-W
158998	14		QDOT 565-A		CD45
159001	2		FSC-A		FSC-A
159003	4		FSC-W		FSC-W
159010	7		SSC-W		SSC-W
105756	12		PE-Cy7-A	CD38	CD38
112379	8		FITC-A	IGHD	IgD
80073	8		FITC-A	IGHD	IgD
100673	9		PE-A	CD24	CD24
96090	14		QDOT 565-A		CD45
96090	15		APC-A	SDC1	CD138
105666	14		QDOT 565-A		CD45
127619	15		APC-A	SDC1	CD138
159117	11		PE-Cy5-A	ITAX	CD11c
159229	4		FSC-W		FSC-W
159231	11		PE-Cy5-A	CXCR3	CXCR3
159244	15		APC-A		SLAM
159245	16		Alexa 700-A	CD3E	CD3
159249	4		FSC-W		FSC-W
159252	1		Time		Time
160282	16		Alexa 700-A		CD3/CD14
159119	2		FSC-A		FSC-A
159127	12		PE-Cy7-A	CD38	CD38
159136	12		PE-Cy7-A	CD38	CD38
159147	16		Alexa 700-A	CD3E	CD3
159154	9		PE-A	CLEC4C	BDCA2
159073	4		FSC-W		FSC-W
159081	16		Alexa 700-A	HLA-DRA	HLADR
159085	12		PE-Cy7-A	CCR7	CCR7
160314	12		PE-Cy7-A	CD1C	CD1c
160314	17		APC-Cy7-A		APC-Cy7-A
160317	7		SSC-W		SSC-W
160802	5		SSC-A		SSC-A
160803	16		Alexa 700-A	HLA-DRA	HLA-DR
160323	1		Time		Time
159093	17		APC-Cy7-A	CD27	CD27
159094	1		Time		Time
159100	9		PE-A	CD14	CD14
159101	17		APC-Cy7-A	FCG3A	CD16
159104	12		PE-Cy7-A	CCR7	CCR7
159110	12		PE-Cy7-A	CD1C	CD1c
158979	2		FSC-A		FSC-A
159205	11		PE-Cy5-A	CD20	CD20
159294	11		PE-Cy5-A	CD40	CD40
159298	3		FSC-H		FSC-H
160264	10		PE-Texas Red-A	CD2	CD2
159218	13		Pacific Blue-A	CD4	CD4
159220	2		FSC-A		FSC-A
160839	6		SSC-H		SSC-H
160851	9		PE-A	CD24	CD24
160857	2		FSC-A		FSC-A
158996	2		FSC-A		FSC-A
160200	12		PE-Cy7-A	ITGAM	CD11b
160207	6		SSC-H		SSC-H
160208	12		PE-Cy7-A	CCR7	CCR7
