NAME	DESCRIPTION	LINK	TYPE
pg/ml	picogram per milliliter	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67327&ns=NCI_Thesaurus	concentration
pg/nl	picogram per nanoliter		concentration
pg/ul	picogram per microliter	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67306&ns=NCI_Thesaurus	concentration
pl	picoliter	http://purl.obolibrary.org/obo/UO_0000103	volume
stim/unstim fold change	Fold change comparing stimulated vs unstimulated sample		derived_flow
uM	micromolar	http://purl.bioontology.org/ontology/SNOMEDCT/258814008	concentration
ug	microgram	http://purl.obolibrary.org/obo/UO_0000023	mass
ug/ml	microgram per milliliter	http://purl.bioontology.org/ontology/SNOMEDCT/258801007	concentration
ug/ul	microgram per microliter	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C42576&ns=NCI_Thesaurus	concentration
ul	microliter	http://purl.obolibrary.org/obo/UO_0000101	volume
units/ml	Enzyme Unit per Milliliter. Unit of catalytic activity concentration defined as activity equal to one enzyme unit per one milliliter of system volume.	http://purl.bioontology.org/ontology/SNOMEDCT/259002007	concentration
DK units/ml	The NIDDK calibrators were tested together with dilutions of the WHO reference serum using harmonized assays on five occasions in the BDC, Bristol, and Munich laboratories and reported as WHO units/ml by calibration as previously described. For each of the NIDDK calibrators, the median value of the WHO units/ml obtained for the 15 measurements was assigned as its calibrator unit. The assigned units were termed digestive and kidney units (DK units)/ml.	https://repository.niddk.nih.gov/studies/aab-calibrators/	concentration
