REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12340		BDCA-3 (CD141)	AB_244170	130-090-907	Anti-BDCA-3 (CD141)			N		Miltenyi	NCH-2011-FR-R15	APC	Flow Cytometry		2799
ESR12341	ANA812	HLA-DR	AB_893565	327014	Anti-HLA-DR			N		BioLegend	NCH-2011-FR-R16	A700	Flow Cytometry		2799
ESR12342		CD45	AB_10376143; AB_1475776	MHCD4530	Anti-CD45			N		Invitrogen	NCH-2011-FR-R17	PO	Flow Cytometry		2799
ESR12343	ANA78	CXCR5	AB_397034	558112	Anti-CXCR5			N		BD Biosciences	NCH-2011-FR-R18	A488 (FITC)	Flow Cytometry		2799
ESR12344		CCR6 (CD196)	AB_397273	559562	Anti-CCR6 (CD196)			N		BD Biosciences	NCH-2011-FR-R19	PE	Flow Cytometry		2799
ESR12345	ANA816	CD45RA	AB_10640553	IM2711U	Anti-CD45RA			N		Beckman Coulter	NCH-2011-FR-R20	ECD	Flow Cytometry		2799
ESR12346		CXCR3 (CD183)	AB_394061	551128	Anti-CXCR3 (CD183)			N		BD Biosciences	NCH-2011-FR-R21	PC5	Flow Cytometry		2799
ESR12347		CCR7 (CD197)	AB_396765	557648	Anti-CCR7 (CD197)			N		BD Biosciences	NCH-2011-FR-R22	PC7	Flow Cytometry		2799
ESR12348		ICOS (CD278)	AB_416334	313510	Anti-ICOS (CD278)			N		BioLegend	NCH-2011-FR-R23	APC	Flow Cytometry		2799
ESR12349	ANA809	CD3	AB_396952	557943	Anti-CD3			N		BD Biosciences	NCH-2011-FR-R24	A700	Flow Cytometry		2799
ESR12350	ANA810	CD8	AB_1645736	641400	Anti-CD8			N		BD Biosciences	NCH-2011-FR-R25	APC-H7	Flow Cytometry		2799
ESR12351	ANA41	CD4	AB_397037	558116	Anti-CD4			N		BD Biosciences	NCH-2011-FR-R26	PB	Flow Cytometry		2799
ESR12352	ANA59	CX3CR1	AB_1626272	341606	Anti-CXC3R1			N		BioLegend	NCH-2011-FR-R27	FITC	Flow Cytometry		2799
ESR12353	ANA804	CD14	AB_400312	347497	Anti-CD14			N		BD Biosciences	NCH-2011-FR-R28	PE	Flow Cytometry		2799
ESR12354	ANA42	CD40	AB_395965	555590	Anti-CD40			N		BD Biosciences	NCH-2011-FR-R29	PC5	Flow Cytometry		2799
ESR12355	ANA878	CD11b	AB_396849	557743	Anti-CD11b			N		BD Biosciences	NCH-2011-FR-R30	PC7	Flow Cytometry		2799
ESR12356		SLAN	AB_871579	130-093-031	Anti-SLAN			N		Miltenyi	NCH-2011-FR-R31	APC	Flow Cytometry		2799
ESR12357	ANA811	CD16	AB_1645466	560195	Anti-CD16			N		BD Biosciences	NCH-2011-FR-R32	APC-H7	Flow Cytometry		2799
ESR12358							NCH_2011 B-Cell Flow Panel	Y			NCH_2011 B-Cell		Flow Cytometry		2799
ESR12359							NCH_2011 Dendritic Cell Flow Panel	Y			NCH_2011 Dendritic Cell		Flow Cytometry		2799
ESR12360							NCH_2011 Monocyte Flow Panel	Y			NCH_2011 Monocyte		Flow Cytometry		2799
ESR12361							NCH_2011 TFH Flow Panel	Y			NCH_2011 TFH		Flow Cytometry		2799
ESR9766				7209403				N		Lampire Biological Laboratories	turkey blood in Alsevers				2799
ESR9767		Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		Unk				N		Unk	Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)				2799
ESR9768		Influenza A virus A/Perth/19/2009 (H3N2)		Unk				N		Unk	Influenza A virus A/Perth/19/2009 (H3N2)				2799
ESR9769		Influenza B virus B/Brisbane/60/2008		Unk				N		Unk	Influenza B virus B/Brisbane/60/2008				2799
