BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS716722	ES788353
BS716724	ES788420
BS716724	ES788432
BS716725	ES786979
BS716727	ES788441
BS716731	ES788949
BS716733	ES788933
BS716735	ES788449
BS716735	ES788451
BS716736	ES788940
BS716736	ES788942
BS716737	ES788460
BS716737	ES788461
BS713658	ES773839
BS713913	ES774025
BS661762	ES717645
BS661764	ES717647
BS661773	ES717656
BS713692	ES773873
BS713859	ES773835
BS713864	ES773978
BS713827	ES773786
BS713832	ES773692
BS713832	ES773693
BS713833	ES773794
BS713836	ES773700
BS713838	ES773702
BS713844	ES773710
BS713804	ES773652
BS713805	ES773752
BS713809	ES773760
BS713812	ES773664
BS713741	ES773922
BS713748	ES773929
BS713721	ES773902
BS720904	ES789221
BS716677	ES786718
BS716679	ES787045
BS716680	ES786793
BS716682	ES787046
BS716683	ES786785
BS716683	ES786790
BS716685	ES786737
BS716685	ES786741
BS716687	ES786798
BS716689	ES786869
BS716693	ES786884
BS716694	ES788397
BS716694	ES788403
BS716695	ES786811
BS716695	ES786815
BS716696	ES786859
BS716696	ES786865
BS716697	ES786879
BS716698	ES788408
BS716699	ES786813
BS716700	ES788355
BS716702	ES788433
BS716705	ES788954
BS716706	ES789185
BS716706	ES789186
BS716706	ES789191
BS716707	ES786952
BS716708	ES786836
BS716708	ES786842
BS716709	ES788955
BS716709	ES788965
BS716710	ES789194
BS716710	ES789195
BS716711	ES786953
BS716715	ES786965
BS716716	ES786845
BS716717	ES788968
BS716720	ES788342
BS716720	ES788358
BS716720	ES788359
BS716722	ES788360
BS716723	ES788382
BS716724	ES788438
BS716726	ES787063
BS716730	ES788920
BS716730	ES788923
BS713938	ES774049
BS713899	ES774012
BS713900	ES774014
BS713901	ES774013
BS661769	ES717652
BS661731	ES717614
BS661732	ES717615
BS661738	ES717621
BS713660	ES773841
BS713678	ES773859
BS713679	ES773860
BS713691	ES773872
BS713693	ES773874
BS713697	ES773878
BS713858	ES773731
BS713859	ES773833
BS713862	ES773975
BS713878	ES773991
BS713880	ES773994
BS713821	ES773777
BS713837	ES773802
BS713842	ES773707
BS713795	ES773737
BS713795	ES773739
BS713804	ES773650
BS713810	ES773659
BS713810	ES773660
BS713740	ES773921
BS713763	ES773944
BS713765	ES773946
BS713710	ES773891
BS713722	ES773903
BS713724	ES773905
BS716677	ES786708
BS716677	ES786711
BS716677	ES786712
BS716679	ES787041
BS716679	ES787044
BS716682	ES787047
BS716682	ES787050
BS716683	ES786795
BS716683	ES786796
BS716683	ES786802
BS716684	ES786710
BS716686	ES787058
BS716687	ES786791
BS716687	ES786792
BS716688	ES786847
BS716689	ES786876
BS716689	ES786881
BS716690	ES788396
BS716693	ES786877
BS716694	ES788398
BS716697	ES786885
BS716699	ES786823
BS716703	ES786962
BS716704	ES786834
BS716705	ES788964
BS716707	ES786939
BS716709	ES788971
BS716710	ES789198
BS716711	ES786954
BS716712	ES788348
BS716713	ES788379
BS716714	ES788435
BS716715	ES786966
BS716715	ES786969
BS716716	ES786832
BS716718	ES789200
BS716718	ES789204
BS716720	ES788343
BS716721	ES786973
BS716721	ES786976
BS716723	ES788375
BS716724	ES788437
BS716727	ES788442
BS716728	ES788411
BS716728	ES788415
BS716729	ES788918
BS716730	ES788924
BS716731	ES788953
BS716732	ES788926
BS716732	ES788927
BS716732	ES788928
BS716734	ES788456
BS716735	ES788452
BS716736	ES788943
BS716736	ES788946
BS716737	ES788462
BS716737	ES788466
BS713936	ES774048
BS713944	ES774056
BS713947	ES774058
BS713895	ES774008
BS713924	ES774038
BS661767	ES717650
BS661772	ES717655
BS661724	ES717607
BS661725	ES717608
BS661726	ES717609
BS661730	ES717613
BS661736	ES717619
BS661737	ES717620
BS713672	ES773853
BS713673	ES773854
BS713677	ES773858
BS713686	ES773867
BS713687	ES773868
BS713689	ES773870
BS713863	ES773976
BS713891	ES774004
BS713821	ES773778
BS713827	ES773785
BS713834	ES773697
BS713835	ES773797
BS713836	ES773698
BS713837	ES773800
BS713842	ES773708
BS713844	ES773712
BS713791	ES773972
BS713794	ES773636
BS713801	ES773746
BS713805	ES773754
BS713808	ES773658
BS713812	ES773662
BS713745	ES773926
BS713756	ES773937
BS713757	ES773938
BS713700	ES773881
BS713711	ES773892
BS713737	ES773918
BS720904	ES789223
BS720904	ES789224
BS716679	ES787039
BS716681	ES786714
BS716681	ES786719
BS716681	ES786720
BS716682	ES787048
BS716684	ES786728
BS716685	ES786733
BS716686	ES787055
BS716688	ES786849
BS716690	ES788390
BS716690	ES788395
BS716691	ES786809
BS716691	ES786819
BS716692	ES786857
BS716693	ES786883
BS716694	ES788399
BS716695	ES786806
BS716695	ES786822
BS716697	ES786874
BS716697	ES786886
BS716698	ES788404
BS716698	ES788405
BS716698	ES788407
BS716698	ES788410
BS716699	ES786812
BS716700	ES788346
BS716701	ES788372
BS716701	ES788378
BS716702	ES788418
BS716702	ES788421
BS716703	ES786958
BS716703	ES786959
BS716704	ES786828
BS716707	ES786940
BS716713	ES788363
BS716713	ES788374
BS716714	ES788423
BS716714	ES788436
BS716715	ES786964
BS716715	ES786967
BS716718	ES789202
BS716719	ES786949
BS716721	ES786971
BS716721	ES786975
BS716724	ES788425
BS716724	ES788426
BS716725	ES786978
BS716726	ES787062
BS716727	ES788439
BS716727	ES788444
BS716728	ES788416
BS716729	ES788914
BS716730	ES788922
BS716733	ES788935
BS716733	ES788938
BS716734	ES788458
BS716735	ES788448
BS713935	ES774046
BS713942	ES774053
BS713945	ES774055
BS713946	ES774057
BS713925	ES774037
BS661766	ES717649
BS713694	ES773875
BS713888	ES774002
BS713890	ES774003
BS713892	ES774006
BS713893	ES774005
BS713834	ES773696
BS713836	ES773699
BS713793	ES773974
BS713794	ES773635
BS713800	ES773644
BS713800	ES773646
BS713808	ES773656
BS713808	ES773657
BS713809	ES773759
BS713811	ES773762
BS713812	ES773663
BS713814	ES773665
BS713815	ES773767
BS713755	ES773936
BS713709	ES773890
BS713736	ES773917
BS713739	ES773920
BS716677	ES786723
BS716678	ES786731
BS716680	ES786784
BS716684	ES786715
BS716685	ES786730
BS716693	ES786872
BS716695	ES786816
BS716696	ES786861
BS716697	ES786873
BS716700	ES788339
BS716701	ES788362
BS716701	ES788366
BS716702	ES788434
BS716704	ES786835
BS716704	ES786825
BS716705	ES788957
BS716708	ES786837
BS716710	ES789193
BS716713	ES788367
BS716713	ES788380
BS716716	ES786833
BS716717	ES788961
BS716718	ES789205
BS716719	ES786938
BS716719	ES786956
BS716722	ES788337
BS716723	ES788369
BS716724	ES788431
BS716725	ES786980
BS716725	ES786983
BS716726	ES787061
BS716727	ES788440
BS716728	ES788413
BS716730	ES788921
BS716730	ES788925
BS716731	ES788951
BS716733	ES788934
BS716734	ES788455
BS716734	ES788457
BS716734	ES788459
BS716736	ES788941
BS716737	ES788465
BS713943	ES774054
BS713949	ES774216
BS713912	ES774026
BS661728	ES717611
BS661729	ES717612
BS661739	ES717622
BS713661	ES773842
BS713680	ES773861
BS713699	ES773880
BS713820	ES773674
BS713821	ES773776
BS713826	ES773685
BS713833	ES773796
BS713838	ES773703
BS713839	ES773804
BS713842	ES773709
BS713844	ES773711
BS713794	ES773637
BS713810	ES773661
BS713712	ES773893
BS713735	ES773916
BS720904	ES789226
BS716678	ES786735
BS716679	ES787040
BS716681	ES786713
BS716681	ES786726
BS716684	ES786716
BS716684	ES786722
BS716684	ES786727
BS716685	ES786738
BS716685	ES786742
BS716687	ES786786
BS716688	ES786848
BS716688	ES786850
BS716689	ES786866
BS716689	ES786870
BS716689	ES786875
BS716691	ES786851
BS716691	ES786808
BS716692	ES786854
BS716696	ES786864
BS716698	ES788406
BS716701	ES788377
BS716705	ES788970
BS716706	ES789187
BS716706	ES789188
BS716706	ES789189
BS716709	ES788960
BS716710	ES789192
BS716712	ES788356
BS716713	ES788368
BS716716	ES786844
BS716719	ES786943
BS716719	ES786944
BS716721	ES786972
BS716721	ES786977
BS716722	ES788345
BS716723	ES788376
BS716723	ES788381
BS716725	ES786981
BS716725	ES786984
BS716726	ES787060
BS716726	ES787066
BS716728	ES788417
BS716729	ES788916
BS716729	ES788917
BS716731	ES788948
BS716731	ES788952
BS716732	ES788932
BS716735	ES788447
BS716737	ES788463
BS716737	ES788464
BS713941	ES774051
BS713954	ES774064
BS713957	ES774066
BS713897	ES774009
BS713898	ES774011
BS713910	ES774023
BS713922	ES774035
BS661763	ES717646
BS661768	ES717651
BS661771	ES717654
BS661727	ES717610
BS661758	ES717641
BS713670	ES773851
BS713685	ES773866
BS713858	ES773732
BS713858	ES773733
BS713859	ES773834
BS713881	ES773993
BS713886	ES773999
BS713835	ES773798
BS713837	ES773801
BS713839	ES773803
BS713839	ES773805
BS713843	ES773809
BS713843	ES773810
BS713804	ES773651
BS713805	ES773753
BS713809	ES773758
BS713811	ES773761
BS713813	ES773766
BS713815	ES773768
BS713742	ES773923
BS713743	ES773924
BS713747	ES773928
BS713733	ES773914
