FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1860405	singlet	singlets		678787
1860406		Treg: viable		678788
1860418		Treg: viable		678791
1860427	CD3+	CD3+	ANA809	678792
1860428	CD4+	CD4+	ANA41	678792
1860438	CD161-	Q1: CD161-	ANA883	678793
1860439	CD45RA+	Q1: CD45RA+	ANA816	678793
1860444	CD4+	CD4+	ANA41	678794
1860450	singlet	singlets		678795
1860458		Treg: viable		678796
1860463	IL2RAhi	CD25hi	ANA163	678796
1860466	CD45RA-	Q4: CD45RA-	ANA816	678796
1860468	singlet	singlets		678797
1860478	CXCR3	CXCR3 FMO: viable	ANA76	678799
1860495	CXCR3	CXCR3 FMO: viable	ANA76	678804
1860502	CD3+	CD3+	ANA809	678805
1860507	CD3+	CD3+	ANA809	678806
1860511	singlet	singlets		678807
1860522	singlet	singlets		678809
1860527	lymphocyte	Lymph		678810
1860540		Mono		678812
1860562	singlet	singlets		678819
1860565	CD56+	CD56+	ANA815	678819
1860578	lymphocyte	Lymph		678822
1860581	CXCR3+	CXCR3+	ANA76	678822
1860590	CD3+	CD3+	ANA809	678824
1860601	CD19+	CD19+	ANA805	678826
1860619		Mono		678830
1860620	SIGLEC-3+	CD33+	ANA864	678830
1860628		Activated T: viable		678834
1860632		Activated T: viable		678835
1860635	CD3+	CD3+	ANA809	678835
1860647	CD4+	CD4+	ANA41	678837
1860651	singlet	singlets		678838
1860663	CD38-	Q3: CD38-	ANA808	678839
1860669	HLADR-	Q4: HLADR-	ANA812	678840
1860678	lymphocyte	Lymph		678842
1860679	CD3+	CD3+	ANA809	678842
1860684	lymphocyte	Lymph		678843
1860685	CD3+	CD3+	ANA809	678843
1860686	CD8+	CD8+	ANA810	678843
1860687	HLADR-	Q1: HLADR-	ANA812	678843
1860692	CD3+	CD3+	ANA809	678844
1860693	CD8+	CD8+	ANA810	678844
1860709	CD38-	Q4: CD38-	ANA808	678846
1860712	lymphocyte	Lymph		678847
1860730	singlet	singlets		678853
1860734	CD28+	CD28+	ANA863	678853
1860735		T cell: viable		678854
1860747	CD27+	Q1: CD27+	ANA40	678855
1860749	singlet	singlets		678856
1860757	lymphocyte	Lymph		678857
1860764	lymphocyte	Lymph		678858
1860769		T cell: viable		678859
1860772	CD3+	CD3+	ANA809	678859
1860774		T cell: viable		678860
1860777	CD3+	CD3+	ANA809	678860
1860784	CD8+	CD8+	ANA810	678861
1860785	CD85J+	CD85j+	ANA888	678861
1860791	CD45RA-	Q1: CD45RA-	ANA816	678862
1860797	CD8+	CD8+	ANA810	678863
1860806	CD27-	Q3: CD27-	ANA40	678864
1860808	singlet	singlets		678865
1860812	CD45RA-	Q4: CD45RA-	ANA816	678865
1860816	singlet	singlets		678867
1860818	singlet	singlets		678868
1860820	viable	NK-NKT: viable		678869
1860823	CD3+	CD3+	ANA809	678869
1860831	lymphocyte	Lymph		678871
1860849	CD94-	Q3: CD94-	ANA884	678873
1860851	singlet	singlets		678874
1860860	CD3+	CD3+	ANA809	678875
1860867	CD314-	Q1: CD314-	ANA886	678876
1860870	singlet	singlets		678877
1860884	singlet	singlets		678879
1860889	CD94-	Q4: CD94-	ANA884	678879
1860894	CD56+	CD56+	ANA815	678880
1860927	CD94+	Q2: CD94+	ANA884	678885
1860938	lymphocyte	Lymph		678887
1860954	viable	B cell: viable		678892
1860977	singlet	singlets		678895
1860987	CD3-	CD3-	ANA809	678896
1861006	IgD+	Q3: IgD+	ANA813	678898
1861007	CD27-	Q3: CD27-	ANA40	678898
1861024	CD3-	CD3-	ANA809	678901
1861050	singlet	singlets		678908
1861064	CD45RA+	Q1: CD45RA+	ANA816	678909
1861075	singlet	singlets		678911
1861084	singlet	singlets		678912
1861089	CD127low	CD127low	ANA182	678912
1861092		Treg: viable		678913
1861122	lymphocyte	Lymph		678920
1861126	lymphocyte	Lymph		678921
1861134	CXCR3+	CXCR3+	ANA76	678922
1861151	singlet	singlets		678926
1861166	CXCR3	CXCR3 FMO: viable	ANA76	678929
1861180	lymphocyte	Lymph		678933
1861182	singlet	singlets		678934
1861188	lymphocyte	Lymph		678935
1861192	CXCR3	CXCR3 FMO: viable	ANA76	678936
1861201	CXCR3	CXCR3 FMO: viable	ANA76	678938
1861203	lymphocyte	Lymph		678938
1861204	CD3+	CD3+	ANA809	678938
1861206	CXCR3+	CXCR3+	ANA76	678938
1861207	CXCR3	CXCR3 FMO: viable	ANA76	678939
1861208	singlet	singlets		678939
1861211	CD8+	CD8+	ANA810	678939
1861212	CXCR3	CXCR3 FMO: viable	ANA76	678940
1861221	CD3-	CD3-	ANA809	678941
1861222	CXCR3	CXCR3 FMO: viable	ANA76	678942
1861235	CXCR3	CXCR3 FMO: viable	ANA76	678944
1861254	singlet	singlets		678950
1861256	CD3+	CD3+	ANA809	678950
1861258	singlet	singlets		678951
1861260	CD3+	CD3+	ANA809	678951
1861261	CD4+	CD4+	ANA41	678951
1861268		Activated T: viable		678953
1861283	singlet	singlets		678955
1861288	CD38-	Q3: CD38-	ANA808	678955
1861290	singlet	singlets		678956
1861294	HLADR-	Q4: HLADR-	ANA812	678956
1861298	lymphocyte	Lymph		678957
1861310	CD3+	CD3+	ANA809	678959
1861312	HLADR-	Q1: HLADR-	ANA812	678959
1861326	HLADR+	Q3: HLADR+	ANA812	678961
1861347	lymphocyte	Lymph		678967
1861353	CD4+	CD4+	ANA41	678968
1861360		T cell: viable		678970
1861362	lymphocyte	Lymph		678970
1861372	CD27+	Q1: CD27+	ANA40	678971
1861385	CD45RA+	Q3: CD45RA+	ANA816	678973
1861390	CD3+	CD3+	ANA809	678974
1861395	singlet	singlets		678975
1861401	lymphocyte	Lymph		678976
1861405		T cell: viable		678977
1861421	CD3+	CD3+	ANA809	678979
1861425		T cell: viable		678980
1861430	CD45RA+	Q3: CD45RA+	ANA816	678980
1861433	singlet	singlets		678981
1861435	CD3+	CD3+	ANA809	678981
1861444	lymphocyte	Lymph		678984
1861451	lymphocyte	Lymph		678986
1861452	CD3+	CD3+	ANA809	678986
1861458	CD8+	CD8+	ANA810	678987
1861460	CD94+	Q1: CD94+	ANA884	678987
1861462	singlet	singlets		678988
1861475	viable	NK-NKT: viable		678990
1861477	lymphocyte	Lymph		678990
1861497	CD3+	CD3+	ANA809	678993
1861501	viable	NK-NKT: viable		678994
1861521	singlet	singlets		678997
1861522	lymphocyte	Lymph		678997
1861525	singlet	singlets		678998
1861543	CD314-	Q1: CD314-	ANA886	679000
1861548	CD3-	CD3-	ANA809	679001
1861561	viable	NK-NKT: viable		679003
1861567	CD314-	Q4: CD314-	ANA886	679003
1861569	viable	B cell: viable		679004
1861579	viable	B cell: viable		679008
1861614	CD20+	CD20+	ANA806	679012
1861619	lymphocyte	Lymph		679013
1861621	CD19+	CD19+	ANA805	679013
1861627	lymphocyte	Lymph		679014
1861632	CD27-	Q3: CD27-	ANA40	679014
1861636	CD3-	CD3-	ANA809	679015
1861637	CD19+	CD19+	ANA805	679015
1861644	CD3-	CD3-	ANA809	679016
1861648	lymphocyte	Lymph		679017
1861660	singlet	singlets		679021
1861664	singlet	singlets		679022
1861669	singlet	singlets		679023
1861676	lymphocyte	Lymph		679024
1861685	CD4+	CD4+	ANA41	679025
1861694	CD4+	CD4+	ANA41	679026
1861698	CD45RA+	Q2: CD45RA+	ANA816	679026
1861703	CD4+	CD4+	ANA41	679027
1861719	lymphocyte	Lymph		679029
1861729	CXCR3	CXCR3 FMO: viable	ANA76	679032
1861734	CXCR3	CXCR3 FMO: viable	ANA76	679034
1861737	CD16+	CD16+	ANA811	679034
1861744	CXCR3+	CXCR3+	ANA76	679035
1861755	singlet	singlets		679038
1861780	CD20+	CD20+	ANA806	679042
1861795	CXCR3	CXCR3 FMO: viable	ANA76	679046
1861796	singlet	singlets		679046
1861802	singlet	singlets		679048
1861809	CD16+	CD16+	ANA811	679050
1861827	singlet	singlets		679054
1861831	CXCR3+	CXCR3+	ANA76	679054
1861834	lymphocyte	Lymph		679055
1861838	singlet	singlets		679056
1861851	CD19+	CD19+	ANA805	679058
1861855	lymphocyte	Lymph		679059
1861857	CD19+	CD19+	ANA805	679059
1861862		Mono		679060
1861863	CXCR3	CXCR3 FMO: viable	ANA76	679061
1861865		Mono		679061
1861874	singlet	singlets		679064
1861877	lymphocyte	Lymph		679065
1861885	CD3+	CD3+	ANA809	679067
1861901	singlet	singlets		679070
1861908	singlet	singlets		679071
1861914		Activated T: viable		679072
1861920	CD38-	Q4: CD38-	ANA808	679072
1861923	lymphocyte	Lymph		679073
1861947	singlet	singlets		679077
1861949	CD3+	CD3+	ANA809	679077
1861958	HLADR-	Q4: HLADR-	ANA812	679078
1861967		T cell: viable		679082
1861971	singlet	singlets		679083
1861995	CD4+	CD4+	ANA41	679087
1862002	CD4+	CD4+	ANA41	679088
1862019		T cell: viable		679091
1862022	CD3+	CD3+	ANA809	679091
1862039	CD3+	CD3+	ANA809	679094
1862042	CD27+	Q1: CD27+	ANA40	679094
1862049	CD27+	Q2: CD27+	ANA40	679095
1862052	lymphocyte	Lymph		679096
1862059	lymphocyte	Lymph		679097
1862060	CD3+	CD3+	ANA809	679097
1862077	CD3+	CD3+	ANA809	679102
1862079	viable	NK-NKT: viable		679103
1862087	singlet	singlets		679104
1862098	CD314+	Q3: CD314+	ANA886	679105
1862104	CD8+	CD8+	ANA810	679106
1862107	viable	NK-NKT: viable		679107
1862111	CD8-	CD8-	ANA810	679107
1862130	CD8-	CD8-	ANA810	679110
1862138	CD314-	Q4: CD314-	ANA886	679111
1862143	CD3+	CD3+	ANA809	679112
1862145	viable	NK-NKT: viable		679113
1862151	lymphocyte	Lymph		679114
1862160	CD56+	CD56+	ANA815	679115
1862161	HLADR+	HLADR+	ANA812	679115
1862165	CD3-	CD3-	ANA809	679116
1862168	CD314-	Q1: CD314-	ANA886	679116
1862174	CD16+	CD16+	ANA811	679117
1862188	lymphocyte	Lymph		679119
1862209	CD20+	CD20+	ANA806	679124
1862210	viable	B cell: viable		679125
1862213	CD3-	CD3-	ANA809	679125
1862215	CD20+	CD20+	ANA806	679125
1862230	CD19+	CD19+	ANA805	679127
1862231	CD20+	CD20+	ANA806	679127
1862235	singlet	singlets		679128
1862240	IgD-	Q1: IgD-	ANA813	679128
1862252	lymphocyte	Lymph		679130
1862254	CD19+	CD19+	ANA805	679130
1862276	CD27+	CD27+	ANA40	679133
1862277	CD38+	CD38+	ANA808	679133
1862278		Treg: viable		679134
1862289	singlet	singlets		679138
1862290	lymphocyte	Lymph		679138
1862298	CD161+	CD161+	ANA883	679139
1862311	IL2RAhi	CD25hi	ANA163	679141
1862312	CD127low	CD127low	ANA182	679141
1862313	CD161-	Q1: CD161-	ANA883	679141
1862314	CD45RA+	Q1: CD45RA+	ANA816	679141
1862316	singlet	singlets		679142
1862318	CD3+	CD3+	ANA809	679142
1862320	IL2RAhi	CD25hi	ANA163	679142
1862322	CD161+	Q2: CD161+	ANA883	679142
1862347		Treg: viable		679146
1862348	singlet	singlets		679146
1862362	CD16+	CD16+	ANA811	679150
1862370	CXCR3	CXCR3 FMO: viable	ANA76	679152
1862405	CD20+	CD20+	ANA806	679158
1862411	CD20+	CD20+	ANA806	679159
1862431	CXCR3	CXCR3 FMO: viable	ANA76	679166
1862437	singlet	singlets		679167
1862438	lymphocyte	Lymph		679167
1862441	CXCR3+	CXCR3+	ANA76	679167
1862447	singlet	singlets		679169
1862454	CD3+	CD3+	ANA809	679170
1862480	lymphocyte	Lymph		679175
1862505	lymphocyte	Lymph		679182
1862506	CD3+	CD3+	ANA809	679182
1862524	CD38+	Q1: CD38+	ANA808	679185
1862528	CD3+	CD3+	ANA809	679186
1862531	CD38+	Q2: CD38+	ANA808	679186
1862532		Activated T: viable		679187
1862533	singlet	singlets		679187
1862540	singlet	singlets		679188
1862581	CD3+	CD3+	ANA809	679194
1862582	CD8+	CD8+	ANA810	679194
1862584	CD38-	Q4: CD38-	ANA808	679194
1862586	singlet	singlets		679195
1862589		T cell: viable		679196
1862592		T cell: viable		679198
1862594	lymphocyte	Lymph		679198
1862603	CD4+	CD4+	ANA41	679200
1862605	singlet	singlets		679201
1862608	CD4+	CD4+	ANA41	679201
1862618	lymphocyte	Lymph		679203
1862619	CD3+	CD3+	ANA809	679203
1862622	CD27+	Q1: CD27+	ANA40	679203
1862631	singlet	singlets		679205
1862636	CD27-	Q3: CD27-	ANA40	679205
1862637		T cell: viable		679206
1862640	CD3+	CD3+	ANA809	679206
1862643	CD27-	Q4: CD27-	ANA40	679206
1862648	CD8+	CD8+	ANA810	679207
1862655		T cell: viable		679209
1862666	CD45RA-	Q1: CD45RA-	ANA816	679210
1862669	singlet	singlets		679211
1862670	lymphocyte	Lymph		679211
1862679	CD8+	CD8+	ANA810	679212
1862682		T cell: viable		679213
1862708	CD8+	CD8+	ANA810	679219
1862717	CD94+	Q2: CD94+	ANA884	679220
1862725	viable	NK-NKT: viable		679222
1862731	CD94-	Q4: CD94-	ANA884	679222
1862743	CD94+	Q1: CD94+	ANA884	679224
1862746	lymphocyte	Lymph		679225
1862755	CD8-	CD8-	ANA810	679226
1862757	CD94-	Q3: CD94-	ANA884	679226
1862783	CD3-	CD3-	ANA809	679231
1862788	singlet	singlets		679232
1862801	CD314+	Q2: CD314+	ANA886	679233
1862828	CD3-	CD3-	ANA809	679239
1862832	CD3-	CD3-	ANA809	679240
1862844	singlet	singlets		679242
1862856	CD20+	CD20+	ANA806	679243
1862858	CD38+	CD38+	ANA808	679243
1862870	CD3-	CD3-	ANA809	679245
1862874	CD27+	Q2: CD27+	ANA40	679245
1862881	IgD+	Q3: IgD+	ANA813	679246
1862884	singlet	singlets		679247
1862886	CD3-	CD3-	ANA809	679247
1862893	lymphocyte	Lymph		679248
1862896	viable	B cell: viable		679249
1862897	singlet	singlets		679249
1862900	CD20-	CD20-	ANA806	679249
1862908	lymphocyte	Lymph		679252
1862925	singlet	singlets		679256
1862929	IL2RAhi	CD25hi	ANA163	679256
1862934	CD3+	CD3+	ANA809	679257
1862947	CD161+	Q2: CD161+	ANA883	679258
1862954	IL2RAhi	CD25hi	ANA163	679259
1862955	CD127low	CD127low	ANA182	679259
1862957	CD45RA-	Q3: CD45RA-	ANA816	679259
1862963	IL2RAhi	CD25hi	ANA163	679260
1862965	CD161-	Q4: CD161-	ANA883	679260
1862971	CD8+	CD8+	ANA810	679261
1862996	singlet	singlets		679268
1863030	CD20+	CD20+	ANA806	679274
1863034	CD3-	CD3-	ANA809	679275
1863036	CD20+	CD20+	ANA806	679275
1863038	CXCR3	CXCR3 FMO: viable	ANA76	679276
1863039	singlet	singlets		679276
1863048	SIGLEC-3+	CD33+	ANA864	679278
1863051	CXCR3	CXCR3 FMO: viable	ANA76	679280
1863052	singlet	singlets		679280
1863053	CXCR3	CXCR3 FMO: viable	ANA76	679281
1863054	singlet	singlets		679281
1863068	singlet	singlets		679284
1863075	CD4+	CD4+	ANA41	679285
1863085	CD3+	CD3+	ANA809	679287
1863090	CD3+	CD3+	ANA809	679288
1863099	lymphocyte	Lymph		679290
1863102	CD20+	CD20+	ANA806	679290
1863104	singlet	singlets		679291
1863105	lymphocyte	Lymph		679291
1863112		Mono		679292
1863121	CXCR3+	CXCR3+	ANA76	679294
1863135	CD3+	CD3+	ANA809	679299
1863143		Activated T: viable		679301
1863147	CD4+	CD4+	ANA41	679301
1863153	CD3+	CD3+	ANA809	679302
1863158	singlet	singlets		679303
1863161	CD4+	CD4+	ANA41	679303
1863162	HLADR+	Q3: HLADR+	ANA812	679303
1863167	CD3+	CD3+	ANA809	679304
1863173	lymphocyte	Lymph		679305
1863176		Activated T: viable		679306
1863179	CD3+	CD3+	ANA809	679306
1863181	PD1+	PD1+	ANA818	679306
1863193	CD8+	CD8+	ANA810	679308
1863198	lymphocyte	Lymph		679309
1863203		Activated T: viable		679310
1863204	singlet	singlets		679310
1863207	CD8+	CD8+	ANA810	679310
1863208	HLADR-	Q4: HLADR-	ANA812	679310
1863218	singlet	singlets		679314
1863228	CD4+	CD4+	ANA41	679316
1863230	singlet	singlets		679317
1863231	lymphocyte	Lymph		679317
1863243	lymphocyte	Lymph		679319
1863255		T cell: viable		679321
1863261	CD27-	Q3: CD27-	ANA40	679321
1863270	singlet	singlets		679323
1863279	CD28+	CD28+	ANA863	679324
1863285	CD85J+	CD85j+	ANA888	679325
1863292	CD27+	Q1: CD27+	ANA40	679326
1863297	CD8+	CD8+	ANA810	679327
1863307		T cell: viable		679329
1863310	CD3+	CD3+	ANA809	679329
1863316	singlet	singlets		679331
1863323	CD3+	CD3+	ANA809	679333
1863347	CD8+	CD8+	ANA810	679337
1863369	viable	NK-NKT: viable		679341
1863373	CD8-	CD8-	ANA810	679341
1863378	lymphocyte	Lymph		679342
1863405	viable	NK-NKT: viable		679347
1863426	CD314+	Q2: CD314+	ANA886	679349
1863434	CD314+	Q3: CD314+	ANA886	679350
1863435	CD94-	Q3: CD94-	ANA884	679350
1863437	singlet	singlets		679351
1863448	singlet	singlets		679354
1863449	lymphocyte	Lymph		679354
1863467	CD38+	CD38+	ANA808	679357
1863469	singlet	singlets		679358
1863478	lymphocyte	Lymph		679359
1863495	CD3-	CD3-	ANA809	679361
1863515	CD27-	Q4: CD27-	ANA40	679363
1863522	singlet	singlets		679365
1863527	CD38+	CD38+	ANA808	679365
1863532	singlet	singlets		679368
1863536	lymphocyte	Lymph		679369
1863539	singlet	singlets		679370
1863540	lymphocyte	Lymph		679370
1863546	CD3+	CD3+	ANA809	679371
1863552	CD3+	CD3+	ANA809	679372
1863561	IL2RAhi	CD25hi	ANA163	679373
1863586	CD3+	CD3+	ANA809	679376
1863604	CXCR3	CXCR3 FMO: viable	ANA76	679380
1863622	lymphocyte	Lymph		679384
1863624	CXCR3	CXCR3 FMO: viable	ANA76	679385
1863629	CXCR3	CXCR3 FMO: viable	ANA76	679386
1863648	lymphocyte	Lymph		679389
1863652	lymphocyte	Lymph		679390
1863657	singlet	singlets		679391
1863661	CD20+	CD20+	ANA806	679391
1863664	singlet	singlets		679392
1863666	CXCR3	CXCR3 FMO: viable	ANA76	679393
1863667	singlet	singlets		679393
1863671	singlet	singlets		679394
1863674	CXCR3+	CXCR3+	ANA76	679394
1863682	singlet	singlets		679398
1863683	lymphocyte	Lymph		679398
1863685	CD56+	CD56+	ANA815	679398
1863690	CD56+	CD56+	ANA815	679399
1863700	CD4+	CD4+	ANA41	679401
1863708	singlet	singlets		679403
1863710	CD3+	CD3+	ANA809	679403
1863711	CD8+	CD8+	ANA810	679403
1863716	CD8+	CD8+	ANA810	679404
1863726	CD19+	CD19+	ANA805	679406
1863757		Activated T: viable		679415
1863758	singlet	singlets		679415
1863762		Activated T: viable		679416
1863785	CD3+	CD3+	ANA809	679419
1863787	HLADR+	Q3: HLADR+	ANA812	679419
1863788	CD38-	Q3: CD38-	ANA808	679419
1863795	CD38-	Q4: CD38-	ANA808	679420
1863801		Activated T: viable		679422
1863803	lymphocyte	Lymph		679422
1863821		Activated T: viable		679425
1863825	CD8+	CD8+	ANA810	679425
1863826	HLADR+	Q3: HLADR+	ANA812	679425
1863835		Activated T: viable		679427
1863842		T cell: viable		679430
1863843	singlet	singlets		679430
1863852	CD3+	CD3+	ANA809	679432
1863855	singlet	singlets		679433
1863858	CD4+	CD4+	ANA41	679433
1863861	singlet	singlets		679434
1863871	CD45RA-	Q1: CD45RA-	ANA816	679435
1863874	singlet	singlets		679436
1863897	CD3+	CD3+	ANA809	679439
1863901	lymphocyte	Lymph		679440
1863907	lymphocyte	Lymph		679441
1863917	CD27+	Q1: CD27+	ANA40	679442
1863925		T cell: viable		679444
1863932		T cell: viable		679445
1863947	lymphocyte	Lymph		679449
1863952	CD3+	CD3+	ANA809	679450
1863966	CD314+	Q2: CD314+	ANA886	679452
1863973	CD314+	Q3: CD314+	ANA886	679453
1864012	CD8-	CD8-	ANA810	679459
1864021	singlet	singlets		679461
1864022	lymphocyte	Lymph		679461
1864037	viable	NK-NKT: viable		679464
1864038	singlet	singlets		679464
1864065	CD16+	CD16+	ANA811	679467
1864069	viable	B cell: viable		679468
1864078	CD3-	CD3-	ANA809	679471
1864085	viable	B cell: viable		679473
1864092	CD38+	CD38+	ANA808	679473
1864098	CD20+	CD20+	ANA806	679474
1864112	CD3-	CD3-	ANA809	679476
1864114	CD20+	CD20+	ANA806	679476
1864116	CD27+	Q1: CD27+	ANA40	679476
1864135	lymphocyte	Lymph		679479
1864137	CD19+	CD19+	ANA805	679479
1864153		Treg: viable		679482
1864165	lymphocyte	Lymph		679486
1864185	CD4+	CD4+	ANA41	679489
1864187	CD127low	CD127low	ANA182	679489
1864188	CD161-	Q1: CD161-	ANA883	679489
1864198	CD45RA+	Q2: CD45RA+	ANA816	679490
1864199		Treg: viable		679491
1864207	CD45RA-	Q3: CD45RA-	ANA816	679491
1864218	singlet	singlets		679493
1864220	CD3+	CD3+	ANA809	679493
1864228	CXCR3	CXCR3 FMO: viable	ANA76	679495
1864238	CD56+	CD56+	ANA815	679498
1864243	CD56+	CD56+	ANA815	679499
1864252	CD3+	CD3+	ANA809	679501
1864261	singlet	singlets		679503
1864303	CXCR3	CXCR3 FMO: viable	ANA76	679513
1864304	singlet	singlets		679513
1864305	lymphocyte	Lymph		679513
1864314	CD16+	CD16+	ANA811	679515
1864321	CXCR3	CXCR3 FMO: viable	ANA76	679517
1864337	CXCR3	CXCR3 FMO: viable	ANA76	679520
1864338	singlet	singlets		679520
1864339	lymphocyte	Lymph		679520
1864341	CD8+	CD8+	ANA810	679520
1864347	CXCR3	CXCR3 FMO: viable	ANA76	679522
1864354	singlet	singlets		679523
1864392	PD1+	PD1+	ANA818	679532
1864394	singlet	singlets		679533
1864406	CD38+	Q2: CD38+	ANA808	679534
1864425	CD8+	CD8+	ANA810	679537
1864436	CD8+	CD8+	ANA810	679539
1864457	CD8+	CD8+	ANA810	679542
1864460		Activated T: viable		679543
1864465		T cell: viable		679545
