FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
2094802	lymphocyte	Lymph		774400
2094830	CD3-	CD3-	ANA809	774405
2094838	singlet	singlets		774407
2094874		Activated T: viable		774416
2094890	lymphocyte	Lymph		774418
2094892	CD4+	CD4+	ANA41	774418
2094894	CD38-	Q4: CD38-	ANA808	774418
2094897	lymphocyte	Lymph		774419
2094899	CD8+	CD8+	ANA810	774419
2094907	singlet	singlets		774421
2094910	CD8+	CD8+	ANA810	774421
2094916	CD3+	CD3+	ANA809	774422
2094919	CD38+	Q2: CD38+	ANA808	774422
2094922	lymphocyte	Lymph		774423
2094925	HLADR+	Q3: HLADR+	ANA812	774423
2094931	CD8+	CD8+	ANA810	774424
2094939		T cell: viable		774427
2094943	lymphocyte	Lymph		774428
2094963	CD4+	CD4+	ANA41	774432
2094974	lymphocyte	Lymph		774434
2094983	CD4+	CD4+	ANA41	774435
2094991	CD45RA-	Q4: CD45RA-	ANA816	774436
2094994	singlet	singlets		774437
2095004		T cell: viable		774439
2095012	lymphocyte	Lymph		774440
2095014	CD8+	CD8+	ANA810	774440
2095017		T cell: viable		774441
2095048	viable	NK-NKT: viable		774448
2095061	singlet	singlets		774450
2095062	lymphocyte	Lymph		774450
2095078	CD8+	CD8+	ANA810	774452
2095081	viable	NK-NKT: viable		774453
2095091	CD314-	Q1: CD314-	ANA886	774454
2095096	CD3+	CD3+	ANA809	774455
2095098	CD314+	Q2: CD314+	ANA886	774455
2095101	singlet	singlets		774456
2095115	singlet	singlets		774458
2095120	singlet	singlets		774459
2095145	singlet	singlets		774463
2095156	CD16+	CD16+	ANA811	774464
2095169	viable	B cell: viable		774467
2095170	singlet	singlets		774467
2095176	lymphocyte	Lymph		774469
2095197	CD20+	CD20+	ANA806	774472
2095202	lymphocyte	Lymph		774473
2095206	CD24-	CD24-	ANA807	774473
2095212	CD19+	CD19+	ANA805	774474
2095213	CD20+	CD20+	ANA806	774474
2095229	CD20+	CD20+	ANA806	774476
2095232	viable	B cell: viable		774477
2095233	singlet	singlets		774477
2095243	CD3-	CD3-	ANA809	774478
2095280		Treg: viable		774487
2095281	singlet	singlets		774487
2095283	CD3+	CD3+	ANA809	774487
2095294	IL2RAhi	CD25hi	ANA163	774488
2095303	IL2RAhi	CD25hi	ANA163	774489
2095307		Treg: viable		774490
2095331	singlet	singlets		774495
2095337	CD56+	CD56+	ANA815	774496
2095338	CXCR3	CXCR3 FMO: viable	ANA76	774497
2095343	CXCR3+	CXCR3+	ANA76	774497
2095344	CXCR3	CXCR3 FMO: viable	ANA76	774498
2095377	CD3-	CD3-	ANA809	774504
2095383	CD3-	CD3-	ANA809	774505
2095384	CD19+	CD19+	ANA805	774505
2095388	singlet	singlets		774506
2095392		Mono		774507
2095402	CXCR3	CXCR3: viable	ANA76	774511
2095403	singlet	singlets		774511
2095411	singlet	singlets		774513
2095427	lymphocyte	Lymph		774516
2095430	CXCR3+	CXCR3+	ANA76	774516
2095438	lymphocyte	Lymph		774518
2095467	singlet	singlets		774524
2095471		Activated T: viable		774525
2095479	lymphocyte	Lymph		774528
2095480	CD3+	CD3+	ANA809	774528
2095483	lymphocyte	Lymph		774529
2095493	singlet	singlets		774531
2095499		Activated T: viable		774532
2095501	lymphocyte	Lymph		774532
2095516	CD3+	CD3+	ANA809	774534
2095517	CD4+	CD4+	ANA41	774534
2095524	CD8+	CD8+	ANA810	774535
2095526	singlet	singlets		774536
2095528	CD3+	CD3+	ANA809	774536
2095535	CD8+	CD8+	ANA810	774537
2095536	HLADR-	Q1: HLADR-	ANA812	774537
2095538		Activated T: viable		774538
2095554	lymphocyte	Lymph		774540
2095566		T cell: viable		774544
2095581	CD3+	CD3+	ANA809	774547
2095601	CD4+	CD4+	ANA41	774550
2095606	lymphocyte	Lymph		774551
2095619	singlet	singlets		774553
2095632	CD3+	CD3+	ANA809	774555
2095635		T cell: viable		774556
2095651	lymphocyte	Lymph		774558
2095661	CD45RA-	Q4: CD45RA-	ANA816	774559
2095665	singlet	singlets		774561
2095676	CD3+	CD3+	ANA809	774564
2095677	CD8+	CD8+	ANA810	774564
2095679	singlet	singlets		774565
2095683	CD314-	Q1: CD314-	ANA886	774565
2095708	lymphocyte	Lymph		774569
2095709	CD3+	CD3+	ANA809	774569
2095727	lymphocyte	Lymph		774572
2095731	CD94-	Q3: CD94-	ANA884	774572
2095735	CD3+	CD3+	ANA809	774573
2095736	CD8-	CD8-	ANA810	774573
2095742	CD3+	CD3+	ANA809	774574
2095748	viable	NK-NKT: viable		774576
2095759	CD56+	CD56+	ANA815	774577
2095767	CD314-	Q1: CD314-	ANA886	774578
2095773	CD16+	CD16+	ANA811	774579
2095774	CD56+	CD56+	ANA815	774579
2095775	CD314+	Q2: CD314+	ANA886	774579
2095782	CD56+	CD56+	ANA815	774580
2095783	CD314+	Q3: CD314+	ANA886	774580
2095785	viable	NK-NKT: viable		774581
2095802	CD3-	CD3-	ANA809	774585
2095809	viable	B cell: viable		774587
2095816	CD38+	CD38+	ANA808	774587
2095823	CD24+	CD24+	ANA807	774588
2095828	CD3-	CD3-	ANA809	774589
2095834	singlet	singlets		774590
2095854	CD20+	CD20+	ANA806	774592
2095857	viable	B cell: viable		774593
2095861	CD19+	CD19+	ANA805	774593
2095863	IgD-	Q4: IgD-	ANA813	774593
2095886	CD3+	CD3+	ANA809	774599
2095894	lymphocyte	Lymph		774601
2095911	CD127low	CD127low	ANA182	774603
2095932		Treg: viable		774606
2095938	CD127low	CD127low	ANA182	774606
2095939	CD161-	Q4: CD161-	ANA883	774606
2095943	lymphocyte	Lymph		774607
2095950	CD8+	CD8+	ANA810	774608
2095951	CD161+	CD161+	ANA883	774608
2095953	CXCR3	CXCR3 FMO: viable	ANA76	774610
2095955	CXCR3	CXCR3 FMO: viable	ANA76	774611
2095958	CXCR3	CXCR3 FMO: viable	ANA76	774612
2095959	singlet	singlets		774612
2095994	CXCR3+	CXCR3+	ANA76	774618
2096005	CXCR3	CXCR3 FMO: viable	ANA76	774621
2096019	CXCR3	CXCR3 FMO: viable	ANA76	774624
2096027	CXCR3	CXCR3: viable	ANA76	774627
2096036	singlet	singlets		774629
2096063	lymphocyte	Lymph		774634
2096066	CXCR3+	CXCR3+	ANA76	774634
2096071	CXCR3	CXCR3: viable	ANA76	774636
2096073	lymphocyte	Lymph		774636
2096082	CD20+	CD20+	ANA806	774637
2096088	singlet	singlets		774639
2096091	CXCR3	CXCR3: viable	ANA76	774640
2096096		Activated T: viable		774641
2096105	CD3+	CD3+	ANA809	774644
2096118	singlet	singlets		774647
2096119	lymphocyte	Lymph		774647
2096125	singlet	singlets		774648
2096131		Activated T: viable		774649
2096146	singlet	singlets		774651
2096164	singlet	singlets		774654
2096171	singlet	singlets		774655
2096172	lymphocyte	Lymph		774655
2096179	lymphocyte	Lymph		774656
2096190	singlet	singlets		774659
2096218	CD3+	CD3+	ANA809	774665
2096230	singlet	singlets		774667
2096246	CD3+	CD3+	ANA809	774669
2096252	CD8+	CD8+	ANA810	774670
2096256	lymphocyte	Lymph		774671
2096257	CD3+	CD3+	ANA809	774671
2096269	lymphocyte	Lymph		774673
2096273	CD27+	Q2: CD27+	ANA40	774673
2096275	singlet	singlets		774674
2096276	lymphocyte	Lymph		774674
2096278	CD8+	CD8+	ANA810	774674
2096282	singlet	singlets		774675
2096292	singlet	singlets		774678
2096296	lymphocyte	Lymph		774679
2096298	viable	NK-NKT: viable		774680
2096304	singlet	singlets		774681
2096307	CD8+	CD8+	ANA810	774681
2096308	CD314-	Q1: CD314-	ANA886	774681
2096316	CD94+	Q2: CD94+	ANA884	774682
2096321	CD8+	CD8+	ANA810	774683
2096322	CD314+	Q3: CD314+	ANA886	774683
2096334	CD3+	CD3+	ANA809	774685
2096335	CD8-	CD8-	ANA810	774685
2096336	viable	NK-NKT: viable		774686
2096342	CD94+	Q1: CD94+	ANA884	774686
2096355	CD314+	Q3: CD314+	ANA886	774688
2096356	CD94-	Q3: CD94-	ANA884	774688
2096357	viable	NK-NKT: viable		774689
2096364	viable	NK-NKT: viable		774690
2096387	singlet	singlets		774694
2096406	CD16+	CD16+	ANA811	774696
2096408	CD314+	Q3: CD314+	ANA886	774696
2096409	CD94-	Q3: CD94-	ANA884	774696
2096426	lymphocyte	Lymph		774701
2096434	viable	B cell: viable		774703
2096437	CD3-	CD3-	ANA809	774703
2096459	singlet	singlets		774706
2096461	CD3-	CD3-	ANA809	774706
2096462	CD19+	CD19+	ANA805	774706
2096468	lymphocyte	Lymph		774707
2096471	CD20+	CD20+	ANA806	774707
2096476	lymphocyte	Lymph		774708
2096482	viable	B cell: viable		774709
2096487	CD20+	CD20+	ANA806	774709
2096511	CD3+	CD3+	ANA809	774715
2096518	singlet	singlets		774717
2096524	singlet	singlets		774718
2096528	IL2RAhi	CD25hi	ANA163	774718
2096530		Treg: viable		774719
2096532	lymphocyte	Lymph		774719
2096553	IL2RAhi	CD25hi	ANA163	774721
2096572	singlet	singlets		774724
2096583	CXCR3	CXCR3 FMO: viable	ANA76	774728
2096597	CD3+	CD3+	ANA809	774730
2096600	lymphocyte	Lymph		774731
2096605	lymphocyte	Lymph		774732
2096606	CD3+	CD3+	ANA809	774732
2096608	CXCR3+	CXCR3+	ANA76	774732
2096610	singlet	singlets		774733
2096631	singlet	singlets		774737
2096643	SIGLEC-3+	CD33+	ANA864	774739
2096646		Mono		774740
2096668	lymphocyte	Lymph		774746
2096669	CD3+	CD3+	ANA809	774746
2096675	CXCR3	CXCR3: viable	ANA76	774748
2096678	CD3+	CD3+	ANA809	774748
2096680	CXCR3+	CXCR3+	ANA76	774748
2096687	singlet	singlets		774750
2096699	CD3-	CD3-	ANA809	774752
2096709	CXCR3	CXCR3: viable	ANA76	774754
2096715	SIGLEC-3+	CD33+	ANA864	774755
2096723	singlet	singlets		774758
2096729	lymphocyte	Lymph		774760
2096731		Activated T: viable		774761
2096739	CD3+	CD3+	ANA809	774762
2096744	lymphocyte	Lymph		774763
2096753	CD4+	CD4+	ANA41	774764
2096764	singlet	singlets		774766
2096779	CD8+	CD8+	ANA810	774768
2096790	lymphocyte	Lymph		774770
2096796	singlet	singlets		774771
2096817	singlet	singlets		774776
2096821	lymphocyte	Lymph		774777
2096822	CD3+	CD3+	ANA809	774777
2096827	CD4+	CD4+	ANA41	774778
2096837	CD3+	CD3+	ANA809	774780
2096838	CD4+	CD4+	ANA41	774780
2096857	CD3+	CD3+	ANA809	774783
2096861		T cell: viable		774784
2096862	singlet	singlets		774784
2096875	lymphocyte	Lymph		774786
2096882	CD3+	CD3+	ANA809	774787
2096899		T cell: viable		774790
2096921	lymphocyte	Lymph		774795
2096922	CD3+	CD3+	ANA809	774795
2096938	CD3+	CD3+	ANA809	774798
2096942	viable	NK-NKT: viable		774799
2096946	CD8+	CD8+	ANA810	774799
2096954	CD314-	Q4: CD314-	ANA886	774800
2096966	CD314-	Q1: CD314-	ANA886	774802
2096973	CD314+	Q2: CD314+	ANA886	774803
2096974	CD94+	Q2: CD94+	ANA884	774803
2096978	CD3+	CD3+	ANA809	774804
2096980	CD314+	Q3: CD314+	ANA886	774804
2096985	CD3+	CD3+	ANA809	774805
2096986	CD8-	CD8-	ANA810	774805
2097007	CD3-	CD3-	ANA809	774809
2097011	viable	NK-NKT: viable		774810
2097016	CD56+	CD56+	ANA815	774810
2097017	CD314-	Q1: CD314-	ANA886	774810
2097026	CD94+	Q2: CD94+	ANA884	774811
2097035	viable	NK-NKT: viable		774813
2097056	CD3-	CD3-	ANA809	774818
2097064	CD20+	CD20+	ANA806	774819
2097079	CD19+	CD19+	ANA805	774821
2097080	CD20+	CD20+	ANA806	774821
2097083	viable	B cell: viable		774822
2097104	CD20+	CD20+	ANA806	774824
2097112	CD20+	CD20+	ANA806	774825
2097113	IgD-	Q4: IgD-	ANA813	774825
2097115	viable	B cell: viable		774826
2097121	singlet	singlets		774827
2097129	singlet	singlets		774829
2097131	singlet	singlets		774830
2097135	lymphocyte	Lymph		774831
2097136	CD3+	CD3+	ANA809	774831
2097139	lymphocyte	Lymph		774832
2097150	lymphocyte	Lymph		774834
2097168	CD4+	CD4+	ANA41	774836
2097169	IL2RAhi	CD25hi	ANA163	774836
2097175	lymphocyte	Lymph		774837
2097183	singlet	singlets		774838
2097188	CD127low	CD127low	ANA182	774838
2097201	CD161+	CD161+	ANA883	774840
2097212	CD56+	CD56+	ANA815	774844
2097217	CD56+	CD56+	ANA815	774845
2097225	lymphocyte	Lymph		774847
2097232	CD4+	CD4+	ANA41	774848
2097244	CXCR3+	CXCR3+	ANA76	774850
2097259	CD19+	CD19+	ANA805	774853
2097265	CXCR3	CXCR3 FMO: viable	ANA76	774855
2097268	SIGLEC-3+	CD33+	ANA864	774855
2097284	CD56+	CD56+	ANA815	774860
2097291	CXCR3	CXCR3: viable	ANA76	774862
2097303	CD3+	CD3+	ANA809	774864
2097305	CXCR3+	CXCR3+	ANA76	774864
2097311	CXCR3	CXCR3: viable	ANA76	774866
2097312	singlet	singlets		774866
2097314	CD3+	CD3+	ANA809	774866
2097316	CXCR3+	CXCR3+	ANA76	774866
2097321	CXCR3	CXCR3: viable	ANA76	774868
2097350	singlet	singlets		774875
2097352		Activated T: viable		774876
2097358	lymphocyte	Lymph		774877
2097374		Activated T: viable		774880
2097388		Activated T: viable		774882
2097391	CD3+	CD3+	ANA809	774882
2097401	singlet	singlets		774884
2097411	HLADR-	Q1: HLADR-	ANA812	774885
2097426	CD38-	Q3: CD38-	ANA808	774887
2097430	CD3+	CD3+	ANA809	774888
2097435	singlet	singlets		774889
2097442	singlet	singlets		774892
2097450	lymphocyte	Lymph		774894
2097455	lymphocyte	Lymph		774895
