fcs_file_name	fcs_version	FCS_file_name	Panel
FluVaccine-K11-09-10_NCH-VK23Mono,2f,Gran,2f,SLAN.483514.fcs	3	FluVaccine-K11-09-10_NCH-VK23Mono,2f,Gran,2f,SLAN.483514.fcs	Mono
FluVaccine-K11-09-10_NCH-VK23TFHPanel.483516.fcs	3	FluVaccine-K11-09-10_NCH-VK23TFHPanel.483516.fcs	TFH
FluVaccine-K11-09-10_NCH-VK24BPanel.483533.fcs	3	FluVaccine-K11-09-10_NCH-VK24BPanel.483533.fcs	B
FluVaccine-K11-09-10_NCH-VK24DCPanel.483536.fcs	3	FluVaccine-K11-09-10_NCH-VK24DCPanel.483536.fcs	DC
FluVaccine-K11-09-10_NCH-VK24Mono,2f,Gran,2f,SLAN.483538.fcs	3	FluVaccine-K11-09-10_NCH-VK24Mono,2f,Gran,2f,SLAN.483538.fcs	Mono
FluVaccine-K11-09-10_NCH-VK24TFHPanel.483540.fcs	3	FluVaccine-K11-09-10_NCH-VK24TFHPanel.483540.fcs	TFH
FluVaccine-K11-09-10_NCH-VK39BPanel.483918.fcs	3	FluVaccine-K11-09-10_NCH-VK39BPanel.483918.fcs	B
FluVaccine-K11-09-10_NCH-VK39DCPanel.483921.fcs	3	FluVaccine-K11-09-10_NCH-VK39DCPanel.483921.fcs	DC
FluVaccine-K11-09-10_NCH-VK39Mono,2f,Gran,2f,SLAN.483923.fcs	3	FluVaccine-K11-09-10_NCH-VK39Mono,2f,Gran,2f,SLAN.483923.fcs	Mono
FluVaccine-K11-09-10_NCH-VK39TFHPanel.483925.fcs	3	FluVaccine-K11-09-10_NCH-VK39TFHPanel.483925.fcs	TFH
FluVaccine-K11-10-10_NCH-VK25BPanel.483568.fcs	3	FluVaccine-K11-10-10_NCH-VK25BPanel.483568.fcs	B
FluVaccine-K11-10-10_NCH-VK25TFHPanel.483581.fcs	3	FluVaccine-K11-10-10_NCH-VK25TFHPanel.483581.fcs	TFH
FluVaccine-K11-10-10_NCH-VK26BPanel.483625.fcs	3	FluVaccine-K11-10-10_NCH-VK26BPanel.483625.fcs	B
FluVaccine-K11-10-10_NCH-VK26TFHPanel.483628.fcs	3	FluVaccine-K11-10-10_NCH-VK26TFHPanel.483628.fcs	TFH
FluVaccine-K11-10-10_NCH-VK27BPanel.483654.fcs	3	FluVaccine-K11-10-10_NCH-VK27BPanel.483654.fcs	B
FluVaccine-K11-10-10_NCH-VK27TFHPanel.483657.fcs	3	FluVaccine-K11-10-10_NCH-VK27TFHPanel.483657.fcs	TFH
FluVaccine-K11-10-10_NCH-VK28BPanel.483669.fcs	3	FluVaccine-K11-10-10_NCH-VK28BPanel.483669.fcs	B
FluVaccine-K11-10-10_NCH-VK28TFHPanel.483672.fcs	3	FluVaccine-K11-10-10_NCH-VK28TFHPanel.483672.fcs	TFH
FluVaccine-K11-11-10_NCH-VK29BPanel.483684.fcs	3	FluVaccine-K11-11-10_NCH-VK29BPanel.483684.fcs	B
FluVaccine-K11-11-10_NCH-VK29TFHPanel.483697.fcs	3	FluVaccine-K11-11-10_NCH-VK29TFHPanel.483697.fcs	TFH
FluVaccine-K11-11-10_NCH-VK30BPanel.483709.fcs	3	FluVaccine-K11-11-10_NCH-VK30BPanel.483709.fcs	B
FluVaccine-K11-11-10_NCH-VK30TFHPanel.483712.fcs	3	FluVaccine-K11-11-10_NCH-VK30TFHPanel.483712.fcs	TFH
FluVaccine-K11-11-10_NCH-VK31BPanel.483724.fcs	3	FluVaccine-K11-11-10_NCH-VK31BPanel.483724.fcs	B
FluVaccine-K11-11-10_NCH-VK31TFHPanel.483727.fcs	3	FluVaccine-K11-11-10_NCH-VK31TFHPanel.483727.fcs	TFH
FluVaccine-K11-11-10_NCH-VK32BPanel.483753.fcs	3	FluVaccine-K11-11-10_NCH-VK32BPanel.483753.fcs	B
FluVaccine-K11-11-10_NCH-VK32TFHPanel.483756.fcs	3	FluVaccine-K11-11-10_NCH-VK32TFHPanel.483756.fcs	TFH
FluVaccine-K11-11-10_NCH-VK33BPanel.483773.fcs	3	FluVaccine-K11-11-10_NCH-VK33BPanel.483773.fcs	B
FluVaccine-K11-11-10_NCH-VK33TFHPanel.483776.fcs	3	FluVaccine-K11-11-10_NCH-VK33TFHPanel.483776.fcs	TFH
FluVaccine-K11-12-10_NCH-VK34BPanel.483802.fcs	3	FluVaccine-K11-12-10_NCH-VK34BPanel.483802.fcs	B
FluVaccine-K11-12-10_NCH-VK34TFHPanel.483805.fcs	3	FluVaccine-K11-12-10_NCH-VK34TFHPanel.483805.fcs	TFH
FluVaccine-K11-12-10_NCH-VK35BPanel.483822.fcs	3	FluVaccine-K11-12-10_NCH-VK35BPanel.483822.fcs	B
FluVaccine-K11-12-10_NCH-VK35TFHPanel.483825.fcs	3	FluVaccine-K11-12-10_NCH-VK35TFHPanel.483825.fcs	TFH
FluVaccine-K11-12-10_NCH-VK36BPanel.483839.fcs	3	FluVaccine-K11-12-10_NCH-VK36BPanel.483839.fcs	B
FluVaccine-K11-12-10_NCH-VK36TFHPanel.483842.fcs	3	FluVaccine-K11-12-10_NCH-VK36TFHPanel.483842.fcs	TFH
FluVaccine-K11-12-10_NCH-VK37BPanel.483868.fcs	3	FluVaccine-K11-12-10_NCH-VK37BPanel.483868.fcs	B
FluVaccine-K11-12-10_NCH-VK37TFHPanel.483871.fcs	3	FluVaccine-K11-12-10_NCH-VK37TFHPanel.483871.fcs	TFH
FluVaccine-K11-16-10_NCH-VK21BPanel.483451.fcs	3	FluVaccine-K11-16-10_NCH-VK21BPanel.483451.fcs	B
FluVaccine-K11-16-10_NCH-VK21TFHPanel.483464.fcs	3	FluVaccine-K11-16-10_NCH-VK21TFHPanel.483464.fcs	TFH
FluVaccine-K11-16-10_NCH-VK22BPanel.483499.fcs	3	FluVaccine-K11-16-10_NCH-VK22BPanel.483499.fcs	B
FluVaccine-K11-16-10_NCH-VK22TFHPanel.483502.fcs	3	FluVaccine-K11-16-10_NCH-VK22TFHPanel.483502.fcs	TFH
FluVaccine-K11-16-10_NCH-VK23BPanel.483523.fcs	3	FluVaccine-K11-16-10_NCH-VK23BPanel.483523.fcs	B
FluVaccine-K11-16-10_NCH-VK23TFHPanel.483526.fcs	3	FluVaccine-K11-16-10_NCH-VK23TFHPanel.483526.fcs	TFH
FluVaccine-K11-16-10_NCH-VK24BPanel.483558.fcs	3	FluVaccine-K11-16-10_NCH-VK24BPanel.483558.fcs	B
FluVaccine-K11-16-10_NCH-VK24TFHPanel.483561.fcs	3	FluVaccine-K11-16-10_NCH-VK24TFHPanel.483561.fcs	TFH
FluVaccine-K11-16-10_NCH-VK39BPanel.483932.fcs	3	FluVaccine-K11-16-10_NCH-VK39BPanel.483932.fcs	B
FluVaccine-K11-16-10_NCH-VK39TFHPanel.483935.fcs	3	FluVaccine-K11-16-10_NCH-VK39TFHPanel.483935.fcs	TFH
FluVaccine-K11-17-10_NCH-VK27BPanel.483664.fcs	3	FluVaccine-K11-17-10_NCH-VK27BPanel.483664.fcs	B
FluVaccine-K11-17-10_NCH-VK27TFHPanel.483667.fcs	3	FluVaccine-K11-17-10_NCH-VK27TFHPanel.483667.fcs	TFH
FluVaccine-K11-17-10_NCH-VK28BPanel.483679.fcs	3	FluVaccine-K11-17-10_NCH-VK28BPanel.483679.fcs	B
FluVaccine-K11-17-10_NCH-VK28TFHPanel.483682.fcs	3	FluVaccine-K11-17-10_NCH-VK28TFHPanel.483682.fcs	TFH
FluVaccine-K11-19-10_NCH-VK25BPanel.483605.fcs	3	FluVaccine-K11-19-10_NCH-VK25BPanel.483605.fcs	B
FluVaccine-K11-19-10_NCH-VK25TFHPanel.483618.fcs	3	FluVaccine-K11-19-10_NCH-VK25TFHPanel.483618.fcs	TFH
FluVaccine-K11-19-10_NCH-VK26BPanel.483644.fcs	3	FluVaccine-K11-19-10_NCH-VK26BPanel.483644.fcs	B
FluVaccine-K11-19-10_NCH-VK26TFHPanel.483647.fcs	3	FluVaccine-K11-19-10_NCH-VK26TFHPanel.483647.fcs	TFH
FluVaccine-K11-19-10_NCH-VK29BPanel.483704.fcs	3	FluVaccine-K11-19-10_NCH-VK29BPanel.483704.fcs	B
FluVaccine-K11-19-10_NCH-VK29TFHPanel.483707.fcs	3	FluVaccine-K11-19-10_NCH-VK29TFHPanel.483707.fcs	TFH
FluVaccine-K11-19-10_NCH-VK30BPanel.483719.fcs	3	FluVaccine-K11-19-10_NCH-VK30BPanel.483719.fcs	B
FluVaccine-K11-19-10_NCH-VK30TFHPanel.483722.fcs	3	FluVaccine-K11-19-10_NCH-VK30TFHPanel.483722.fcs	TFH
FluVaccine-K11-19-10_NCH-VK31BPanel.483743.fcs	3	FluVaccine-K11-19-10_NCH-VK31BPanel.483743.fcs	B
FluVaccine-K11-19-10_NCH-VK31TFHPanel.483746.fcs	3	FluVaccine-K11-19-10_NCH-VK31TFHPanel.483746.fcs	TFH
FluVaccine-K11-19-10_NCH-VK32BPanel.483763.fcs	3	FluVaccine-K11-19-10_NCH-VK32BPanel.483763.fcs	B
FluVaccine-K11-19-10_NCH-VK32TFHPanel.483766.fcs	3	FluVaccine-K11-19-10_NCH-VK32TFHPanel.483766.fcs	TFH
FluVaccine-K11-19-10_NCH-VK33BPanel.483792.fcs	3	FluVaccine-K11-19-10_NCH-VK33BPanel.483792.fcs	B
FluVaccine-K11-19-10_NCH-VK33TFHPanel.483795.fcs	3	FluVaccine-K11-19-10_NCH-VK33TFHPanel.483795.fcs	TFH
FluVaccine-K11-19-10_NCH-VK34BPanel.483812.fcs	3	FluVaccine-K11-19-10_NCH-VK34BPanel.483812.fcs	B
FluVaccine-K11-19-10_NCH-VK34TFHPanel.483815.fcs	3	FluVaccine-K11-19-10_NCH-VK34TFHPanel.483815.fcs	TFH
FluVaccine-K11-19-10_NCH-VK35TFHPanel.483832.fcs	3	FluVaccine-K11-19-10_NCH-VK35TFHPanel.483832.fcs	TFH
FluVaccine-K11-19-10_NCH-VK36BPanel.483858.fcs	3	FluVaccine-K11-19-10_NCH-VK36BPanel.483858.fcs	B
FluVaccine-K11-19-10_NCH-VK36TFHPanel.483861.fcs	3	FluVaccine-K11-19-10_NCH-VK36TFHPanel.483861.fcs	TFH
FluVaccine-K11-29-10_NCH-VK38BPanel.483892.fcs	3	FluVaccine-K11-29-10_NCH-VK38BPanel.483892.fcs	B
FluVaccine-K11-29-10_NCH-VK38DCPanel.483895.fcs	3	FluVaccine-K11-29-10_NCH-VK38DCPanel.483895.fcs	DC
FluVaccine-K11-29-10_NCH-VK38Mono,2f,Gran,2f,SLAN.483973.fcs	3	FluVaccine-K11-29-10_NCH-VK38Mono,2f,Gran,2f,SLAN.483973.fcs	Mono
FluVaccine-K11-29-10_NCH-VK38TFHPanel.483897.fcs	3	FluVaccine-K11-29-10_NCH-VK38TFHPanel.483897.fcs	TFH
FluVaccine-K11-29-10_NCH-VK40BPanel.483942.fcs	3	FluVaccine-K11-29-10_NCH-VK40BPanel.483942.fcs	B
FluVaccine-K11-29-10_NCH-VK40DCPanel.483945.fcs	3	FluVaccine-K11-29-10_NCH-VK40DCPanel.483945.fcs	DC
FluVaccine-K11-29-10_NCH-VK40Mono,2f,Gran,2f,SLAN.483947.fcs	3	FluVaccine-K11-29-10_NCH-VK40Mono,2f,Gran,2f,SLAN.483947.fcs	Mono
FluVaccine-K11-29-10_NCH-VK40TFHPanel.483949.fcs	3	FluVaccine-K11-29-10_NCH-VK40TFHPanel.483949.fcs	TFH
FluVaccine-K12-03-10_NCH-VK24BPanel.483542.fcs	3	FluVaccine-K12-03-10_NCH-VK24BPanel.483542.fcs	B
FluVaccine-K12-03-10_NCH-VK24TFHPanel.483556.fcs	3	FluVaccine-K12-03-10_NCH-VK24TFHPanel.483556.fcs	TFH
FluVaccine-K12-03-10_NCH-VK32BPanel.483758.fcs	3	FluVaccine-K12-03-10_NCH-VK32BPanel.483758.fcs	B
FluVaccine-K12-03-10_NCH-VK32TFHPanel.483761.fcs	3	FluVaccine-K12-03-10_NCH-VK32TFHPanel.483761.fcs	TFH
FluVaccine-K12-03-10_NCH-VK33BPanel.483787.fcs	3	FluVaccine-K12-03-10_NCH-VK33BPanel.483787.fcs	B
FluVaccine-K12-03-10_NCH-VK33TFHPanel.483790.fcs	3	FluVaccine-K12-03-10_NCH-VK33TFHPanel.483790.fcs	TFH
FluVaccine-K12-03-10_NCH-VK37BPanel.483882.fcs	3	FluVaccine-K12-03-10_NCH-VK37BPanel.483882.fcs	B
FluVaccine-K12-03-10_NCH-VK37TFHPanel.483885.fcs	3	FluVaccine-K12-03-10_NCH-VK37TFHPanel.483885.fcs	TFH
FluVaccine-K12-05-10_NCH-VK34BPanel.483807.fcs	3	FluVaccine-K12-05-10_NCH-VK34BPanel.483807.fcs	B
FluVaccine-K12-05-10_NCH-VK34TFHPanel.483810.fcs	3	FluVaccine-K12-05-10_NCH-VK34TFHPanel.483810.fcs	TFH
FluVaccine-K12-05-10_NCH-VK35BPanel.483827.fcs	3	FluVaccine-K12-05-10_NCH-VK35BPanel.483827.fcs	B
FluVaccine-K12-05-10_NCH-VK35TFHPanel.483830.fcs	3	FluVaccine-K12-05-10_NCH-VK35TFHPanel.483830.fcs	TFH
FluVaccine-K12-05-10_NCH-VK36BPanel.483853.fcs	3	FluVaccine-K12-05-10_NCH-VK36BPanel.483853.fcs	B
FluVaccine-K12-05-10_NCH-VK36TFHPanel.483856.fcs	3	FluVaccine-K12-05-10_NCH-VK36TFHPanel.483856.fcs	TFH
FluVaccine-K12-05-10_NCH-VK38BPanel.483908.fcs	3	FluVaccine-K12-05-10_NCH-VK38BPanel.483908.fcs	B
FluVaccine-K12-05-10_NCH-VK38TFHPanel.483911.fcs	3	FluVaccine-K12-05-10_NCH-VK38TFHPanel.483911.fcs	TFH
FluVaccine-K12-05-10_NCH-VK40BPanel.483960.fcs	3	FluVaccine-K12-05-10_NCH-VK40BPanel.483960.fcs	B
FluVaccine-K12-05-10_NCH-VK40TFHPanel.483963.fcs	3	FluVaccine-K12-05-10_NCH-VK40TFHPanel.483963.fcs	TFH
FluVaccine-K12-07-10_NCH-VK21BPanel.483466.fcs	3	FluVaccine-K12-07-10_NCH-VK21BPanel.483466.fcs	B
FluVaccine-K12-07-10_NCH-VK21TFHPanel.483469.fcs	3	FluVaccine-K12-07-10_NCH-VK21TFHPanel.483469.fcs	TFH
FluVaccine-K12-07-10_NCH-VK22BPanel.483494.fcs	3	FluVaccine-K12-07-10_NCH-VK22BPanel.483494.fcs	B
FluVaccine-K12-07-10_NCH-VK22TFHPanel.483497.fcs	3	FluVaccine-K12-07-10_NCH-VK22TFHPanel.483497.fcs	TFH
FluVaccine-K12-07-10_NCH-VK23BPanel.483518.fcs	3	FluVaccine-K12-07-10_NCH-VK23BPanel.483518.fcs	B
FluVaccine-K12-07-10_NCH-VK23TFHPanel.483521.fcs	3	FluVaccine-K12-07-10_NCH-VK23TFHPanel.483521.fcs	TFH
FluVaccine-K12-07-10_NCH-VK31BPanel.483738.fcs	3	FluVaccine-K12-07-10_NCH-VK31BPanel.483738.fcs	B
FluVaccine-K12-07-10_NCH-VK31TFHPanel.483741.fcs	3	FluVaccine-K12-07-10_NCH-VK31TFHPanel.483741.fcs	TFH
FluVaccine-K12-07-10_NCH-VK39BPanel.483927.fcs	3	FluVaccine-K12-07-10_NCH-VK39BPanel.483927.fcs	B
FluVaccine-K12-07-10_NCH-VK39TFHPanel.483930.fcs	3	FluVaccine-K12-07-10_NCH-VK39TFHPanel.483930.fcs	TFH
FluVaccine-K12-08-10_NCH-VK25BPanel.483600.fcs	3	FluVaccine-K12-08-10_NCH-VK25BPanel.483600.fcs	B
FluVaccine-K12-08-10_NCH-VK25TFHPanel.483603.fcs	3	FluVaccine-K12-08-10_NCH-VK25TFHPanel.483603.fcs	TFH
FluVaccine-K12-08-10_NCH-VK26BPanel.483639.fcs	3	FluVaccine-K12-08-10_NCH-VK26BPanel.483639.fcs	B
FluVaccine-K12-08-10_NCH-VK26TFHPanel.483642.fcs	3	FluVaccine-K12-08-10_NCH-VK26TFHPanel.483642.fcs	TFH
FluVaccine-K12-08-10_NCH-VK27BPanel.483659.fcs	3	FluVaccine-K12-08-10_NCH-VK27BPanel.483659.fcs	B
FluVaccine-K12-08-10_NCH-VK27TFHPanel.483662.fcs	3	FluVaccine-K12-08-10_NCH-VK27TFHPanel.483662.fcs	TFH
FluVaccine-K12-08-10_NCH-VK28BPanel.483674.fcs	3	FluVaccine-K12-08-10_NCH-VK28BPanel.483674.fcs	B
FluVaccine-K12-08-10_NCH-VK28TFHPanel.483677.fcs	3	FluVaccine-K12-08-10_NCH-VK28TFHPanel.483677.fcs	TFH
FluVaccine-K12-08-10_NCH-VK29BPanel.483699.fcs	3	FluVaccine-K12-08-10_NCH-VK29BPanel.483699.fcs	B
FluVaccine-K12-08-10_NCH-VK29TFHPanel.483702.fcs	3	FluVaccine-K12-08-10_NCH-VK29TFHPanel.483702.fcs	TFH
FluVaccine-K12-08-10_NCH-VK30TFHPanel.483717.fcs	3	FluVaccine-K12-08-10_NCH-VK30TFHPanel.483717.fcs	TFH
FluVaccine-K2-07-11_NCH-VK24BPanel.483563.fcs	3	FluVaccine-K2-07-11_NCH-VK24BPanel.483563.fcs	B
FluVaccine-K2-07-11_NCH-VK24TFHPanel.483566.fcs	3	FluVaccine-K2-07-11_NCH-VK24TFHPanel.483566.fcs	TFH
FluVaccine-K2-07-11_NCH-VK34BPanel.483817.fcs	3	FluVaccine-K2-07-11_NCH-VK34BPanel.483817.fcs	B
FluVaccine-K2-07-11_NCH-VK34TFHPanel.483820.fcs	3	FluVaccine-K2-07-11_NCH-VK34TFHPanel.483820.fcs	TFH
FluVaccine-K2-07-11_NCH-VK35BPanel.483834.fcs	3	FluVaccine-K2-07-11_NCH-VK35BPanel.483834.fcs	B
FluVaccine-K2-07-11_NCH-VK35TFHPanel.483837.fcs	3	FluVaccine-K2-07-11_NCH-VK35TFHPanel.483837.fcs	TFH
FluVaccine-K2-07-11_NCH-VK36BPanel.483863.fcs	3	FluVaccine-K2-07-11_NCH-VK36BPanel.483863.fcs	B
FluVaccine-K2-07-11_NCH-VK36TFHPanel.483866.fcs	3	FluVaccine-K2-07-11_NCH-VK36TFHPanel.483866.fcs	TFH
FluVaccine-K2-08-11_NCH-VK21BPanel.483471.fcs	3	FluVaccine-K2-08-11_NCH-VK21BPanel.483471.fcs	B
FluVaccine-K2-08-11_NCH-VK21TFHPanel.483474.fcs	3	FluVaccine-K2-08-11_NCH-VK21TFHPanel.483474.fcs	TFH
FluVaccine-K2-08-11_NCH-VK22BPanel.483504.fcs	3	FluVaccine-K2-08-11_NCH-VK22BPanel.483504.fcs	B
FluVaccine-K2-08-11_NCH-VK22TFHPanel.483507.fcs	3	FluVaccine-K2-08-11_NCH-VK22TFHPanel.483507.fcs	TFH
FluVaccine-K2-08-11_NCH-VK23BPanel.483528.fcs	3	FluVaccine-K2-08-11_NCH-VK23BPanel.483528.fcs	B
FluVaccine-K2-08-11_NCH-VK23TFHPanel.483531.fcs	3	FluVaccine-K2-08-11_NCH-VK23TFHPanel.483531.fcs	TFH
FluVaccine-K2-08-11_NCH-VK31BPanel.483748.fcs	3	FluVaccine-K2-08-11_NCH-VK31BPanel.483748.fcs	B
FluVaccine-K2-08-11_NCH-VK31TFHPanel.483751.fcs	3	FluVaccine-K2-08-11_NCH-VK31TFHPanel.483751.fcs	TFH
FluVaccine-K2-09-11_NCH-VK25BPanel.483620.fcs	3	FluVaccine-K2-09-11_NCH-VK25BPanel.483620.fcs	B
FluVaccine-K2-09-11_NCH-VK25TFHPanel.483623.fcs	3	FluVaccine-K2-09-11_NCH-VK25TFHPanel.483623.fcs	TFH
FluVaccine-K2-09-11_NCH-VK26BPanel.483649.fcs	3	FluVaccine-K2-09-11_NCH-VK26BPanel.483649.fcs	B
FluVaccine-K2-09-11_NCH-VK26TFHPanel.483652.fcs	3	FluVaccine-K2-09-11_NCH-VK26TFHPanel.483652.fcs	TFH
FluVaccine-K2-11-11_NCH-VK37BPanel.483887.fcs	3	FluVaccine-K2-11-11_NCH-VK37BPanel.483887.fcs	B
FluVaccine-K2-11-11_NCH-VK37TFHPanel.483890.fcs	3	FluVaccine-K2-11-11_NCH-VK37TFHPanel.483890.fcs	TFH
FluVaccine-K3-21-113M_NCH-VK38BPanel.483913.fcs	3	FluVaccine-K3-21-113M_NCH-VK38BPanel.483913.fcs	B
FluVaccine-K3-21-113M_NCH-VK38TFHPanel.483916.fcs	3	FluVaccine-K3-21-113M_NCH-VK38TFHPanel.483916.fcs	TFH
FluVaccine-K3-21-113M_NCH-VK40BPanel.483965.fcs	3	FluVaccine-K3-21-113M_NCH-VK40BPanel.483965.fcs	B
FluVaccine-K3-21-113M_NCH-VK40TFHPanel.483968.fcs	3	FluVaccine-K3-21-113M_NCH-VK40TFHPanel.483968.fcs	TFH
FluVaccine-Kids05-12-116M_NCH-VK25BPanel.483583.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK25BPanel.483583.fcs	B
FluVaccine-Kids05-12-116M_NCH-VK25DCPanel.483594.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK25DCPanel.483594.fcs	DC
FluVaccine-Kids05-12-116M_NCH-VK25Mono,2f,Gran,2f,SLAM.483596.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK25Mono,2f,Gran,2f,SLAM.483596.fcs	Mono
FluVaccine-Kids05-12-116M_NCH-VK25TFHPanel.483598.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK25TFHPanel.483598.fcs	TFH
FluVaccine-Kids05-12-116M_NCH-VK26BPanel.483630.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK26BPanel.483630.fcs	B
FluVaccine-Kids05-12-116M_NCH-VK26DCPanel.483633.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK26DCPanel.483633.fcs	DC
FluVaccine-Kids05-12-116M_NCH-VK26Mono,2f,Gran,2f,SLAM.483635.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK26Mono,2f,Gran,2f,SLAM.483635.fcs	Mono
FluVaccine-Kids05-12-116M_NCH-VK26TFHPanel.483637.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK26TFHPanel.483637.fcs	TFH
FluVaccine-Kids05-12-116M_NCH-VK31BPanel.483729.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK31BPanel.483729.fcs	B
FluVaccine-Kids05-12-116M_NCH-VK31DCPanel.483732.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK31DCPanel.483732.fcs	DC
FluVaccine-Kids05-12-116M_NCH-VK31Mono,2f,Gran,2f,SLAM.483734.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK31Mono,2f,Gran,2f,SLAM.483734.fcs	Mono
FluVaccine-Kids05-12-116M_NCH-VK31TFHPanel.483736.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK31TFHPanel.483736.fcs	TFH
FluVaccine-Kids05-12-116M_NCH-VK33BPanel.483778.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK33BPanel.483778.fcs	B
FluVaccine-Kids05-12-116M_NCH-VK33DCPanel.483781.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK33DCPanel.483781.fcs	DC
FluVaccine-Kids05-12-116M_NCH-VK33Mono,2f,Gran,2f,SLAM.483783.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK33Mono,2f,Gran,2f,SLAM.483783.fcs	Mono
FluVaccine-Kids05-12-116M_NCH-VK33TFHPanel.483785.fcs	3	FluVaccine-Kids05-12-116M_NCH-VK33TFHPanel.483785.fcs	TFH
FluVaccine-Kids05-17-116M_NCH-VK21BPanel.483476.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK21BPanel.483476.fcs	B
FluVaccine-Kids05-17-116M_NCH-VK21DCPanel.483479.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK21DCPanel.483479.fcs	DC
FluVaccine-Kids05-17-116M_NCH-VK21Mono,2f,Gran,2f,SLAM.483481.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK21Mono,2f,Gran,2f,SLAM.483481.fcs	Mono
FluVaccine-Kids05-17-116M_NCH-VK21TFHPanel.483483.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK21TFHPanel.483483.fcs	TFH
FluVaccine-Kids05-17-116M_NCH-VK36BPanel.483844.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK36BPanel.483844.fcs	B
FluVaccine-Kids05-17-116M_NCH-VK36DCPanel.483847.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK36DCPanel.483847.fcs	DC
FluVaccine-Kids05-17-116M_NCH-VK36Mono,2f,Gran,2f,SLAM.483849.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK36Mono,2f,Gran,2f,SLAM.483849.fcs	Mono
FluVaccine-Kids05-17-116M_NCH-VK36TFHPanel.483851.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK36TFHPanel.483851.fcs	TFH
FluVaccine-Kids05-17-116M_NCH-VK37BPanel.483873.fcs	3	FluVaccine-Kids05-17-116M_NCH-VK37BPanel.483873.fcs	B
