fcs_file_name	file_info_id..4	FCS_file_name	Panel
FluVaccine9-26-13_NCH-VK-147TfhPanel.467420.fcs	467420	FluVaccine9-26-13_NCH-VK-147TfhPanel.467420.fcs	Tfh
FluVaccine9-26-13_NCH-VK-149BPanel.467422.fcs	467422	FluVaccine9-26-13_NCH-VK-149BPanel.467422.fcs	B
FluVaccine9-26-13_NCH-VK-149DC1Panel.467425.fcs	467425	FluVaccine9-26-13_NCH-VK-149DC1Panel.467425.fcs	DC1
FluVaccine9-26-13_NCH-VK-149MonoPane.467427.fcs	467427	FluVaccine9-26-13_NCH-VK-149MonoPane.467427.fcs	Mono
FluVaccine9-26-13_NCH-VK-149TfhPanel.467429.fcs	467429	FluVaccine9-26-13_NCH-VK-149TfhPanel.467429.fcs	Tfh
FluVaccine9-26-13_NCH-VK-150BPanel.467431.fcs	467431	FluVaccine9-26-13_NCH-VK-150BPanel.467431.fcs	B
FluVaccine9-26-13_NCH-VK-150DC1Panel.467434.fcs	467434	FluVaccine9-26-13_NCH-VK-150DC1Panel.467434.fcs	DC1
FluVaccine9-26-13_NCH-VK-150MonoPanel.467436.fcs	467436	FluVaccine9-26-13_NCH-VK-150MonoPanel.467436.fcs	Mono
FluVaccine9-26-13_NCH-VK-150TfhPanel.467438.fcs	467438	FluVaccine9-26-13_NCH-VK-150TfhPanel.467438.fcs	Tfh
FluVaccine9-26-13_NCH-VK-151BPanel.467440.fcs	467440	FluVaccine9-26-13_NCH-VK-151BPanel.467440.fcs	B
FluVaccine9-26-13_NCH-VK-151DC1Panel.467443.fcs	467443	FluVaccine9-26-13_NCH-VK-151DC1Panel.467443.fcs	DC1
FluVaccine9-26-13_NCH-VK-151MonoPanel.467445.fcs	467445	FluVaccine9-26-13_NCH-VK-151MonoPanel.467445.fcs	Mono
FluVaccine9-26-13_NCH-VK-151TfhPanel.467447.fcs	467447	FluVaccine9-26-13_NCH-VK-151TfhPanel.467447.fcs	Tfh
FluVaccine9-12-13_NCH-VK-152BPanel.467500.fcs	467500	FluVaccine9-12-13_NCH-VK-152BPanel.467500.fcs	B
FluVaccine9-12-13_NCH-VK-152DC1Panel.467514.fcs	467514	FluVaccine9-12-13_NCH-VK-152DC1Panel.467514.fcs	DC1
FluVaccine9-12-13_NCH-VK-152MonoPanel.467516.fcs	467516	FluVaccine9-12-13_NCH-VK-152MonoPanel.467516.fcs	Mono
FluVaccine9-12-13_NCH-VK-152TfhPanel.467518.fcs	467518	FluVaccine9-12-13_NCH-VK-152TfhPanel.467518.fcs	Tfh
FluVaccine9-10-13_NCH-VK-131BPanel.467521.fcs	467521	FluVaccine9-10-13_NCH-VK-131BPanel.467521.fcs	B
FluVaccine9-10-13_NCH-VK-131DC1Panel.467535.fcs	467535	FluVaccine9-10-13_NCH-VK-131DC1Panel.467535.fcs	DC1
FluVaccine9-10-13_NCH-VK-131MonoPane.467537.fcs	467537	FluVaccine9-10-13_NCH-VK-131MonoPane.467537.fcs	Mono
FluVaccine9-10-13_NCH-VK-131TfhPanel.467539.fcs	467539	FluVaccine9-10-13_NCH-VK-131TfhPanel.467539.fcs	Tfh
FluVaccine9-10-13_NCH-VK-132BPanel.467541.fcs	467541	FluVaccine9-10-13_NCH-VK-132BPanel.467541.fcs	B
FluVaccine9-10-13_NCH-VK-132DC1Panel.467544.fcs	467544	FluVaccine9-10-13_NCH-VK-132DC1Panel.467544.fcs	DC1
FluVaccine9-10-13_NCH-VK-132MonoPanel.467546.fcs	467546	FluVaccine9-10-13_NCH-VK-132MonoPanel.467546.fcs	Mono
FluVaccine9-10-13_NCH-VK-132TfhPanel.467548.fcs	467548	FluVaccine9-10-13_NCH-VK-132TfhPanel.467548.fcs	Tfh
FluVaccine9-10-13_NCH-VK-133BPanel.467550.fcs	467550	FluVaccine9-10-13_NCH-VK-133BPanel.467550.fcs	B
FluVaccine9-10-13_NCH-VK-133DC1Panel.467553.fcs	467553	FluVaccine9-10-13_NCH-VK-133DC1Panel.467553.fcs	DC1
FluVaccine9-10-13_NCH-VK-133MonoPanel.467555.fcs	467555	FluVaccine9-10-13_NCH-VK-133MonoPanel.467555.fcs	Mono
FluVaccine9-10-13_NCH-VK-133TfhPanel.467557.fcs	467557	FluVaccine9-10-13_NCH-VK-133TfhPanel.467557.fcs	Tfh
FluVaccine9-10-13_NCH-VK-134BPanel.467559.fcs	467559	FluVaccine9-10-13_NCH-VK-134BPanel.467559.fcs	B
FluVaccine9-10-13_NCH-VK-134DC1Panel.467562.fcs	467562	FluVaccine9-10-13_NCH-VK-134DC1Panel.467562.fcs	DC1
FluVaccine9-10-13_NCH-VK-134MonoPanel.467564.fcs	467564	FluVaccine9-10-13_NCH-VK-134MonoPanel.467564.fcs	Mono
FluVaccine9-10-13_NCH-VK-134TfhPanel.467566.fcs	467566	FluVaccine9-10-13_NCH-VK-134TfhPanel.467566.fcs	Tfh
FluVaccine9-10-13_NCH-VK-135BPanel.467568.fcs	467568	FluVaccine9-10-13_NCH-VK-135BPanel.467568.fcs	B
FluVaccine9-10-13_NCH-VK-135DC1Panel.467571.fcs	467571	FluVaccine9-10-13_NCH-VK-135DC1Panel.467571.fcs	DC1
FluVaccine9-10-13_NCH-VK-135MonoPanel.467573.fcs	467573	FluVaccine9-10-13_NCH-VK-135MonoPanel.467573.fcs	Mono
FluVaccine9-10-13_NCH-VK-135TfhPanel.467575.fcs	467575	FluVaccine9-10-13_NCH-VK-135TfhPanel.467575.fcs	Tfh
FluVaccine9-4-13_NCH-VK-147BPanel.467578.fcs	467578	FluVaccine9-4-13_NCH-VK-147BPanel.467578.fcs	B
FluVaccine9-4-13_NCH-VK-147DC1Panel.467592.fcs	467592	FluVaccine9-4-13_NCH-VK-147DC1Panel.467592.fcs	DC1
FluVaccine9-4-13_NCH-VK-147MonoPanel.467594.fcs	467594	FluVaccine9-4-13_NCH-VK-147MonoPanel.467594.fcs	Mono
FluVaccine9-4-13_NCH-VK-147TfhPanel.467596.fcs	467596	FluVaccine9-4-13_NCH-VK-147TfhPanel.467596.fcs	Tfh
FluVaccine9-4-13_NCH-VK-148BPanel.467598.fcs	467598	FluVaccine9-4-13_NCH-VK-148BPanel.467598.fcs	B
FluVaccine9-4-13_NCH-VK-148DC1Panel.467601.fcs	467601	FluVaccine9-4-13_NCH-VK-148DC1Panel.467601.fcs	DC1
FluVaccine9-4-13_NCH-VK-148MonoPanel.467603.fcs	467603	FluVaccine9-4-13_NCH-VK-148MonoPanel.467603.fcs	Mono
FluVaccine9-4-13_NCH-VK-148TfhPanel.467605.fcs	467605	FluVaccine9-4-13_NCH-VK-148TfhPanel.467605.fcs	Tfh
FluVaccine9-4-13_NCH-VK-149BPanel.467607.fcs	467607	FluVaccine9-4-13_NCH-VK-149BPanel.467607.fcs	B
FluVaccine9-4-13_NCH-VK-149DC1Panel.467610.fcs	467610	FluVaccine9-4-13_NCH-VK-149DC1Panel.467610.fcs	DC1
FluVaccine9-4-13_NCH-VK-149MonoPanel.467612.fcs	467612	FluVaccine9-4-13_NCH-VK-149MonoPanel.467612.fcs	Mono
FluVaccine9-4-13_NCH-VK-149TfhPanel.467614.fcs	467614	FluVaccine9-4-13_NCH-VK-149TfhPanel.467614.fcs	Tfh
FluVaccine9-4-13_NCH-VK-150BPanel.467616.fcs	467616	FluVaccine9-4-13_NCH-VK-150BPanel.467616.fcs	B
FluVaccine9-4-13_NCH-VK-150DC1Panel.467619.fcs	467619	FluVaccine9-4-13_NCH-VK-150DC1Panel.467619.fcs	DC1
FluVaccine9-4-13_NCH-VK-150MonoPanel.467621.fcs	467621	FluVaccine9-4-13_NCH-VK-150MonoPanel.467621.fcs	Mono
FluVaccine9-4-13_NCH-VK-150TfhPanel.467623.fcs	467623	FluVaccine9-4-13_NCH-VK-150TfhPanel.467623.fcs	Tfh
FluVaccine9-4-13_NCH-VK-151BPanel.467625.fcs	467625	FluVaccine9-4-13_NCH-VK-151BPanel.467625.fcs	B
FluVaccine9-4-13_NCH-VK-151DC1Panel.467628.fcs	467628	FluVaccine9-4-13_NCH-VK-151DC1Panel.467628.fcs	DC1
FluVaccine9-4-13_NCH-VK-151MonoPanel.467630.fcs	467630	FluVaccine9-4-13_NCH-VK-151MonoPanel.467630.fcs	Mono
FluVaccine9-4-13_NCH-VK-151TfhPanel.467632.fcs	467632	FluVaccine9-4-13_NCH-VK-151TfhPanel.467632.fcs	Tfh
FluVaccine9-24-13_NCH-VK-141BPanel.467641.fcs	467641	FluVaccine9-24-13_NCH-VK-141BPanel.467641.fcs	B
FluVaccine9-24-13_NCH-VK-141DC1Panel.467655.fcs	467655	FluVaccine9-24-13_NCH-VK-141DC1Panel.467655.fcs	DC1
FluVaccine9-24-13_NCH-VK-141MonoPanel.467657.fcs	467657	FluVaccine9-24-13_NCH-VK-141MonoPanel.467657.fcs	Mono
FluVaccine9-24-13_NCH-VK-141TfhPanel.467659.fcs	467659	FluVaccine9-24-13_NCH-VK-141TfhPanel.467659.fcs	Tfh
FluVaccine9-24-13_NCH-VK-142BPanel.467661.fcs	467661	FluVaccine9-24-13_NCH-VK-142BPanel.467661.fcs	B
FluVaccine9-24-13_NCH-VK-142DC1Panel.467664.fcs	467664	FluVaccine9-24-13_NCH-VK-142DC1Panel.467664.fcs	DC1
FluVaccine9-24-13_NCH-VK-142MonoPane.467666.fcs	467666	FluVaccine9-24-13_NCH-VK-142MonoPane.467666.fcs	Mono
FluVaccine9-24-13_NCH-VK-142TfhPanel.467668.fcs	467668	FluVaccine9-24-13_NCH-VK-142TfhPanel.467668.fcs	Tfh
FluVaccine9-24-13_NCH-VK-145BPanel.467670.fcs	467670	FluVaccine9-24-13_NCH-VK-145BPanel.467670.fcs	B
FluVaccine9-24-13_NCH-VK-145DC1Panel.467673.fcs	467673	FluVaccine9-24-13_NCH-VK-145DC1Panel.467673.fcs	DC1
FluVaccine9-24-13_NCH-VK-145MonoPanel.467675.fcs	467675	FluVaccine9-24-13_NCH-VK-145MonoPanel.467675.fcs	Mono
FluVaccine9-24-13_NCH-VK-145TfhPanel.467677.fcs	467677	FluVaccine9-24-13_NCH-VK-145TfhPanel.467677.fcs	Tfh
FluVaccine9-24-13_NCH-VK-146BPanel.467679.fcs	467679	FluVaccine9-24-13_NCH-VK-146BPanel.467679.fcs	B
FluVaccine9-24-13_NCH-VK-146DC1Panel.467682.fcs	467682	FluVaccine9-24-13_NCH-VK-146DC1Panel.467682.fcs	DC1
FluVaccine9-24-13_NCH-VK-146MonoPanel.467684.fcs	467684	FluVaccine9-24-13_NCH-VK-146MonoPanel.467684.fcs	Mono
FluVaccine9-24-13_NCH-VK-146TfhPanel.467686.fcs	467686	FluVaccine9-24-13_NCH-VK-146TfhPanel.467686.fcs	Tfh
FluVaccine9-3-13_NCH-VK-141BPanel.467693.fcs	467693	FluVaccine9-3-13_NCH-VK-141BPanel.467693.fcs	B
FluVaccine9-3-13_NCH-VK-141DC1Panel.467707.fcs	467707	FluVaccine9-3-13_NCH-VK-141DC1Panel.467707.fcs	DC1
FluVaccine9-3-13_NCH-VK-141MonoPanel.467709.fcs	467709	FluVaccine9-3-13_NCH-VK-141MonoPanel.467709.fcs	Mono
FluVaccine9-3-13_NCH-VK-141TfhPanel.467711.fcs	467711	FluVaccine9-3-13_NCH-VK-141TfhPanel.467711.fcs	Tfh
FluVaccine9-3-13_NCH-VK-142BPanel.467713.fcs	467713	FluVaccine9-3-13_NCH-VK-142BPanel.467713.fcs	B
FluVaccine9-3-13_NCH-VK-142DC1Panel.467716.fcs	467716	FluVaccine9-3-13_NCH-VK-142DC1Panel.467716.fcs	DC1
FluVaccine9-3-13_NCH-VK-142MonoPane.467718.fcs	467718	FluVaccine9-3-13_NCH-VK-142MonoPane.467718.fcs	Mono
FluVaccine9-3-13_NCH-VK-142TfhPanel.467720.fcs	467720	FluVaccine9-3-13_NCH-VK-142TfhPanel.467720.fcs	Tfh
FluVaccine9-3-13_NCH-VK-143BPanel.467722.fcs	467722	FluVaccine9-3-13_NCH-VK-143BPanel.467722.fcs	B
FluVaccine9-3-13_NCH-VK-143DC1Panel.467725.fcs	467725	FluVaccine9-3-13_NCH-VK-143DC1Panel.467725.fcs	DC1
FluVaccine9-3-13_NCH-VK-143MonoPanel.467727.fcs	467727	FluVaccine9-3-13_NCH-VK-143MonoPanel.467727.fcs	Mono
FluVaccine9-3-13_NCH-VK-143TfhPanel.467729.fcs	467729	FluVaccine9-3-13_NCH-VK-143TfhPanel.467729.fcs	Tfh
FluVaccine9-3-13_NCH-VK-144BPanel.467731.fcs	467731	FluVaccine9-3-13_NCH-VK-144BPanel.467731.fcs	B
FluVaccine9-3-13_NCH-VK-144DC1Panel.467734.fcs	467734	FluVaccine9-3-13_NCH-VK-144DC1Panel.467734.fcs	DC1
FluVaccine9-3-13_NCH-VK-144MonoPanel.467736.fcs	467736	FluVaccine9-3-13_NCH-VK-144MonoPanel.467736.fcs	Mono
FluVaccine9-3-13_NCH-VK-144TfhPanel.467738.fcs	467738	FluVaccine9-3-13_NCH-VK-144TfhPanel.467738.fcs	Tfh
FluVaccine9-3-13_NCH-VK-145BPanel.467740.fcs	467740	FluVaccine9-3-13_NCH-VK-145BPanel.467740.fcs	B
FluVaccine9-3-13_NCH-VK-145DC1Panel.467743.fcs	467743	FluVaccine9-3-13_NCH-VK-145DC1Panel.467743.fcs	DC1
FluVaccine9-3-13_NCH-VK-145MonoPanel.467745.fcs	467745	FluVaccine9-3-13_NCH-VK-145MonoPanel.467745.fcs	Mono
FluVaccine9-3-13_NCH-VK-145TfhPanel.467747.fcs	467747	FluVaccine9-3-13_NCH-VK-145TfhPanel.467747.fcs	Tfh
FluVaccine9-3-13_NCH-VK-146BPanel.467749.fcs	467749	FluVaccine9-3-13_NCH-VK-146BPanel.467749.fcs	B
FluVaccine9-3-13_NCH-VK-146DC1Panel.467752.fcs	467752	FluVaccine9-3-13_NCH-VK-146DC1Panel.467752.fcs	DC1
FluVaccine9-3-13_NCH-VK-146MonoPanel.467754.fcs	467754	FluVaccine9-3-13_NCH-VK-146MonoPanel.467754.fcs	Mono
FluVaccine9-3-13_NCH-VK-146TfhPanel.467756.fcs	467756	FluVaccine9-3-13_NCH-VK-146TfhPanel.467756.fcs	Tfh
FluVaccine9-12-13_NCH-VK-136BPanel.467773.fcs	467773	FluVaccine9-12-13_NCH-VK-136BPanel.467773.fcs	B
FluVaccine9-12-13_NCH-VK-136DC1Panel.467787.fcs	467787	FluVaccine9-12-13_NCH-VK-136DC1Panel.467787.fcs	DC1
FluVaccine9-12-13_NCH-VK-136MonoPanel.467789.fcs	467789	FluVaccine9-12-13_NCH-VK-136MonoPanel.467789.fcs	Mono
FluVaccine9-12-13_NCH-VK-136TfhPanel.467791.fcs	467791	FluVaccine9-12-13_NCH-VK-136TfhPanel.467791.fcs	Tfh
FluVaccine9-12-13_NCH-VK-137BPanel.467793.fcs	467793	FluVaccine9-12-13_NCH-VK-137BPanel.467793.fcs	B
FluVaccine9-12-13_NCH-VK-137DC1Panel.467796.fcs	467796	FluVaccine9-12-13_NCH-VK-137DC1Panel.467796.fcs	DC1
FluVaccine9-12-13_NCH-VK-137MonoPane.467798.fcs	467798	FluVaccine9-12-13_NCH-VK-137MonoPane.467798.fcs	Mono
FluVaccine9-12-13_NCH-VK-137TfhPanel.467800.fcs	467800	FluVaccine9-12-13_NCH-VK-137TfhPanel.467800.fcs	Tfh
FluVaccine9-12-13_NCH-VK-138BPanel.467803.fcs	467803	FluVaccine9-12-13_NCH-VK-138BPanel.467803.fcs	B
FluVaccine9-12-13_NCH-VK-138DC1Panel.467805.fcs	467805	FluVaccine9-12-13_NCH-VK-138DC1Panel.467805.fcs	DC1
FluVaccine9-12-13_NCH-VK-138MonoPanel.467807.fcs	467807	FluVaccine9-12-13_NCH-VK-138MonoPanel.467807.fcs	Mono
FluVaccine9-12-13_NCH-VK-138TfhPanel.467809.fcs	467809	FluVaccine9-12-13_NCH-VK-138TfhPanel.467809.fcs	Tfh
FluVaccine9-12-13_NCH-VK-139BPanel.467811.fcs	467811	FluVaccine9-12-13_NCH-VK-139BPanel.467811.fcs	B
FluVaccine9-12-13_NCH-VK-139DC1Panel.467814.fcs	467814	FluVaccine9-12-13_NCH-VK-139DC1Panel.467814.fcs	DC1
FluVaccine9-12-13_NCH-VK-139MonoPanel.467816.fcs	467816	FluVaccine9-12-13_NCH-VK-139MonoPanel.467816.fcs	Mono
FluVaccine9-12-13_NCH-VK-139TfhPanel.467818.fcs	467818	FluVaccine9-12-13_NCH-VK-139TfhPanel.467818.fcs	Tfh
FluVaccine9-12-13_NCH-VK-140BPanel.467820.fcs	467820	FluVaccine9-12-13_NCH-VK-140BPanel.467820.fcs	B
FluVaccine9-12-13_NCH-VK-140DC1Panel.467823.fcs	467823	FluVaccine9-12-13_NCH-VK-140DC1Panel.467823.fcs	DC1
FluVaccine9-12-13_NCH-VK-140MonoPanel.467825.fcs	467825	FluVaccine9-12-13_NCH-VK-140MonoPanel.467825.fcs	Mono
FluVaccine9-12-13_NCH-VK-140TfhPanel.467827.fcs	467827	FluVaccine9-12-13_NCH-VK-140TfhPanel.467827.fcs	Tfh
FluVaccine8-29-13_NCH-VK-147BPanel.467830.fcs	467830	FluVaccine8-29-13_NCH-VK-147BPanel.467830.fcs	B
FluVaccine8-29-13_NCH-VK-147DC1Panel.467844.fcs	467844	FluVaccine8-29-13_NCH-VK-147DC1Panel.467844.fcs	DC1
FluVaccine8-29-13_NCH-VK-147MonoPanel.467846.fcs	467846	FluVaccine8-29-13_NCH-VK-147MonoPanel.467846.fcs	Mono
FluVaccine8-29-13_NCH-VK-147TfhPanel.467848.fcs	467848	FluVaccine8-29-13_NCH-VK-147TfhPanel.467848.fcs	Tfh
FluVaccine8-29-13_NCH-VK-148BPanel.467850.fcs	467850	FluVaccine8-29-13_NCH-VK-148BPanel.467850.fcs	B
FluVaccine8-29-13_NCH-VK-148DC1Panel.467853.fcs	467853	FluVaccine8-29-13_NCH-VK-148DC1Panel.467853.fcs	DC1
FluVaccine8-29-13_NCH-VK-148MonoPanel.467855.fcs	467855	FluVaccine8-29-13_NCH-VK-148MonoPanel.467855.fcs	Mono
FluVaccine8-29-13_NCH-VK-148TfhPanel.467857.fcs	467857	FluVaccine8-29-13_NCH-VK-148TfhPanel.467857.fcs	Tfh
FluVaccine8-29-13_NCH-VK-149BPanel.467859.fcs	467859	FluVaccine8-29-13_NCH-VK-149BPanel.467859.fcs	B
FluVaccine8-29-13_NCH-VK-149DC1Panel.467862.fcs	467862	FluVaccine8-29-13_NCH-VK-149DC1Panel.467862.fcs	DC1
FluVaccine8-29-13_NCH-VK-149MonoPanel.467864.fcs	467864	FluVaccine8-29-13_NCH-VK-149MonoPanel.467864.fcs	Mono
FluVaccine8-29-13_NCH-VK-149TfhPanel.467866.fcs	467866	FluVaccine8-29-13_NCH-VK-149TfhPanel.467866.fcs	Tfh
FluVaccine8-29-13_NCH-VK-150BPanel.467868.fcs	467868	FluVaccine8-29-13_NCH-VK-150BPanel.467868.fcs	B
FluVaccine8-29-13_NCH-VK-150DC1Panel.467871.fcs	467871	FluVaccine8-29-13_NCH-VK-150DC1Panel.467871.fcs	DC1
FluVaccine8-29-13_NCH-VK-150MonoPanel.467873.fcs	467873	FluVaccine8-29-13_NCH-VK-150MonoPanel.467873.fcs	Mono
FluVaccine8-29-13_NCH-VK-150TfhPanel.467875.fcs	467875	FluVaccine8-29-13_NCH-VK-150TfhPanel.467875.fcs	Tfh
FluVaccine8-29-13_NCH-VK-151BPanel.467877.fcs	467877	FluVaccine8-29-13_NCH-VK-151BPanel.467877.fcs	B
FluVaccine8-29-13_NCH-VK-151DC1Panel.467880.fcs	467880	FluVaccine8-29-13_NCH-VK-151DC1Panel.467880.fcs	DC1
FluVaccine8-29-13_NCH-VK-151MonoPanel.467882.fcs	467882	FluVaccine8-29-13_NCH-VK-151MonoPanel.467882.fcs	Mono
FluVaccine8-29-13_NCH-VK-151TfhPanel.467884.fcs	467884	FluVaccine8-29-13_NCH-VK-151TfhPanel.467884.fcs	Tfh
FluVaccine8-28-13_NCH-VK-147BPanel.467889.fcs	467889	FluVaccine8-28-13_NCH-VK-147BPanel.467889.fcs	B
FluVaccine8-28-13_NCH-VK-147DC1Panel.467903.fcs	467903	FluVaccine8-28-13_NCH-VK-147DC1Panel.467903.fcs	DC1
FluVaccine8-28-13_NCH-VK-147MonoPanel.467905.fcs	467905	FluVaccine8-28-13_NCH-VK-147MonoPanel.467905.fcs	Mono
FluVaccine8-28-13_NCH-VK-147TfhPanel.467907.fcs	467907	FluVaccine8-28-13_NCH-VK-147TfhPanel.467907.fcs	Tfh
FluVaccine8-28-13_NCH-VK-148BPanel.467909.fcs	467909	FluVaccine8-28-13_NCH-VK-148BPanel.467909.fcs	B
FluVaccine8-28-13_NCH-VK-148DC1Panel.467912.fcs	467912	FluVaccine8-28-13_NCH-VK-148DC1Panel.467912.fcs	DC1
FluVaccine8-28-13_NCH-VK-148MonoPanel.467914.fcs	467914	FluVaccine8-28-13_NCH-VK-148MonoPanel.467914.fcs	Mono
FluVaccine8-28-13_NCH-VK-148TfhPanel.467916.fcs	467916	FluVaccine8-28-13_NCH-VK-148TfhPanel.467916.fcs	Tfh
FluVaccine8-28-13_NCH-VK-149BPanel.467918.fcs	467918	FluVaccine8-28-13_NCH-VK-149BPanel.467918.fcs	B
FluVaccine8-28-13_NCH-VK-149DC1Panel.467921.fcs	467921	FluVaccine8-28-13_NCH-VK-149DC1Panel.467921.fcs	DC1
FluVaccine8-28-13_NCH-VK-149MonoPanel.467923.fcs	467923	FluVaccine8-28-13_NCH-VK-149MonoPanel.467923.fcs	Mono
FluVaccine8-28-13_NCH-VK-149TfhPanel.467925.fcs	467925	FluVaccine8-28-13_NCH-VK-149TfhPanel.467925.fcs	Tfh
FluVaccine8-28-13_NCH-VK-150BPanel.467927.fcs	467927	FluVaccine8-28-13_NCH-VK-150BPanel.467927.fcs	B
