NAME	DESCRIPTION	LINK
Brachial lymph node	The lymph nodes located along the brachial vein that receive drainage from most of the free upper limb and send efferent vessels to the central axillary lymph nodes.	http://purl.obolibrary.org/obo/UBERON_0002525
Cervical lymph nodes	Lymph nodes found in the neck.	https://en.wikipedia.org/wiki/Cervical_lymph_nodes
Colonic Lamina Propria	A lamina propria that is part of a colonic mucosa.	http://purl.obolibrary.org/obo/UBERON_0007177
Epithelium	Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples: simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium[CARO].	http://purl.obolibrary.org/obo/UBERON_0000483
Gastric lamina propria	The closest term in Uberson is "Mucosa of the stomach" : The mucosal layer that lines the stomach. It consists of epithelium, lamina propria, and the muscularis mucosae.	http://purl.obolibrary.org/obo/UBERON_0001199
Liver	An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO].	http://purl.obolibrary.org/obo/UBERON_0002107
Popliteal lymph node	The lymph nodes which drain the legs; contained in the popliteal fossa.	http://purl.obolibrary.org/obo/UBERON_0001543
Stomach	An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium.	http://purl.obolibrary.org/obo/UBERON_0000945
T cell	CD3+	http://purl.obolibrary.org/obo/CL_0000084
B cell	CD3-, CD19+, CD20+	http://purl.obolibrary.org/obo/CL_0000236
Dendritic cell	CD3-, CD19, CD20, CD14-, CD16-, CD56-, HLA-DR+	http://purl.obolibrary.org/obo/CL_0000451
Monocyte	CD3-, CD19, CD20, CD56-, CD14+	http://purl.obolibrary.org/obo/CL_0000576;http://purl.obolibrary.org/obo/CL_0000860
Vagina	A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles[WP]. [database_cross_reference: http://orcid.org/0000-0002-6601-2165] [database_cross_reference: http://en.wikipedia.org/wiki/Vagina]	http://purl.obolibrary.org/obo/UBERON_0000996
Placenta	Organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell. database_cross_reference: http://en.wikipedia.org/wiki/Placenta[database_cross_reference: http://www.med.umich.edu/lrc/coursepages/m1/embryology/embryo/06placenta.htm]	http://purl.obolibrary.org/obo/UBERON_0001987
Red Blood Cell	A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen. database_cross_reference: MESH:A11.118.290database_cross_reference: GOC:tfm	http://purl.obolibrary.org/obo/CL_0000232
Cord blood	Blood that remains in the placenta and in the attached umbilical cord after childbirthWP. database_cross_reference: http://en.wikipedia.org/wiki/Cord_blood	http://purl.obolibrary.org/obo/UBERON_0012168
