REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR17246				NA				N		NA	IAA (iodoacetamide)		Other		2510
ESR17247				NA				N		NA	250mM IAA in 50mM Tris, pH 8.5		Other		2510
ESR17248				NA				N		NA	Trypsin		Other		2510
ESR17249				NA				N		NA	0.5ml Pierce detergent removal columns		Other		2510
ESR17250				NA			backing buffer	N		NA	Desalt A		Other		2510
ESR17251				NA			Ingredient for both elution solvents and for fractionation column	N		NA	Acetonitrile		Other		2510
ESR17252				NA			Ingredient for elution solvent #1	N		NA	Isopropyl alcohol		Other		2510
ESR17253				NA			Ingredient for elution solvents, cleaning solution for SAX tips, and for reconstitution buffer	N		NA	Formic Acid		Other		2510
ESR17254				NA			60% acetonitrile, 40% water, 0.2% formic acid	N		NA	Elution solvent #1		Other		2510
ESR17255				NA			50% acetonitrile, 30% isopropyl alcohol, 20% water, 0.2% formic acid	N		NA	Elution solvent #2		Other		2510
ESR17256				NA				N		Column Technology, Inc.	Volatile buffer kit		Other		2510
ESR17257				TT2PSA				N		Glygen, Inc.	POROS strong anion exchanger		Other		2510
ESR17258				NA			Used for cleaning solution for SAX tips and as an ingredient in reconstition buffer	N		NA	Trifluoroacetic acid (TFA)		Other		2510
ESR17259				NA			0.1% TFA/0.2% formic acid (pH ~2.5)	N		NA	SAX tip cleaning solution		Other		2510
ESR17260				NA			Used for equilibration solution for SAX tips	N		NA	di-isopropyldiethylamine (DIEA)		Other		2510
ESR17261				NA			0.1% DIEA in 95% water, 5% ACN, 5% IPA	N		NA	Equilibration solution for SAX tips		Other		2510
ESR17262				NA				N		NA	Methanol		Other		2510
ESR17263				NA			Used for fractionation columns	N		Column Technology	pH 8.0 buffer		Other		2510
ESR17264				NA			Used for fractionation columns	N		Column Technology	pH 7.0 buffer		Other		2510
ESR17265				NA			Used for fractionation columns	N		Column Technology	pH 6.0 buffer		Other		2510
ESR17266				NA			Used for fractionation columns	N		Column Technology	pH 2.5 buffer		Other		2510
ESR17267				NA			Used for fractionation columns	N		NA	0.1% N-ethyl-morpholine		Other		2510
ESR17268				NA			Used for fractionation columns and as an ingredient in the reconstitution buffer	N		CalBiochem	0.1% Zwittergent 3-16		Other		2510
ESR17269				NA			Used for reconstituting samples before LC-MS/MS analysis (0.2% formic acid, 0.1% TFA, 0.002% Zwittergent 3-16)	N		NA	Reconstituation buffer		Other		2510
ESR17326				NA			This file is a normalized data set, see original submission and illumina protocol for exp. Methods	N		NA	NA		Other		2510
ESR17737				217004			miRNA purification kit	N		Qiagen	miRNeasy Mini Kit		Other		2510
ESR17738				74204			miRNA cleanup kit	N		Qiagen	Rneasy MinElute Cleanup Kit		Other		2510
ESR17739				11875-093			Used in thawing medium	N		Gibco	RPMI medium		Other		2510
ESR17740				SH30071-03			Used in thawing medium and in flow buffer	N		Hyclone	Fetal bovine serum (FBS)		Other		2510
ESR17741				P7539			Used in thawing medium	N		Sigma	Penicillin-Streptomycin		Other		2510
ESR17742				25-000-Cl			Used in thawing medium	N		Corning	Sodium Pyruvate		Other		2510
ESR17743				D4513			Used in thawing medium	N		Sigma	Dnase		Other		2510
ESR17744				SH30256.02			Used to wash cells and in flow buffer	N		Hyclone	1X phosphate buffered saline (PBS)		Other		2510
ESR17745				563794			Used in antibody cocktails	N		BD	Brilliant Dye Staining Solution		Other		2510
ESR17746				562440			Antibody	N		BD	CD19 Brilliant Violet 421		Other		2510
ESR17747				562970			Antibody	N		BD	CD4 Brilliant Violet 510		Other		2510
ESR17748				557696			Antibody	N		BD	CD8 Alexa Fluor 488		Other		2510
ESR17749				555333			Antibody	N		BD	CD3 PE		Other		2510
ESR17750				557711			Antibody	N		BD	CD56 Alexa Fluor 647		Other		2510
ESR17751				557758			Antibody	N		BD	CD16 APC-Cy7		Other		2510
ESR17752				E7300L			Used to prepare small RNA libraries	N		New England BioLabs, Inc.	NEBNext? Multiplex Small RNA Library Prep Set for Illumina?		Other		2510
ESR17753				28006			Use to purify extracted miRNA after fractioning small RNA libraries	N		Qiagen	MinElute PCR Purification Kit		Other		2510
ESR17771				11875-093			Used for thawing and culture media	N		Gibco	RPMI Medium		Other		2510
ESR17772				D4513			Used in thawing media	N		Sigma	Dnase		Other		2510
ESR17773				SH30071.03			Used in thawing media and culture media	N		Hyclone	FBS		Other		2510
ESR17774				SH30256.02				N		Hyclone	1X phosphate buffered solution (PBS)		Other		2510
ESR17775				L1668-5MG			Used for positive controls	N		Sigma	Polyhydroxyalkanoate (PHA)		Other		2510
ESR17776				N/A			used to stimulate cells	N		N/A	Influenza A virus (H1N1 A/California/2009/179A)		Other		2510
ESR17777				K15049D-1			Kit for cytokine detection	N		Meso Scale Discovery	V-PLEX Proinflammatory Panel 1 (human) Kit		Other	https://www.mesoscale.com/en/products/k15049d-1/	2510
ESR8956		TREC1		None			See Protocol for information	N		None	TREC1				2510
ESR9036				11875			See Protocol for information	N		Gibco	Glutamine				2510
ESR9037				SH30071.03				N		Hyclone	FCS				2510
ESR9038				P539				N		Sigma	Penicillin-Strptomycin				2510
ESR9039				25-00-Cl				N		Cellgro	Sodium Pyruvate				2510
ESR9040				D4513				N		Sigma	DNAse				2510
ESR9041				L9132				N		Sigma	PHA				2510
ESR9042				410-768-34420				N		Moss	TMB-H				2510
ESR9302		TERT1		HS0097265ml				N		ABI	MCF-7/Tert				2510
ESR9303		TERT2		HS99999999ml				N		ABI	MCF-7/GAPDH				2510
