FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
996272	viable	NK-NKT: viable		521212
996275	CD3+	CD3+	ANA809	521212
996281	lymphocyte	Lymph		521213
996293	viable	NK-NKT: viable		521215
996311	CD3-	CD3-	ANA809	521218
996324	singlet	singlets		521220
996327	CD16+	CD16+	ANA811	521220
996336	CD56+	CD56+	ANA815	521221
996341	lymphocyte	Lymph		521222
996344	CD56+	CD56+	ANA815	521222
996350	viable	B cell: viable		521225
996357	viable	B cell: viable		521227
996360	CD3-	CD3-	ANA809	521227
996375	CD19+	CD19+	ANA805	521229
996398	CD3-	CD3-	ANA809	521232
996414	CD3-	CD3-	ANA809	521234
996425	singlet	singlets		521236
996446		Treg: viable		521242
996449	CD3+	CD3+	ANA809	521242
996455	CD3+	CD3+	ANA809	521243
996459		Treg: viable		521244
996463	CD4+	CD4+	ANA41	521244
996465	CD127low	CD127low	ANA182	521244
996467	CD45RA+	Q1: CD45RA+	ANA816	521244
996479	lymphocyte	Lymph		521246
996483	CD127low	CD127low	ANA182	521246
996499	CD8+	CD8+	ANA810	521248
996505	CD161+	CD161+	ANA883	521249
996526	CD3+	CD3+	ANA809	521255
996535	CD3+	CD3+	ANA809	521257
996570	singlet	singlets		521264
996633	lymphocyte	Lymph		521278
996636	CD20+	CD20+	ANA806	521278
996649	CXCR3+	CXCR3+	ANA76	521281
996667	lymphocyte	Lymph		521287
996675	CD4+	CD4+	ANA41	521288
996683	HLADR+	Q2: HLADR+	ANA812	521289
996684	CD38+	Q2: CD38+	ANA808	521289
996688	CD3+	CD3+	ANA809	521290
996692		Activated T: viable		521291
996696	CD4+	CD4+	ANA41	521291
996699		Activated T: viable		521292
996705	singlet	singlets		521293
996706	lymphocyte	Lymph		521293
996707	CD3+	CD3+	ANA809	521293
996719	lymphocyte	Lymph		521295
996733	lymphocyte	Lymph		521297
996736	HLADR-	Q4: HLADR-	ANA812	521297
996739	singlet	singlets		521298
996740	lymphocyte	Lymph		521298
996741		TCRgd+		521298
996750	lymphocyte	Lymph		521302
996771	lymphocyte	Lymph		521306
996772	CD3+	CD3+	ANA809	521306
996778	lymphocyte	Lymph		521307
996784	singlet	singlets		521308
996801	CD8+	CD8+	ANA810	521310
996806	CD8+	CD8+	ANA810	521311
996809	singlet	singlets		521312
996810	lymphocyte	Lymph		521312
996813	CD85J+	CD85j+	ANA888	521312
996815	singlet	singlets		521313
996844	singlet	singlets		521318
996846	singlet	singlets		521319
996851	CD3+	CD3+	ANA809	521320
996853	singlet	singlets		521321
996854	lymphocyte	Lymph		521321
996861	CD8+	CD8+	ANA810	521322
996868	CD8+	CD8+	ANA810	521323
996890	viable	NK-NKT: viable		521327
996893	CD3+	CD3+	ANA809	521327
996928	singlet	singlets		521333
996935	lymphocyte	Lymph		521334
996937	CD16+	CD16+	ANA811	521334
996949	singlet	singlets		521336
996975	viable	B cell: viable		521341
996986	CD19+	CD19+	ANA805	521343
996988	viable	B cell: viable		521344
996991	CD3-	CD3-	ANA809	521344
996999	CD3-	CD3-	ANA809	521345
997004	viable	B cell: viable		521346
997011	CD38+	CD38+	ANA808	521346
997014	lymphocyte	Lymph		521347
997023	CD3-	CD3-	ANA809	521348
997029	singlet	singlets		521349
997031	CD3-	CD3-	ANA809	521349
997032	CD19+	CD19+	ANA805	521349
997033	CD20+	CD20+	ANA806	521349
997037	singlet	singlets		521350
997044	viable	B cell: viable		521351
997048	CD20-	CD20-	ANA806	521351
997052	CD3-	CD3-	ANA809	521352
997057		Treg: viable		521354
997062		Treg: viable		521356
997063	singlet	singlets		521356
997067	singlet	singlets		521357
997074	CD3+	CD3+	ANA809	521358
997076	CD161+	CD161+	ANA883	521358
997080	CD3+	CD3+	ANA809	521359
997098	IL2RAhi	CD25hi	ANA163	521361
997112	singlet	singlets		521363
997116	IL2RAhi	CD25hi	ANA163	521363
997127	lymphocyte	Lymph		521365
997138	singlet	singlets		521369
997150	lymphocyte	Lymph		521371
997151	CD3+	CD3+	ANA809	521371
997160	CD3+	CD3+	ANA809	521373
997171	CD3+	CD3+	ANA809	521375
997176	lymphocyte	Lymph		521376
997178	CXCR3	CXCR3 FMO: viable	ANA76	521377
997191	CXCR3	CXCR3 FMO: viable	ANA76	521379
997192	singlet	singlets		521379
997208	lymphocyte	Lymph		521384
997223	CD3+	CD3+	ANA809	521387
997225	singlet	singlets		521388
997232	CD3+	CD3+	ANA809	521389
997237	lymphocyte	Lymph		521390
997241	singlet	singlets		521391
997242	lymphocyte	Lymph		521391
997256	CXCR3	CXCR3 FMO: viable	ANA76	521394
997258	lymphocyte	Lymph		521394
997277	singlet	singlets		521399
997280	lymphocyte	Lymph		521400
997291	singlet	singlets		521403
997298	lymphocyte	Lymph		521404
997299	CD3+	CD3+	ANA809	521404
997330	singlet	singlets		521409
997331	lymphocyte	Lymph		521409
997340	HLADR-	Q1: HLADR-	ANA812	521410
997353	CD8+	CD8+	ANA810	521412
997359	CD3+	CD3+	ANA809	521413
997362	CD38-	Q4: CD38-	ANA808	521413
997363		Activated T: viable		521414
997371	singlet	singlets		521417
997376	CD3+	CD3+	ANA809	521418
997388		T cell: viable		521421
997391	CD3+	CD3+	ANA809	521421
997392	CD4+	CD4+	ANA41	521421
997415		T cell: viable		521425
997420	CD45RA-	Q4: CD45RA-	ANA816	521425
997421	CD27-	Q4: CD27-	ANA40	521425
997426	CD8+	CD8+	ANA810	521426
997434	singlet	singlets		521428
997457	CD8+	CD8+	ANA810	521431
997462	lymphocyte	Lymph		521432
997464	CD8+	CD8+	ANA810	521432
997469	singlet	singlets		521434
997481	CD8+	CD8+	ANA810	521437
997485	CD3+	CD3+	ANA809	521438
997500	CD8+	CD8+	ANA810	521440
997511	singlet	singlets		521442
997525	CD3+	CD3+	ANA809	521444
997533	CD8-	CD8-	ANA810	521445
997535	CD94-	Q3: CD94-	ANA884	521445
997536	viable	NK-NKT: viable		521446
997549	singlet	singlets		521448
997590	singlet	singlets		521454
997603	viable	B cell: viable		521458
997617	CD19+	CD19+	ANA805	521460
997624	CD3-	CD3-	ANA809	521461
997635	CD24-	CD24-	ANA807	521462
997638	singlet	singlets		521463
997652	CD27+	Q2: CD27+	ANA40	521464
997666	CD20+	CD20+	ANA806	521466
997669	viable	B cell: viable		521467
997672	CD3-	CD3-	ANA809	521467
997674	viable	B cell: viable		521468
997675	singlet	singlets		521468
997681		Treg: viable		521469
997694	CD3+	CD3+	ANA809	521473
997701	CD161+	CD161+	ANA883	521474
997702		Treg: viable		521475
997703	singlet	singlets		521475
997717	CD45RA+	Q1: CD45RA+	ANA816	521476
997727		Treg: viable		521478
997729	lymphocyte	Lymph		521478
997742	CD127low	CD127low	ANA182	521479
997744	CD45RA-	Q4: CD45RA-	ANA816	521479
997757	CXCR3	CXCR3 FMO: viable	ANA76	521483
997774	singlet	singlets		521487
997776	CD3+	CD3+	ANA809	521487
997781	CD4+	CD4+	ANA41	521488
997782	CXCR3	CXCR3 FMO: viable	ANA76	521489
997791	CD3+	CD3+	ANA809	521490
997828	CXCR3	CXCR3 FMO: viable	ANA76	521498
997840	singlet	singlets		521502
997844	CXCR3+	CXCR3+	ANA76	521502
997862	lymphocyte	Lymph		521506
997885	CD19+	CD19+	ANA805	521510
997893		Mono		521512
997895	CXCR3	CXCR3 FMO: viable	ANA76	521513
997898	SIGLEC-3+	CD33+	ANA864	521513
997905	lymphocyte	Lymph		521516
997909	CD3+	CD3+	ANA809	521517
997919	CD4+	CD4+	ANA41	521519
997938	CD3+	CD3+	ANA809	521522
997939	CD4+	CD4+	ANA41	521522
997945	CD3+	CD3+	ANA809	521523
997947	HLADR-	Q4: HLADR-	ANA812	521523
997973	CD38+	Q2: CD38+	ANA808	521527
998007		T cell: viable		521536
998012	CD28+	CD28+	ANA863	521536
998026		T cell: viable		521539
998060	lymphocyte	Lymph		521544
998069	CD45RA-	Q1: CD45RA-	ANA816	521545
998072	singlet	singlets		521546
998078		T cell: viable		521547
998086	singlet	singlets		521548
998089	CD8+	CD8+	ANA810	521548
998103	singlet	singlets		521553
998110	CD3+	CD3+	ANA809	521554
998111	CD8+	CD8+	ANA810	521554
998120	CD94+	Q2: CD94+	ANA884	521555
998125	CD8+	CD8+	ANA810	521556
998129	singlet	singlets		521557
998138	CD3+	CD3+	ANA809	521558
998140	viable	NK-NKT: viable		521559
998142	lymphocyte	Lymph		521559
998146	CD94+	Q1: CD94+	ANA884	521559
998148	singlet	singlets		521560
998151	CD8-	CD8-	ANA810	521560
998156	lymphocyte	Lymph		521561
998157	CD3+	CD3+	ANA809	521561
998160	CD94-	Q3: CD94-	ANA884	521561
998162	singlet	singlets		521562
998164	CD3+	CD3+	ANA809	521562
998165	CD8-	CD8-	ANA810	521562
998167	CD94-	Q4: CD94-	ANA884	521562
998168	viable	NK-NKT: viable		521563
998176	CD3-	CD3-	ANA809	521564
998182	CD56+	CD56+	ANA815	521565
998184	singlet	singlets		521566
998187	CD16+	CD16+	ANA811	521566
998188	CD56+	CD56+	ANA815	521566
998194	CD16+	CD16+	ANA811	521567
998203	CD56+	CD56+	ANA815	521568
998205	CD94+	Q2: CD94+	ANA884	521568
998215	singlet	singlets		521570
998220	CD314-	Q4: CD314-	ANA886	521570
998221	CD94-	Q4: CD94-	ANA884	521570
998229	singlet	singlets		521574
998230	lymphocyte	Lymph		521574
998238	viable	B cell: viable		521576
998245	CD38+	CD38+	ANA808	521576
998251	CD20+	CD20+	ANA806	521577
998264	lymphocyte	Lymph		521579
998265	CD3-	CD3-	ANA809	521579
998266	CD19+	CD19+	ANA805	521579
998272	lymphocyte	Lymph		521580
998276	IgD+	Q2: IgD+	ANA813	521580
998278	viable	B cell: viable		521581
998285	CD27-	Q3: CD27-	ANA40	521581
998294	viable	B cell: viable		521583
998295	singlet	singlets		521583
998297	CD3-	CD3-	ANA809	521583
998299	viable	B cell: viable		521584
998301	lymphocyte	Lymph		521584
998310	singlet	singlets		521587
998329	lymphocyte	Lymph		521591
998343		Treg: viable		521593
998353	singlet	singlets		521594
998370		Treg: viable		521596
998372	lymphocyte	Lymph		521596
998380	CD161+	CD161+	ANA883	521597
998383	singlet	singlets		521599
998386	lymphocyte	Lymph		521600
998395	CD16+	CD16+	ANA811	521602
998400	lymphocyte	Lymph		521603
998405	CD3+	CD3+	ANA809	521604
998408	singlet	singlets		521605
998425	singlet	singlets		521608
998427	CD3-	CD3-	ANA809	521608
998441	CXCR3	CXCR3 FMO: viable	ANA76	521611
998450		Mono		521613
998456	CXCR3	CXCR3 FMO: viable	ANA76	521616
998458	lymphocyte	Lymph		521616
998462	CD16+	CD16+	ANA811	521617
998470	CXCR3	CXCR3 FMO: viable	ANA76	521619
998475	singlet	singlets		521620
998485	CXCR3	CXCR3 FMO: viable	ANA76	521622
998492	lymphocyte	Lymph		521623
998506	CXCR3	CXCR3 FMO: viable	ANA76	521626
998508	lymphocyte	Lymph		521626
998513	CXCR3	CXCR3 FMO: viable	ANA76	521627
998564	CD4+	CD4+	ANA41	521638
998566	CD38-	Q3: CD38-	ANA808	521638
998572	HLADR-	Q4: HLADR-	ANA812	521639
998574		Activated T: viable		521640
998583	CD8+	CD8+	ANA810	521641
998590	HLADR-	Q1: HLADR-	ANA812	521642
998596	CD8+	CD8+	ANA810	521643
998604	HLADR+	Q3: HLADR+	ANA812	521644
998608	lymphocyte	Lymph		521645
998612	CD38-	Q4: CD38-	ANA808	521645
998633	singlet	singlets		521652
998636	CD4+	CD4+	ANA41	521652
998647	CD3+	CD3+	ANA809	521654
998651		T cell: viable		521655
998660	lymphocyte	Lymph		521656
998672		T cell: viable		521658
998706	CD3+	CD3+	ANA809	521663
998707	CD8+	CD8+	ANA810	521663
998715	CD45RA-	Q4: CD45RA-	ANA816	521664
998731	CD8+	CD8+	ANA810	521669
998734	lymphocyte	Lymph		521670
998745	CD94+	Q2: CD94+	ANA884	521671
998787	singlet	singlets		521678
998791	CD314-	Q4: CD314-	ANA886	521678
998794	singlet	singlets		521679
998796	CD3+	CD3+	ANA809	521679
998800	lymphocyte	Lymph		521680
998817	lymphocyte	Lymph		521683
998823	viable	NK-NKT: viable		521684
998838	CD94-	Q3: CD94-	ANA884	521685
998840	singlet	singlets		521686
998847	viable	B cell: viable		521687
998871	viable	B cell: viable		521693
998883	CD19+	CD19+	ANA805	521694
998898	CD3-	CD3-	ANA809	521696
998903	viable	B cell: viable		521697
998904	singlet	singlets		521697
998925	singlet	singlets		521700
998929	CD27+	CD27+	ANA40	521700
998935	singlet	singlets		521703
998936	lymphocyte	Lymph		521703
998941		Treg: viable		521705
998950	CD4+	CD4+	ANA41	521706
998958	CD127low	CD127low	ANA182	521707
998962	CD3+	CD3+	ANA809	521708
998971	CD3+	CD3+	ANA809	521709
998977		Treg: viable		521710
998981	CD4+	CD4+	ANA41	521710
998982	IL2RAhi	CD25hi	ANA163	521710
999015	CD16+	CD16+	ANA811	521717
999031	CD4+	CD4+	ANA41	521720
999052	CD3-	CD3-	ANA809	521724
999053	CXCR3	CXCR3 FMO: viable	ANA76	521725
999054	singlet	singlets		521725
999063	CD19+	CD19+	ANA805	521726
999068		Mono		521727
999072	SIGLEC-3+	CD33+	ANA864	521728
999081	CXCR3	CXCR3 FMO: viable	ANA76	521732
999092	CD16+	CD16+	ANA811	521734
999093	CD56+	CD56+	ANA815	521734
999097	lymphocyte	Lymph		521735
999119	CD8+	CD8+	ANA810	521739
999126	singlet	singlets		521741
999134	CD3-	CD3-	ANA809	521742
999138	CXCR3	CXCR3 FMO: viable	ANA76	521743
999158	lymphocyte	Lymph		521749
999164	CD4+	CD4+	ANA41	521750
999186	singlet	singlets		521754
999198	CD38-	Q4: CD38-	ANA808	521755
999205	singlet	singlets		521757
999219	lymphocyte	Lymph		521759
999232	singlet	singlets		521761
999233	lymphocyte	Lymph		521761
999245		T cell: viable		521765
999258	singlet	singlets		521768
999286	CD3+	CD3+	ANA809	521772
999288	CD45RA+	Q3: CD45RA+	ANA816	521772
999294	CD4+	CD4+	ANA41	521773
999295	CD45RA-	Q4: CD45RA-	ANA816	521773
999307	CD28+	CD28+	ANA863	521775
999317	CD3+	CD3+	ANA809	521777
999324	CD3+	CD3+	ANA809	521778
999335		T cell: viable		521780
999346	singlet	singlets		521783
999350	lymphocyte	Lymph		521784
999353	singlet	singlets		521785
999357	viable	NK-NKT: viable		521786
999363	CD94+	Q1: CD94+	ANA884	521786
999384	CD94-	Q4: CD94-	ANA884	521789
999392	lymphocyte	Lymph		521791
999401	CD8-	CD8-	ANA810	521792
999402	CD314+	Q2: CD314+	ANA886	521792
999407	CD3+	CD3+	ANA809	521793
999414	CD3+	CD3+	ANA809	521794
999419	singlet	singlets		521795
999427	viable	NK-NKT: viable		521797
999430	CD3-	CD3-	ANA809	521797
999432	CD56+	CD56+	ANA815	521797
999433	viable	NK-NKT: viable		521798
999439	HLADR+	HLADR+	ANA812	521798
999441	singlet	singlets		521799
999449	singlet	singlets		521800
999453	CD56+	CD56+	ANA815	521800
999470	CD314-	Q4: CD314-	ANA886	521802
999471	CD94-	Q4: CD94-	ANA884	521802
999480	lymphocyte	Lymph		521806
999491	CD3-	CD3-	ANA809	521808
999496	viable	B cell: viable		521809
999524	CD19+	CD19+	ANA805	521812
999535	CD27-	Q3: CD27-	ANA40	521813
999536	viable	B cell: viable		521814
999556		Treg: viable		521817
999558	singlet	singlets		521818
999561	lymphocyte	Lymph		521819
999569	CD3+	CD3+	ANA809	521821
999579	lymphocyte	Lymph		521823
999590	CD127low	CD127low	ANA182	521824
999601	CD45RA+	Q2: CD45RA+	ANA816	521825
999607	IL2RAhi	CD25hi	ANA163	521826
999624	CD8+	CD8+	ANA810	521828
999636	lymphocyte	Lymph		521832
999643	singlet	singlets		521834
999656	CD4+	CD4+	ANA41	521836
999658	singlet	singlets		521837
999661	CD4+	CD4+	ANA41	521837
999677	CD3-	CD3-	ANA809	521840
999685	singlet	singlets		521842
999687	CD3-	CD3-	ANA809	521842
999701	SIGLEC-3+	CD33+	ANA864	521845
999702	CXCR3+	CXCR3+	ANA76	521845
999712	CD16+	CD16+	ANA811	521849
999744	CD8+	CD8+	ANA810	521855
999747	singlet	singlets		521856
999768		Mono		521860
999774	CXCR3+	CXCR3+	ANA76	521861
999775		Activated T: viable		521862
999779	singlet	singlets		521864
999794	CD4+	CD4+	ANA41	521867
999807	CD4+	CD4+	ANA41	521869
999809	CD38+	Q2: CD38+	ANA808	521869
999816	CD38-	Q3: CD38-	ANA808	521870
999823	CD38-	Q4: CD38-	ANA808	521871
999829		Activated T: viable		521873
999831	lymphocyte	Lymph		521873
999834	PD1+	PD1+	ANA818	521873
999835		Activated T: viable		521874
999837	lymphocyte	Lymph		521874
999842		Activated T: viable		521875
999847	HLADR+	Q2: HLADR+	ANA812	521875
999871	singlet	singlets		521881
999880	CD3+	CD3+	ANA809	521883
999891	CD3+	CD3+	ANA809	521885
999905	CD4+	CD4+	ANA41	521887
999937	CD8+	CD8+	ANA810	521892
999951	CD45RA+	Q2: CD45RA+	ANA816	521894
999960		T cell: viable		521896
999966	CD27-	Q4: CD27-	ANA40	521896
999978	singlet	singlets		521901
999981	CD8+	CD8+	ANA810	521901
999992	CD3+	CD3+	ANA809	521903
999995	CD94+	Q2: CD94+	ANA884	521903
1000010	viable	NK-NKT: viable		521906
1000011	singlet	singlets		521906
1000016	singlet	singlets		521907
1000018	CD3+	CD3+	ANA809	521907
1000021	CD94+	Q1: CD94+	ANA884	521907
1000024	lymphocyte	Lymph		521908
1000027	CD314+	Q2: CD314+	ANA886	521908
1000032	CD3+	CD3+	ANA809	521909
1000039	CD3+	CD3+	ANA809	521910
1000062	CD16+	CD16+	ANA811	521914
1000070	CD56+	CD56+	ANA815	521915
1000077	CD16+	CD16+	ANA811	521916
1000078	CD56+	CD56+	ANA815	521916
1000081	viable	NK-NKT: viable		521917
1000084	CD3-	CD3-	ANA809	521917
1000088	CD94-	Q3: CD94-	ANA884	521917
1000089	viable	NK-NKT: viable		521918
1000109	lymphocyte	Lymph		521923
1000111	CD19+	CD19+	ANA805	521923
1000112	CD20+	CD20+	ANA806	521923
1000113	viable	B cell: viable		521924
1000121	viable	B cell: viable		521925
1000131	lymphocyte	Lymph		521926
1000155	lymphocyte	Lymph		521929
1000156	CD3-	CD3-	ANA809	521929
1000162	singlet	singlets		521930
1000173	CD20-	CD20-	ANA806	521931
1000174	viable	B cell: viable		521932
1000183	singlet	singlets		521934
1000187		Treg: viable		521936
1000188	singlet	singlets		521936
1000189	lymphocyte	Lymph		521936
1000196		Treg: viable		521938
1000199	CD3+	CD3+	ANA809	521938
1000200	CD4+	CD4+	ANA41	521938
1000206	CD4+	CD4+	ANA41	521939
1000217	CD45RA+	Q1: CD45RA+	ANA816	521940
1000223	IL2RAhi	CD25hi	ANA163	521941
1000229	lymphocyte	Lymph		521942
1000235	CD45RA-	Q3: CD45RA-	ANA816	521942
1000237	singlet	singlets		521943
1000239	CD3+	CD3+	ANA809	521943
1000242	CD127low	CD127low	ANA182	521943
1000245		Treg: viable		521944
1000248	CD3+	CD3+	ANA809	521944
1000251	singlet	singlets		521945
1000252	lymphocyte	Lymph		521945
1000255	CD161+	CD161+	ANA883	521945
1000264	lymphocyte	Lymph		521949
1000267	CXCR3	CXCR3 FMO: viable	ANA76	521950
1000276	CD3+	CD3+	ANA809	521951
1000279	lymphocyte	Lymph		521952
1000284	lymphocyte	Lymph		521953
1000288	CXCR3	CXCR3 FMO: viable	ANA76	521954
1000298	CXCR3+	CXCR3+	ANA76	521955
1000300	singlet	singlets		521956
1000313	CD19+	CD19+	ANA805	521958
1000320	singlet	singlets		521960
1000321		Mono		521960
1000335	singlet	singlets		521965
1000337	CD16+	CD16+	ANA811	521965
1000338	CD56+	CD56+	ANA815	521965
1000340	singlet	singlets		521966
1000356	lymphocyte	Lymph		521969
1000373	lymphocyte	Lymph		521972
1000387	CXCR3+	CXCR3+	ANA76	521974
1000402	singlet	singlets		521979
1000411	singlet	singlets		521982
1000427	CD38+	Q1: CD38+	ANA808	521984
1000438	CD3+	CD3+	ANA809	521986
1000443	singlet	singlets		521987
1000450	singlet	singlets		521988
1000456	lymphocyte	Lymph		521989
1000499	singlet	singlets		521998
1000501	CD3+	CD3+	ANA809	521998
1000529	CD3+	CD3+	ANA809	522003
1000530	CD4+	CD4+	ANA41	522003
1000534	singlet	singlets		522004
1000539	CD27-	Q3: CD27-	ANA40	522004
1000549	lymphocyte	Lymph		522006
1000556	CD8+	CD8+	ANA810	522007
1000560	lymphocyte	Lymph		522008
1000562	CD8+	CD8+	ANA810	522008
1000569	CD45RA-	Q1: CD45RA-	ANA816	522009
1000588	CD3+	CD3+	ANA809	522012
1000590	CD45RA-	Q4: CD45RA-	ANA816	522012
1000596	singlet	singlets		522015
1000616	lymphocyte	Lymph		522019
1000618	CD8+	CD8+	ANA810	522019
1000619	CD314+	Q2: CD314+	ANA886	522019
1000628	viable	NK-NKT: viable		522021
1000646	CD94+	Q1: CD94+	ANA884	522023
1000650	CD3+	CD3+	ANA809	522024
1000651	CD8-	CD8-	ANA810	522024
1000658	CD8-	CD8-	ANA810	522025
1000662	singlet	singlets		522026
1000664	CD3+	CD3+	ANA809	522026
1000671	CD3+	CD3+	ANA809	522027
1000678	singlet	singlets		522029
1000691	singlet	singlets		522031
1000704	CD314+	Q2: CD314+	ANA886	522032
