NAME	DESCRIPTION	LINK
Mass spectrometry result	Mass result in custom format.	http://immport.org/immport-open/public/home/documentation
Q-PCR result	Q-PCR result file.	http://immport.org/immport-open/public/home/documentation
RPKM	Reads Per Kilobase per Million reads- Measurement of mRNA abundance using RNA-seq data.	http://www.ncbi.nlm.nih.gov/pubmed/18516045
TPM	Transcripts per million reads- Measurement of mRNA abundance using RNA-seq data.	http://www.ncbi.nlm.nih.gov/pubmed/22872506
Archived	Files stored and not linked to result data.	http://immport.org/immport-open/public/home/documentation
CRF Description	Assessment CRF document.	https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C40988&ns=NCI_Thesaurus
Flow cytometry compensation or control	Flow cytometry compensation or control files.	http://flowbook.denovosoftware.com/chapter-5-immunofluorescence-and-colour-compensation
ImmPort BDC file	ImmPort defined file format for database updates.	http://immport.org/immport-open/public/home/documentation
Neutralizing antibody titer result	Neutralizing antibody titer result	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C94196&ns=NCI_Thesaurus
Image Histology result	Image Histology result	http://immport.org/immport-open/public/home/documentation
Custom assay result	Custom assay result.	http://immport.org/immport-open/public/home/documentation
CyTOF result	CyTOF result.	http://immport.org/immport-open/public/home/documentation; https://en.wikipedia.org/wiki/Mass_cytometry
ELISA result	Measurement values from ELISA assays.	https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C16553&key=n725699862&m=1&b=1&n=null
ELISPOT result	Measurement values from ELISpot assays.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C102632&ns=NCI_Thesaurus
Flow cytometry result	Flow cytometry result.	http://flowbook.denovosoftware.com/chapter-5-immunofluorescence-and-colour-compensation
Gene expression result	Measurement values from  Gene expression assays.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C16608&ns=NCI_Thesaurus
Genotyping result	Measurement Genotyping result.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C45447&ns=NCI_Thesaurus
HAI description	Metadata for HAI results.	http://immport.org/immport-open/public/home/documentation
HAI result	HAI result.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C120688&ns=NCI_Thesaurus
RNA sequencing result	Measurement RNA sequencing result.	https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C124261&key=361502663&b=1&n=null
Virus neutralization result	Virus neutralization results.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C94196&ns=NCI_Thesaurus
Virus titer result	Measurement of virus titer.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67454&ns=NCI_Thesaurus
