STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC46	ANA43	SOL CD40L		LUMFLU1	EXP11771	Regression curve	11.04	pg/ml	MBAA	Parsed	5062.967	pg/ml	2799
SC48	ANA212	TGFA		LUMFLU1	EXP11771	Regression curve	0.004	pg/ml	MBAA	Parsed	108.53	pg/ml	2799
SC50	ANA192	TNFB		LUMFLU1	EXP11771	Regression curve	0.229	pg/ml	MBAA	Parsed	4999.676	pg/ml	2799
SC72	ANA183	IL9		LUMFLU2	EXP11771	Regression curve	0.167	pg/ml	MBAA	Parsed	5357.2	pg/ml	2799
SC77	ANA130	IL15		LUMFLU2	EXP11771	Regression curve	0.568	pg/ml	MBAA	Parsed	5120.633	pg/ml	2799
SC94	ANA81	EGF		LUMFLU3	EXP11771	Regression curve	0.572	pg/ml	MBAA	Parsed	1451.743	pg/ml	2799
SC103	ANA110	IFN G		LUMFLU3	EXP11771	Regression curve	0.057	pg/ml	MBAA	Parsed	5007.502	pg/ml	2799
SC119	ANA130	IL15		LUMFLU3	EXP11771	Regression curve	0.687	pg/ml	MBAA	Parsed	5191.463	pg/ml	2799
SC106	ANA145	IL1RA		LUMFLU3	EXP11771	Regression curve	0.88	pg/ml	MBAA	Parsed	4965.87	pg/ml	2799
SC111	ANA178	IL6		LUMFLU3	EXP11771	Regression curve	0.615	pg/ml	MBAA	Parsed	1429.246	pg/ml	2799
SC130	ANA43	SOL CD40L		LUMFLU3	EXP11771	Regression curve	8.984	pg/ml	MBAA	Parsed	4990.808	pg/ml	2799
SC132	ANA212	TGFA		LUMFLU3	EXP11771	Regression curve	0.822	pg/ml	MBAA	Parsed	108.859	pg/ml	2799
SC52	ANA81	EGF		LUMFLU2	EXP11771	Regression curve	2.674	pg/ml	MBAA	Parsed	4149.814	pg/ml	2799
SC26	ANA176	IL5		LUMFLU1	EXP11771	Regression curve	0.056	pg/ml	MBAA	Parsed	1429.887	pg/ml	2799
SC32	ANA124	IL12 P40		LUMFLU1	EXP11771	Regression curve	0.562	pg/ml	MBAA	Parsed	5036.931	pg/ml	2799
SC53	ANA3	EOTAXIN		LUMFLU2	EXP11771	Regression curve	0.215	pg/ml	MBAA	Parsed	4353.261	pg/ml	2799
SC57	ANA56	G-CSF		LUMFLU2	EXP11771	Regression curve	2.833	pg/ml	MBAA	Parsed	4993.117	pg/ml	2799
SC58	ANA53	GMCSF		LUMFLU2	EXP11771	Regression curve	0.775	pg/ml	MBAA	Parsed	4996.91	pg/ml	2799
SC60	ANA99	IFNA2		LUMFLU2	EXP11771	Regression curve	2.388	pg/ml	MBAA	Parsed	5034.833	pg/ml	2799
SC63	ANA143	IL1-B		LUMFLU2	EXP11771	Regression curve	0.054	pg/ml	MBAA	Parsed	1430.863	pg/ml	2799
SC87	ANA27	RANTES		LUMFLU2	EXP11771	Regression curve	8.099	pg/ml	MBAA	Parsed	1409.933	pg/ml	2799
SC98	ANA58	FRACTALKINE		LUMFLU3	EXP11771	Regression curve	10.501	pg/ml	MBAA	Parsed	4981.004	pg/ml	2799
SC108	ANA166	IL3		LUMFLU3	EXP11771	Regression curve	0.056	pg/ml	MBAA	Parsed	4969.648	pg/ml	2799
SC114	ANA183	IL9		LUMFLU3	EXP11771	Regression curve	0.203	pg/ml	MBAA	Parsed	5516.151	pg/ml	2799
SC121	ANA61	IP10		LUMFLU3	EXP11771	Regression curve	2.691	pg/ml	MBAA	Parsed	1431.454	pg/ml	2799
SC122	ANA11	MCP1		LUMFLU3	EXP11771	Regression curve	0.233	pg/ml	MBAA	Parsed	3560.149	pg/ml	2799
SC128	ANA803	PDGF AB/BB		LUMFLU3	EXP11771	Regression curve	9.105	pg/ml	MBAA	Parsed	4999.995	pg/ml	2799
SC93	ANA709	VEGF		LUMFLU2	EXP11771	Regression curve	2.555	pg/ml	MBAA	Parsed	1428.532	pg/ml	2799
SC101	ANA60	GRO		LUMFLU3	EXP11771	Regression curve	0.618	pg/ml	MBAA	Parsed	6492.624	pg/ml	2799
SC47	ANA163	s IL2-RA		LUMFLU1	EXP11771	Regression curve	0.918	pg/ml	MBAA	Parsed	5061.834	pg/ml	2799
SC49	ANA220	TNFA		LUMFLU1	EXP11771	Regression curve	0.191	pg/ml	MBAA	Parsed	1434.356	pg/ml	2799
SC62	ANA142	IL1-A		LUMFLU2	EXP11771	Regression curve	2.286	pg/ml	MBAA	Parsed	1428.57	pg/ml	2799
SC64	ANA145	IL1RA		LUMFLU2	EXP11771	Regression curve	0.715	pg/ml	MBAA	Parsed	4999.166	pg/ml	2799
SC22	ANA145	IL1RA		LUMFLU1	EXP11771	Regression curve	0.251	pg/ml	MBAA	Parsed	4965.114	pg/ml	2799
SC31	ANA118	IL10		LUMFLU1	EXP11771	Regression curve	0.202	pg/ml	MBAA	Parsed	5008.964	pg/ml	2799
SC55	ANA90	FLT 3 LIGAND		LUMFLU2	EXP11771	Regression curve	2.952	pg/ml	MBAA	Parsed	1420.061	pg/ml	2799
SC66	ANA166	IL3		LUMFLU2	EXP11771	Regression curve	0.714	pg/ml	MBAA	Parsed	5116.334	pg/ml	2799
SC73	ANA118	IL10		LUMFLU2	EXP11771	Regression curve	0.183	pg/ml	MBAA	Parsed	5017.01	pg/ml	2799
SC75	ANA800	IL12 P70		LUMFLU2	EXP11771	Regression curve	0.198	pg/ml	MBAA	Parsed	5036.507	pg/ml	2799
SC80	ANA11	MCP1		LUMFLU2	EXP11771	Regression curve	0.765	pg/ml	MBAA	Parsed	4605.914	pg/ml	2799
SC84	ANA24	MIPB		LUMFLU2	EXP11771	Regression curve	2.639	pg/ml	MBAA	Parsed	5107.11	pg/ml	2799
SC99	ANA56	G-CSF		LUMFLU3	EXP11771	Regression curve	2.662	pg/ml	MBAA	Parsed	5003.209	pg/ml	2799
SC112	ANA181	IL7		LUMFLU3	EXP11771	Regression curve	2.439	pg/ml	MBAA	Parsed	1429.795	pg/ml	2799
SC125	ANA20	MIP1A		LUMFLU3	EXP11771	Regression curve	0.722	pg/ml	MBAA	Parsed	1243.457	pg/ml	2799
SC126	ANA24	MIPB		LUMFLU3	EXP11771	Regression curve	2.489	pg/ml	MBAA	Parsed	5365.545	pg/ml	2799
SC133	ANA220	TNFA		LUMFLU3	EXP11771	Regression curve	0.193	pg/ml	MBAA	Parsed	1434.652	pg/ml	2799
SC76	ANA127	IL13		LUMFLU2	EXP11771	Regression curve	2.709	pg/ml	MBAA	Parsed	5064.343	pg/ml	2799
SC86	ANA803	PDGF AB/BB		LUMFLU2	EXP11771	Regression curve	7.31	pg/ml	MBAA	Parsed	4913.555	pg/ml	2799
SC116	ANA124	IL12 P40		LUMFLU3	EXP11771	Regression curve	0.574	pg/ml	MBAA	Parsed	5053.118	pg/ml	2799
SC23	ANA148	IL2		LUMFLU1	EXP11771	Regression curve	0.219	pg/ml	MBAA	Parsed	5315.209	pg/ml	2799
SC33	ANA800	IL12 P70		LUMFLU1	EXP11771	Regression curve	0.054	pg/ml	MBAA	Parsed	5342.581	pg/ml	2799
SC45	ANA27	RANTES		LUMFLU1	EXP11771	Regression curve	0.852	pg/ml	MBAA	Parsed	6391.168	pg/ml	2799
SC67	ANA174	IL4		LUMFLU2	EXP11771	Regression curve	0.167	pg/ml	MBAA	Parsed	5012.459	pg/ml	2799
SC15	ANA56	G-CSF		LUMFLU1	EXP11771	Regression curve	0.703	pg/ml	MBAA	Parsed	5013.744	pg/ml	2799
SC18	ANA99	IFNA2		LUMFLU1	EXP11771	Regression curve	0.786	pg/ml	MBAA	Parsed	4999.998	pg/ml	2799
SC59	ANA60	GRO		LUMFLU2	EXP11771	Regression curve	2.702	pg/ml	MBAA	Parsed	4030.317	pg/ml	2799
SC70	ANA181	IL7		LUMFLU2	EXP11771	Regression curve	2.952	pg/ml	MBAA	Parsed	1725.155	pg/ml	2799
SC89	ANA163	s IL2-RA		LUMFLU2	EXP11771	Regression curve	2.531	pg/ml	MBAA	Parsed	5039.425	pg/ml	2799
SC95	ANA3	EOTAXIN		LUMFLU3	EXP11771	Regression curve	0.702	pg/ml	MBAA	Parsed	1466.628	pg/ml	2799
SC124	ANA14	MDC		LUMFLU3	EXP11771	Regression curve	0.765	pg/ml	MBAA	Parsed	4800.76	pg/ml	2799
SC129	ANA27	RANTES		LUMFLU3	EXP11771	Regression curve	2.959	pg/ml	MBAA	Parsed	410.234	pg/ml	2799
SC74	ANA124	IL12 P40		LUMFLU2	EXP11771	Regression curve	2.381	pg/ml	MBAA	Parsed	5095.999	pg/ml	2799
SC88	ANA43	SOL CD40L		LUMFLU2	EXP11771	Regression curve	12.368	pg/ml	MBAA	Parsed	5196.778	pg/ml	2799
SC104	ANA142	IL1-A		LUMFLU3	EXP11771	Regression curve	9.543	pg/ml	MBAA	Parsed	4997.7	pg/ml	2799
SC109	ANA174	IL4		LUMFLU3	EXP11771	Regression curve	0.701	pg/ml	MBAA	Parsed	5011.974	pg/ml	2799
SC25	ANA174	IL4		LUMFLU1	EXP11771	Regression curve	0.763	pg/ml	MBAA	Parsed	4999.916	pg/ml	2799
SC30	ANA183	IL9		LUMFLU1	EXP11771	Regression curve	0.225	pg/ml	MBAA	Parsed	1428.837	pg/ml	2799
SC69	ANA178	IL6		LUMFLU2	EXP11771	Regression curve	3.406	pg/ml	MBAA	Parsed	6414.576	pg/ml	2799
SC12	ANA88	FGF-2		LUMFLU1	EXP11771	Regression curve	2.721	pg/ml	MBAA	Parsed	4914.206	pg/ml	2799
SC16	ANA53	GMCSF		LUMFLU1	EXP11771	Regression curve	0.267	pg/ml	MBAA	Parsed	4986.222	pg/ml	2799
SC27	ANA178	IL6		LUMFLU1	EXP11771	Regression curve	0.777	pg/ml	MBAA	Parsed	5007.487	pg/ml	2799
SC34	ANA127	IL13		LUMFLU1	EXP11771	Regression curve	0.665	pg/ml	MBAA	Parsed	5019.173	pg/ml	2799
SC43	ANA201	PDGFAA		LUMFLU1	EXP11771	Regression curve	12.281	pg/ml	MBAA	Parsed	302.772	pg/ml	2799
SC61	ANA110	IFN G		LUMFLU2	EXP11771	Regression curve	0.164	pg/ml	MBAA	Parsed	4993.492	pg/ml	2799
SC105	ANA143	IL1-B		LUMFLU3	EXP11771	Regression curve	0.052	pg/ml	MBAA	Parsed	1431.136	pg/ml	2799
SC91	ANA220	TNFA		LUMFLU2	EXP11771	Regression curve	0.166	pg/ml	MBAA	Parsed	1410.449	pg/ml	2799
SC54	ANA88	FGF-2		LUMFLU2	EXP11771	Regression curve	2.985	pg/ml	MBAA	Parsed	4301.721	pg/ml	2799
SC71	ANA72	IL8		LUMFLU2	EXP11771	Regression curve	0.187	pg/ml	MBAA	Parsed	1484.741	pg/ml	2799
SC19	ANA110	IFN G		LUMFLU1	EXP11771	Regression curve	0.17	pg/ml	MBAA	Parsed	5000.055	pg/ml	2799
SC44	ANA803	PDGF AB/BB		LUMFLU1	EXP11771	Regression curve	28.086	pg/ml	MBAA	Parsed	4985.671	pg/ml	2799
SC65	ANA148	IL2		LUMFLU2	EXP11771	Regression curve	0.712	pg/ml	MBAA	Parsed	5081.326	pg/ml	2799
SC68	ANA176	IL5		LUMFLU2	EXP11771	Regression curve	0.193	pg/ml	MBAA	Parsed	1429.716	pg/ml	2799
SC78	ANA133	IL17A		LUMFLU2	EXP11771	Regression curve	0.193	pg/ml	MBAA	Parsed	5288.265	pg/ml	2799
SC96	ANA88	FGF-2		LUMFLU3	EXP11771	Regression curve	2.826	pg/ml	MBAA	Parsed	1399.836	pg/ml	2799
SC97	ANA90	FLT 3 LIGAND		LUMFLU3	EXP11771	Regression curve	0.882	pg/ml	MBAA	Parsed	4922.639	pg/ml	2799
SC100	ANA53	GMCSF		LUMFLU3	EXP11771	Regression curve	0.632	pg/ml	MBAA	Parsed	5012.37	pg/ml	2799
SC102	ANA99	IFNA2		LUMFLU3	EXP11771	Regression curve	2.807	pg/ml	MBAA	Parsed	5009.372	pg/ml	2799
SC107	ANA148	IL2		LUMFLU3	EXP11771	Regression curve	0.676	pg/ml	MBAA	Parsed	4960.996	pg/ml	2799
SC117	ANA800	IL12 P70		LUMFLU3	EXP11771	Regression curve	0.178	pg/ml	MBAA	Parsed	5055.095	pg/ml	2799
SC120	ANA133	IL17A		LUMFLU3	EXP11771	Regression curve	0.232	pg/ml	MBAA	Parsed	1424.272	pg/ml	2799
SC123	ANA28	MCP3		LUMFLU3	EXP11771	Regression curve	0.717	pg/ml	MBAA	Parsed	4826.283	pg/ml	2799
SC131	ANA163	s IL2-RA		LUMFLU3	EXP11771	Regression curve	0.637	pg/ml	MBAA	Parsed	5021.826	pg/ml	2799
SC135	ANA709	VEGF		LUMFLU3	EXP11771	Regression curve	2.761	pg/ml	MBAA	Parsed	4955.392	pg/ml	2799
SC127	ANA201	PDGFAA		LUMFLU3	EXP11771	Regression curve	128.061	pg/ml	MBAA	Parsed	309.81	pg/ml	2799
SC134	ANA192	TNFB		LUMFLU3	EXP11771	Regression curve	0.592	pg/ml	MBAA	Parsed	4995.18	pg/ml	2799
SC13	ANA90	FLT 3 LIGAND		LUMFLU1	EXP11771	Regression curve	0.181	pg/ml	MBAA	Parsed	4855.355	pg/ml	2799
SC28	ANA181	IL7		LUMFLU1	EXP11771	Regression curve	2.648	pg/ml	MBAA	Parsed	3707.222	pg/ml	2799
SC40	ANA14	MDC		LUMFLU1	EXP11771	Regression curve	0.972	pg/ml	MBAA	Parsed	1437.546	pg/ml	2799
SC14	ANA58	FRACTALKINE		LUMFLU1	EXP11771	Regression curve	9.659	pg/ml	MBAA	Parsed	4993.437	pg/ml	2799
SC17	ANA60	GRO		LUMFLU1	EXP11771	Regression curve	0.69	pg/ml	MBAA	Parsed	4911.89	pg/ml	2799
SC24	ANA166	IL3		LUMFLU1	EXP11771	Regression curve	0.188	pg/ml	MBAA	Parsed	4870.285	pg/ml	2799
SC29	ANA72	IL8		LUMFLU1	EXP11771	Regression curve	0.061	pg/ml	MBAA	Parsed	5149.866	pg/ml	2799
SC38	ANA11	MCP1		LUMFLU1	EXP11771	Regression curve	0.267	pg/ml	MBAA	Parsed	1384.654	pg/ml	2799
SC39	ANA28	MCP3		LUMFLU1	EXP11771	Regression curve	0.552	pg/ml	MBAA	Parsed	1738.18	pg/ml	2799
SC51	ANA709	VEGF		LUMFLU1	EXP11771	Regression curve	0.931	pg/ml	MBAA	Parsed	1428.645	pg/ml	2799
SC82	ANA14	MDC		LUMFLU2	EXP11771	Regression curve	0.709	pg/ml	MBAA	Parsed	4807.766	pg/ml	2799
SC85	ANA201	PDGFAA		LUMFLU2	EXP11771	Regression curve	40.822	pg/ml	MBAA	Parsed	303.529	pg/ml	2799
SC115	ANA118	IL10		LUMFLU3	EXP11771	Regression curve	0.074	pg/ml	MBAA	Parsed	5024.402	pg/ml	2799
SC81	ANA28	MCP3		LUMFLU2	EXP11771	Regression curve	0.71	pg/ml	MBAA	Parsed	1393.486	pg/ml	2799
SC83	ANA20	MIP1A		LUMFLU2	EXP11771	Regression curve	0.741	pg/ml	MBAA	Parsed	1278.116	pg/ml	2799
SC118	ANA127	IL13		LUMFLU3	EXP11771	Regression curve	0.636	pg/ml	MBAA	Parsed	5042.018	pg/ml	2799
SC11	ANA3	EOTAXIN		LUMFLU1	EXP11771	Regression curve	0.204	pg/ml	MBAA	Parsed	5109.351	pg/ml	2799
SC42	ANA24	MIPB		LUMFLU1	EXP11771	Regression curve	2.815	pg/ml	MBAA	Parsed	1427.687	pg/ml	2799
