REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12220	ANA860	CD2	AB_10374323; AB_1500438	CD0217	Anti-CD2			N		Invitrogen	NCH-2012-FR-R12	PE-TR (ECD)	Flow Cytometry		2799
ESR12221	ANA814	CD11c	AB_394034	551077	Anti-CD11c			N		BD Biosciences	NCH-2012-FR-R13	PC5	Flow Cytometry		2799
ESR12222	ANA895	CD1c	AB_1953227	331515	Anti-CD1c			N		BioLegend	NCH-2012-FR-R14	PC7	Flow Cytometry		2799
ESR12223		BDCA-3 (CD141)	AB_244170	130-090-907	Anti-BDCA-3 (CD141)			N		Miltenyi	NCH-2012-FR-R15	APC	Flow Cytometry		2799
ESR12224	ANA812	HLA-DR	AB_893565	327014	Anti-HLA-DR			N		BioLegend	NCH-2012-FR-R16	A700	Flow Cytometry		2799
ESR12225		CD45	AB_10376143; AB_1475776	MHCD4530	Anti-CD45			N		Invitrogen	NCH-2012-FR-R17	PO	Flow Cytometry		2799
ESR12226	ANA78	CXCR5	AB_397034	558112	Anti-CXCR5			N		BD Biosciences	NCH-2012-FR-R18	A488 (FITC)	Flow Cytometry		2799
ESR12227		CCR6 (CD196)	AB_397273	559562	Anti-CCR6 (CD196)			N		BD Biosciences	NCH-2012-FR-R19	PE	Flow Cytometry		2799
ESR12228	ANA816	CD45RA	AB_10640553	IM2711U	Anti-CD45RA			N		Beckman Coulter	NCH-2012-FR-R20	ECD	Flow Cytometry		2799
ESR12229		CXCR3 (CD183)	AB_394061	551128	Anti-CXCR3 (CD183)			N		BD Biosciences	NCH-2012-FR-R21	PC5	Flow Cytometry		2799
ESR12230		CCR7 (CD197)	AB_396765	557648	Anti-CCR7 (CD197)			N		BD Biosciences	NCH-2012-FR-R22	PC7	Flow Cytometry		2799
ESR12231		ICOS (CD278)	AB_416334	313510	Anti-ICOS (CD278)			N		BioLegend	NCH-2012-FR-R23	APC	Flow Cytometry		2799
ESR12232	ANA809	CD3	AB_396952	557943	Anti-CD3			N		BD Biosciences	NCH-2012-FR-R24	A700	Flow Cytometry		2799
ESR12233	ANA810	CD8	AB_1645736	641400	Anti-CD8			N		BD Biosciences	NCH-2012-FR-R25	APC-H7	Flow Cytometry		2799
ESR12234	ANA41	CD4	AB_397037	558116	Anti-CD4			N		BD Biosciences	NCH-2012-FR-R26	PB	Flow Cytometry		2799
ESR12235	ANA59	CX3CR1	AB_1626272	341606	Anti-CXC3R1			N		BioLegend	NCH-2012-FR-R27	FITC	Flow Cytometry		2799
ESR12236	ANA804	CD14	AB_400312	347497	Anti-CD14			N		BD Biosciences	NCH-2012-FR-R28	PE	Flow Cytometry		2799
ESR12237	ANA42	CD40	AB_395965	555590	Anti-CD40			N		BD Biosciences	NCH-2012-FR-R29	PC5	Flow Cytometry		2799
ESR12238	ANA878	CD11b	AB_396849	557743	Anti-CD11b			N		BD Biosciences	NCH-2012-FR-R30	PC7	Flow Cytometry		2799
ESR12239		SLAN	AB_871579	130-093-031	Anti-SLAN			N		Miltenyi	NCH-2012-FR-R31	APC	Flow Cytometry		2799
ESR12240	ANA811	CD16	AB_1645466	560195	Anti-CD16			N		BD Biosciences	NCH-2012-FR-R32	APC-H7	Flow Cytometry		2799
ESR12241							NCH B-Cell Flow Panel (CD86)	Y			NCH B-Cell		Flow Cytometry		2799
ESR12242							NCH Dendritic Cell Flow Panel	Y			NCH Dendritic Cell		Flow Cytometry		2799
ESR12243							NCH TFH Flow Panel	Y			NCH TFH		Flow Cytometry		2799
ESR12244							NCH Monocyte Flow Panel	Y			NCH Monocyte		Flow Cytometry		2799
