REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12266		CCR7 (CD197)	AB_396765	557648	Anti-CCR7 (CD197)			N		BD Biosciences	CCR7 PC7	PC7	Flow Cytometry		2799
ESR12267		ICOS (CD278)	AB_416334	313510	Anti-ICOS (CD278)			N		BioLegend	ICOS APC	APC	Flow Cytometry		2799
ESR12268	ANA809	CD3	AB_396952	557943	Anti-CD3			N		BD Biosciences	CD3 A700	A700	Flow Cytometry		2799
ESR12269	ANA810	CD8	AB_1645736	641400	Anti-CD8			N		BD Biosciences	CD8 APC-H7	APC-H7	Flow Cytometry		2799
ESR12270	ANA41	CD4	AB_397037	558116	Anti-CD4			N		BD Biosciences	CD4 PacBlue	PB	Flow Cytometry		2799
ESR12271	ANA59	CX3CR1	AB_1626272	341606	Anti-CXC3R1			N		BioLegend	CXC3R1 FITC	FITC	Flow Cytometry		2799
ESR12272	ANA804	CD14	AB_400312	347497	Anti-CD14			N		BD Biosciences	CD14 PE	PE	Flow Cytometry		2799
ESR12273	ANA42	CD40	AB_395965	555590	Anti-CD40			N		BD Biosciences	CD40 PC5	PC5	Flow Cytometry		2799
ESR12274	ANA878	CD11b	AB_396849	557743	Anti-CD11b			N		BD Biosciences	CD11b PC7	PC7	Flow Cytometry		2799
ESR12275		SLAN	AB_871579	130-093-031	Anti-SLAN			N		Miltenyi	SLAN APC	APC	Flow Cytometry		2799
ESR12276	ANA811	CD16	AB_1645466	560195	Anti-CD16			N		BD Biosciences	CD16 APC-H7	APC-H7	Flow Cytometry		2799
ESR12277							NCH_2013 B-Cell Flow Panel	Y			NCH_2013 B-Cell		Flow Cytometry		2799
ESR12278							NCH_2013 Dendritic Cell Flow Panel	Y			NCH_2013 Dendritic Cell		Flow Cytometry		2799
ESR12279							NCH_2013 Monocyte Flow Panel	Y			NCH_2013 Monocyte		Flow Cytometry		2799
ESR12280							NCH_2013 TFH Flow Panel	Y			NCH_2013 TFH		Flow Cytometry		2799
