NAME	DESCRIPTION	DISPLAY	DISPLAY_ORDER	LINK
Immunoprecipitation	An assay with the objective to determine presence of an analyte by mixing a solution of antigen and antibody and separating out bound antigen:antibody complexes using immunoprecipitation.	Y	18	http://purl.obolibrary.org/obo/OBI_0001700
EMSA	Electrophoretic mobility shift assay  is an assay which aims to provide information about Protein-DNA or Protein-RNA interaction and which used gel electrophoresis and relies on the fact the molecular interactions will cause the heterodimer to be retarded on the gel when compared to controls corresponding to protein extract alone and protein extract + neutral nucleic acid.	Y	13	http://purl.obolibrary.org/obo/OBI_0001671
Rnase_Protection_Assay	A laboratory technique to identify individual RNA molecules in a heterogeneous RNA sample extracted from cells.	Y	33	http://en.wikipedia.org/wiki/RNase_protection_assay
Western_Blot	Western blot is a method in molecular biology/biochemistry/immunogenetics to detect protein in a given sample of tissue homogenate or extract. It uses gel electrophoresis to separate denatured proteins by mass. The proteins are then transferred out of the gel and onto a membrane (typically nitrocellulose), where they are probed using antibodies specific to the protein. As a result, researchers can examine the amount of protein in a given sample and compare levels between several groups. Other techniques also using antibodies allow detection of proteins in tissues (immunohistochemistry) and cells (immunocytochemistry). The confirmatory HIV test employs a western blot to detect anti-HIV antibody in a human serum sample. A Western blot is also used as the definitive test for Bovine spongiform encephalopathy (BSE, commonly referred to as 'mad cow disease'). Some forms of Lyme disease testing employ Western blotting.	Y	38	http://purl.obolibrary.org/obo/OBI_0000854
Southern_Blot	A Southern blot is a method of capturing DNA molecules that have been seperated by agarose gel electrophoresis for subsequent analysis.	Y	35	http://purl.obolibrary.org/obo/OBI_0000892
Surface_Plasmon_Resonance	An assay that uses the detection of electromagnetic waves in a surface to detect material entities adsorbed to the surface, which changes the local index of refraction.	Y	36	http://purl.obolibrary.org/obo/OBI_0000923
Line_Probe_Assay	PCR amplification of a genomic region is performed using biotinylated primers. Following amplification, labelled PCR products are hybridized with specific oligonucleotide probes immobilized on a strip.	Y	21	http://purl.obolibrary.org/obo/OBI_0000892
Other	Other Experiment Measurement Technique not listed.	Y	99	
Luminex_xMAP	Microsphere based multiplexing system. Microspheres are color coded and linked to a detector or capture reagent (e.g. antibody, oligonucleotides, peptides, or receptors).	Y	6	http://purl.obolibrary.org/obo/OBI_0000920
PCR	Polymerase Chain Reaction is a technique to amplify a DNA template.	Y	31	http://purl.obolibrary.org/obo/OBI_0000415
in_situ_Hybridization	Uses a labelled complementary DNA or RNA strand (i.e., probe) to localize a specific DNA or RNA sequence in a portion or section of tissue (in situ), or the entire tissue (whole mount ISH), in cells and in circulating tumor cells (CTCs).	Y	19	http://en.wikipedia.org/wiki/In_situ_hybridization
FCM	Fluorescence Activated Cell Sorting	Y	3	http://purl.obolibrary.org/obo/OBI_0000916
ELISA	Enzyme-Linked ImmunoSorbant Assay. Quantification of a molecule (e.g cytokine) by an antibody immobilization strategy.	Y	4	http://purl.obolibrary.org/obo/OBI_0000661
Mixed_Lymphocyte_Reaction	Mixed lymphocyte reaction test is a measure of histocompatibility at the HLA locus. Peripheral blood lymphocytes from two individuals are mixed together in tissue culture for several days; lymphocytes from incompatible individuals will stimulate each other to proliferate significantly (e.g. measured by tritiated thymidine uptake) whereas those from compatible individuals will not; in the one\-way MLC test, the lymphocytes from one of the individuals are inactivated thereby allowing only the untreated remaining population of cells to proliferate in response to foreign histocompatibility antigens.	Y	7	http://en.wikipedia.org/wiki/Tissue_typing
TCID50	50 percent Tissue Culture Infective Dose, (TCID50) is the measure of infectious virus titer. This endpoint dilution assay quantifies the amount of virus required to kill 50% of infected hosts or to produce a cytopathic effect in 50% of inoculated tissue culture cells.	Y	41	http://en.wikipedia.org/wiki/Virus_Quantification
Array	Arrays (including microarrays) are a set of probes immobilized on a surface. The probes can be oligonucleotides, cDNAs, antibodies and other molecules that recognize a target. Microarrays can be constructed by several methods including (but not limited to in situ oligo synthesis (e.g. Affymetrix), cDNA spotting, bead arrays (e.g. Illumina) and antibody spotting. The position and identity of probes are provided by the manufacturer. The probe identifiers and their target are referred to as annotation or translation of probe identifiers to bioinformatic identifiers. Microarrays can be used for gene expression (mRNA transcript quantification), genotyping, cytokine quantification, etc. Microarrays for gene expression fall into two general classes- single channel and dual channel. The channel refers to the wavelength scanned for fluorescent signals. Affymetrix microarrays are obligatory single channel. There are a host of commercial and non-commercial microarray meanufacturers that use two c	Y	1	http://purl.obolibrary.org/obo/OBI_0400147 ; http://purl.obolibrary.org/obo/OBI_0001204 ; http://purl.obolibrary.org/obo/OBI_0001307 ;  http://purl.obolibrary.org/obo/OBI_0400149
Cell_Culture	A cell culture includes the cells in culture, as well as the media and all additives in which the cells are being grown or in which they are stored.	Y	11	http://purl.obolibrary.org/obo/OBI_0001876
ELISPOT	Enzyme-linked ImmunoSPOT. A variant of ELISA with increased resolution that allows quantifying the number of cells in a population that release a molecule (e.g. cytokine).	Y	5	http://purl.obolibrary.org/obo/OBI_0600031
Optical_Density	Optical Density is a class of techniques to measure the amount of light absorbed/transmitted by a sample.  The sample O.D. is compared to a standard curve to interpolate the sample's concentration of an analyte.	Y	30	http://en.wikipedia.org/wiki/Optical_Density
Nanostring	Nanostring technology uses molecular "barcodes" and single molecule imaging to detect and count hundreds of unique transcripts in a single reaction.	Y	28	http://www.nanostring.com/applications/technology
CyTOF	Cytometry Time Of Flight CyTOF (DVS Sciences) or Mass cytometry, or , is a variation of flow cytometry in which antibodies are labeled with heavy metal ion tags rather than fluorochromes. Readout is by time-of-flight mass spectrometry.	Y	2	http://en.wikipedia.org/wiki/Mass_cytometry
Meso_Scale_Discovery_ECL	MSD Electrochemiluminescence (ECL) detection uses labels that emit light when electrochemically stimulated.	Y	40	
Exome_Sequencing	Technique for sequencing all the protein-coding genes in a genome (known as the exome). Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact.	Y	42	http://purl.obolibrary.org/obo/OBI_0000626;http://en.wikipedia.org/wiki/Exome_sequencing
RNA_sequencing	Sequencing process which uses ribonucleic acid as input and results in a the creation of RNA sequence information artifact.	Y	43	http://purl.obolibrary.org/obo/OBI_0001177;http://purl.obolibrary.org/obo/OBI_0001271
Whole_Genome_Sequencing	Laboratory process that determines the complete DNA sequence of an organism's genome at a single time. Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact	Y	44	http://purl.obolibrary.org/obo/OBI_0000626;http://en.wikipedia.org/wiki/Whole_genome_sequencing
Hemagglutination_Inhibition	Quantitate serum antibody to a specific antigen by blocking agglutination of cells.	Y	14	http://purl.obolibrary.org/obo/OBI_0000875
Virus_Neutralization	Block a viral function.	Y	37	http://purl.obolibrary.org/obo/OBI_0000872
HLA_TYPING	Human Leukocyte Antigen typing.	Y	15	http://purl.obolibrary.org/obo/OBI_0000435
KIR_TYPING	Killer cell immunoglobulin-like receptors.	Y	20	http://purl.obolibrary.org/obo/OBI_0000435
