RESULT_ID	ARM_ACCESSION	BIOSAMPLE_ACCESSION	COMMENTS	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	GENE_ID	GENE_NAME	GENE_SYMBOL_PREFERRED	GENE_SYMBOL_REPORTED	OTHER_GENE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME	STUDY_ACCESSION	STUDY_TIME_COLLECTED	STUDY_TIME_COLLECTED_UNIT	SUBJECT_ACCESSION	UNIT_PREFERRED	UNIT_REPORTED	VALUE_PREFERRED	VALUE_REPORTED	WORKSPACE_ID
119819	ARM544	BS589024		EXP9413	ES499064	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113562		copy_number		118764.87	2510
119766	ARM544	BS588997		EXP9413	ES499037	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113535		copy_number		46990.95	2510
119741	ARM544	BS588985		EXP9413	ES499025				TREC				SDY67	0	Days	SUB113523		copy_number		28.278	2510
119761	ARM544	BS588995		EXP9413	ES499035				TREC				SDY67	0	Days	SUB113533		copy_number		0.604	2510
119648	ARM544	BS588937		EXP9413	ES498977				TREC				SDY67	0	Days	SUB113475		copy_number		4.479	2510
119811	ARM544	BS589020		EXP9413	ES499060	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113558		copy_number		31904.34	2510
119802	ARM544	BS589016		EXP9413	ES499056				TREC				SDY67	0	Days	SUB113554		copy_number		28.532	2510
119688	ARM544	BS588957		EXP9413	ES498997				TREC				SDY67	0	Days	SUB113495		copy_number		10.175	2510
119708	ARM544	BS588968		EXP9413	ES499008	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113506		copy_number		141073.62	2510
119707	ARM544	BS588968		EXP9413	ES499008				TREC				SDY67	0	Days	SUB113506		copy_number		146.133	2510
119865	ARM544	BS589047		EXP9413	ES499087	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113585		copy_number		116701.63	2510
119647	ARM544	BS588936		EXP9413	ES498976	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113474		copy_number		270487.68	2510
119625	ARM544	BS588925		EXP9413	ES498965	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113463		copy_number		24603.42	2510
119859	ARM544	BS589044		EXP9413	ES499084	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113582		copy_number		7725.25	2510
119683	ARM544	BS588954		EXP9413	ES498994	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113492		copy_number		24913.21	2510
119879	ARM544	BS589054		EXP9413	ES499094	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113592		copy_number		108087.51	2510
119756	ARM544	BS588992		EXP9413	ES499032	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113530		copy_number		111250.84	2510
119844	ARM544	BS589037		EXP9413	ES499077				TREC				SDY67	0	Days	SUB113575		copy_number		2.329	2510
119719	ARM544	BS588974		EXP9413	ES499014				TREC				SDY67	0	Days	SUB113512		copy_number		11.416	2510
119791	ARM544	BS589010		EXP9413	ES499050	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113548		copy_number		16365	2510
119800	ARM544	BS589015		EXP9413	ES499055				TREC				SDY67	0	Days	SUB113553		copy_number		6.824	2510
119709	ARM544	BS588969		EXP9413	ES499009				TREC				SDY67	0	Days	SUB113507		copy_number		6.715	2510
119728	ARM544	BS588978		EXP9413	ES499018	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113516		copy_number		114052.3	2510
119727	ARM544	BS588978		EXP9413	ES499018				TREC				SDY67	0	Days	SUB113516		copy_number		15.22	2510
119857	ARM544	BS589043		EXP9413	ES499083	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113581		copy_number		107525.44	2510
119718	ARM544	BS588973		EXP9413	ES499013	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113511		copy_number		14555.48	2510
119769	ARM544	BS588999		EXP9413	ES499039				TREC				SDY67	0	Days	SUB113537		copy_number		271.448	2510
119697	ARM544	BS588962		EXP9413	ES499002				TREC				SDY67	0	Days	SUB113500		copy_number		4.448	2510
119716	ARM544	BS588972		EXP9413	ES499012	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113510		copy_number		21001.45	2510
119617	ARM544	BS588921		EXP9413	ES498961	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113459		copy_number		45343.16	2510
119721	ARM544	BS588975		EXP9413	ES499015				TREC				SDY67	0	Days	SUB113513		copy_number		12.764	2510
119700	ARM544	BS588964		EXP9413	ES499004	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113502		copy_number		75871.41	2510
119691	ARM544	BS588958		EXP9413	ES498998	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113496		copy_number		42765.64	2510
119822	ARM544	BS589026		EXP9413	ES499066				TREC				SDY67	0	Days	SUB113564		copy_number		1.617	2510
119792	ARM544	BS589011		EXP9413	ES499051				TREC				SDY67	0	Days	SUB113549		copy_number		90.993	2510
119706	ARM544	BS588967		EXP9413	ES499007	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113505		copy_number		24409.28	2510
119746	ARM544	BS588987		EXP9413	ES499027	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113525		copy_number		39523.96	2510
119850	ARM544	BS589040		EXP9413	ES499080				TREC				SDY67	0	Days	SUB113578		copy_number		1.15	2510
119750	ARM544	BS588989		EXP9413	ES499029	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113527		copy_number		145675.37	2510
119650	ARM544	BS588938		EXP9413	ES498978				TREC				SDY67	0	Days	SUB113476		copy_number		23.954	2510
119907	ARM544	BS589068		EXP9413	ES499108	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113606		copy_number		8006.02	2510
119854	ARM544	BS589042		EXP9413	ES499082				TREC				SDY67	0	Days	SUB113580		copy_number		66.101	2510
119795	ARM544	BS589012		EXP9413	ES499052	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113550		copy_number		79559.68	2510
119909	ARM544	BS589069		EXP9413	ES499109	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113607		copy_number		24293.85	2510
119781	ARM544	BS589005		EXP9413	ES499045				TREC				SDY67	0	Days	SUB113543		copy_number		13.466	2510
119782	ARM544	BS589005		EXP9413	ES499045	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113543		copy_number		59098.63	2510
119643	ARM544	BS588934		EXP9413	ES498974	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113472		copy_number		71091.95	2510
119673	ARM544	BS588949		EXP9413	ES498989	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113487		copy_number		20995.83	2510
119864	ARM544	BS589047		EXP9413	ES499087				TREC				SDY67	0	Days	SUB113585		copy_number		65.79	2510
119646	ARM544	BS588936		EXP9413	ES498976				TREC				SDY67	0	Days	SUB113474		copy_number		112.54	2510
119669	ARM544	BS588947		EXP9413	ES498987	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113485		copy_number		56518.69	2510
119639	ARM544	BS588932		EXP9413	ES498972	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113470		copy_number		48155.01	2510
119820	ARM544	BS589025		EXP9413	ES499065				TREC				SDY67	0	Days	SUB113563		copy_number		81.795	2510
119735	ARM544	BS588982		EXP9413	ES499022				TREC				SDY67	0	Days	SUB113520		copy_number		3.245	2510
119876	ARM544	BS589053		EXP9413	ES499093				TREC				SDY67	0	Days	SUB113591		copy_number		71.036	2510
119862	ARM544	BS589046		EXP9413	ES499086				TREC				SDY67	0	Days	SUB113584		copy_number		0.6	2510
119886	ARM544	BS589058		EXP9413	ES499098				TREC				SDY67	0	Days	SUB113596		copy_number		7.815	2510
119790	ARM544	BS589010		EXP9413	ES499050				TREC				SDY67	0	Days	SUB113548		copy_number		17.021	2510
119842	ARM544	BS589036		EXP9413	ES499076				TREC				SDY67	0	Days	SUB113574		copy_number		50.504	2510
119829	ARM544	BS589029		EXP9413	ES499069	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113567		copy_number		32895.3	2510
119737	ARM544	BS588983		EXP9413	ES499023				TREC				SDY67	0	Days	SUB113521		copy_number		6.93	2510
119777	ARM544	BS589003		EXP9413	ES499043				TREC				SDY67	0	Days	SUB113541		copy_number		48.031	2510
119860	ARM544	BS589045		EXP9413	ES499085				TREC				SDY67	0	Days	SUB113583		copy_number		8.456	2510
119717	ARM544	BS588973		EXP9413	ES499013				TREC				SDY67	0	Days	SUB113511		copy_number		33.164	2510
119732	ARM544	BS588980		EXP9413	ES499020	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113518		copy_number		18865.57	2510
119823	ARM544	BS589026		EXP9413	ES499066	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113564		copy_number		71766.34	2510
119701	ARM544	BS588965		EXP9413	ES499005				TREC				SDY67	0	Days	SUB113503		copy_number		1.25	2510
119882	ARM544	BS589056		EXP9413	ES499096				TREC				SDY67	0	Days	SUB113594		copy_number		13.189	2510
119692	ARM544	BS588959		EXP9413	ES498999	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113497		copy_number		56102.08	2510
119783	ARM544	BS589006		EXP9413	ES499046				TREC				SDY67	0	Days	SUB113544		copy_number		12.414	2510
119873	ARM544	BS589051		EXP9413	ES499091	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113589		copy_number		125461.07	2510
119872	ARM544	BS589051		EXP9413	ES499091				TREC				SDY67	0	Days	SUB113589		copy_number		586.744	2510
119724	ARM544	BS588976		EXP9413	ES499016	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113514		copy_number		141137.53	2510
119847	ARM544	BS589038		EXP9413	ES499078	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113576		copy_number		82892.55	2510
119851	ARM544	BS589040		EXP9413	ES499080	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113578		copy_number		79261.88	2510
119651	ARM544	BS588938		EXP9413	ES498978	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113476		copy_number		11404.93	2510
119855	ARM544	BS589042		EXP9413	ES499082	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113580		copy_number		53937.71	2510
119748	ARM544	BS588988		EXP9413	ES499028	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113526		copy_number		15772.59	2510
119810	ARM544	BS589020		EXP9413	ES499060				TREC				SDY67	0	Days	SUB113558		copy_number		23.286	2510
119840	ARM544	BS589035		EXP9413	ES499075				TREC				SDY67	0	Days	SUB113573		copy_number		23.548	2510
119743	ARM544	BS588986		EXP9413	ES499026				TREC				SDY67	0	Days	SUB113524		copy_number		30.243	2510
119672	ARM544	BS588949		EXP9413	ES498989				TREC				SDY67	0	Days	SUB113487		copy_number		8.942	2510
119804	ARM544	BS589017		EXP9413	ES499057				TREC				SDY67	0	Days	SUB113555		copy_number		4.681	2510
119868	ARM544	BS589049		EXP9413	ES499089				TREC				SDY67	0	Days	SUB113587		copy_number		142.343	2510
119892	ARM544	BS589061		EXP9413	ES499101				TREC				SDY67	0	Days	SUB113599		copy_number		22.554	2510
119914	ARM544	BS589072		EXP9413	ES499112				TREC				SDY67	0	Days	SUB113610		copy_number		6.705	2510
119711	ARM544	BS588970		EXP9413	ES499010				TREC				SDY67	0	Days	SUB113508		copy_number		194.002	2510
119853	ARM544	BS589041		EXP9413	ES499081	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113579		copy_number		109743.2	2510
119681	ARM544	BS588953		EXP9413	ES498993	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113491		copy_number		163778.78	2510
119878	ARM544	BS589054		EXP9413	ES499094				TREC				SDY67	0	Days	SUB113592		copy_number		30.437	2510
119634	ARM544	BS588930		EXP9413	ES498970				TREC				SDY67	0	Days	SUB113468		copy_number		6.956	2510
119755	ARM544	BS588992		EXP9413	ES499032				TREC				SDY67	0	Days	SUB113530		copy_number		22.251	2510
119807	ARM544	BS589018		EXP9413	ES499058	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113556		copy_number		173721.84	2510
119806	ARM544	BS589018		EXP9413	ES499058				TREC				SDY67	0	Days	SUB113556		copy_number		32.032	2510
119896	ARM544	BS589063		EXP9413	ES499103				TREC				SDY67	0	Days	SUB113601		copy_number		11.716	2510
119636	ARM544	BS588931		EXP9413	ES498971				TREC				SDY67	0	Days	SUB113469		copy_number		57.629	2510
119831	ARM544	BS589030		EXP9413	ES499070	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113568		copy_number		24310.38	2510
119863	ARM544	BS589046		EXP9413	ES499086	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113584		copy_number		58783.29	2510
119604	ARM544	BS588915		EXP9413	ES498955				TREC				SDY67	0	Days	SUB113453		copy_number		77.705	2510
119771	ARM544	BS589000		EXP9413	ES499040				TREC				SDY67	0	Days	SUB113538		copy_number		520.435	2510
119631	ARM544	BS588928		EXP9413	ES498968	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113466		copy_number		104266.71	2510
119828	ARM544	BS589029		EXP9413	ES499069				TREC				SDY67	0	Days	SUB113567		copy_number		84.571	2510
119607	ARM544	BS588916		EXP9413	ES498956	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113454		copy_number		70675.22	2510
119832	ARM544	BS589031		EXP9413	ES499071				TREC				SDY67	0	Days	SUB113569		copy_number		60.423	2510
119652	ARM544	BS588939		EXP9413	ES498979				TREC				SDY67	0	Days	SUB113477		copy_number		8.643	2510
119839	ARM544	BS589034		EXP9413	ES499074	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113572		copy_number		162361.69	2510
119900	ARM544	BS589065		EXP9413	ES499105				TREC				SDY67	0	Days	SUB113603		copy_number		19.125	2510
119753	ARM544	BS588991		EXP9413	ES499031				TREC				SDY67	0	Days	SUB113529		copy_number		218.07	2510
119608	ARM544	BS588917		EXP9413	ES498957				TREC				SDY67	0	Days	SUB113455		copy_number		12.709	2510
119867	ARM544	BS589048		EXP9413	ES499088	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113586		copy_number		180024.08	2510
119723	ARM544	BS588976		EXP9413	ES499016				TREC				SDY67	0	Days	SUB113514		copy_number		47.652	2510
119684	ARM544	BS588955		EXP9413	ES498995				TREC				SDY67	0	Days	SUB113493		copy_number		25.892	2510
119620	ARM544	BS588923		EXP9413	ES498963				TREC				SDY67	0	Days	SUB113461		copy_number		25.505	2510
119818	ARM544	BS589024		EXP9413	ES499064				TREC				SDY67	0	Days	SUB113562		copy_number		118.333	2510
119836	ARM544	BS589033		EXP9413	ES499073				TREC				SDY67	0	Days	SUB113571		copy_number		9.509	2510
119765	ARM544	BS588997		EXP9413	ES499037				TREC				SDY67	0	Days	SUB113535		copy_number		31.553	2510
119613	ARM544	BS588919		EXP9413	ES498959	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113457		copy_number		12421.07	2510
119649	ARM544	BS588937		EXP9413	ES498977	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113475		copy_number		93491.26	2510
119803	ARM544	BS589016		EXP9413	ES499056	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113554		copy_number		116447.02	2510
